yielded before her son 51
yielded enough for all 45
yielded findings that are 140
yielded little that was 176
yielded values that are 58
youngest brother and her 70
youngest brother and his 424
youngest brother and was 43
youngest brother but one 229
youngest brother did not 120
youngest brother does not 86
youngest brother had not 79
youngest brother was not 116
youngest brother was now 45
youngest brother was put 42
youngest brother was with 55
youngest brother who had 181
youngest brother who was 309
youngest brother with them 114
youngest brother with you 60
youngest member but one 82
youngest person who had 44
youngest sister and her 391
youngest sister and his 49
youngest sister and she 47
youngest sister did not 72
youngest sister was not 79
youngest sister was now 134
youngest sister who had 107
youngest sister who was 164
youngest sister with her 41
youthful carver who has 52
youthful charms did not 48
youthful energy that had 44
youthful passion for her 62
youthful philip was one 41
youthful prince and his 56
youthful readers who may 47
youthful savage had not 63
youthful sister with that 61
youthful spirit that had 52
youthful warrior who had 121
