years unsuccessfully trying to 160
young representative from the 41
young revolutionaries from the 55
your characteristic ways of 54
your confidentiality will be 91
your contemporaries will be 44
your correspondence will be 179
your correspondents seem to 79
your correspondents will be 71
your disappointment over the 49
your disappointment will be 146
your interpretations will be 63
your recommendations will be 278
your representative from the 52
your representative will be 111
your responsibility during the 71
your responsibility will be 292
