yaw moment of inertia 283
year abroad in england 46
year abroad in france 133
year abroad in travel 55
year across the border 42
year across the entire 78
year across the united 325
year almost the entire 267
year around the middle 207
year became the editor 71
year became the second 131
year becoming of greater 49
year before at munich 147
year before by eugene 41
year before by william 45
year before he became 1615
year before he begins 97
year before he bought 135
year before he formed 43
year before he issued 43
year before he joined 508
year before he killed 58
year before he learned 98
year before he opened 50
year before he passed 234
year before he reached 201
year before he reaches 56
year before he sailed 134
year before he showed 41
year before he signed 76
year before he sought 55
year before he starts 46
year before he thought 49
year before he turned 76
year before in another 92
year before in bergen 45
year before in berlin 111
year before in boston 59
year before in england 117
year before in france 83
year before in london 254
year before in moscow 51
year before in vienna 69
year before it became 1085
year before it begins 59
year before it closed 113
year before it opened 91
year before it passed 46
year before it reached 166
year before it reaches 56
year before king edward 50
year before king william 124
year before my arrest 44
year before my brother 94
year before my return 77
year before my second 85
year before my sister 41
year before the actual 2073
year before the advent 264
year before the affair 50
year before the agency 111
year before the allied 47
year before the allies 56
year before the annual 174
year before the armada 563
year before the arrest 97
year before the artist 194
year before the attack 996
year before the august 56
year before the battle 2527
year before the beatles 54
year before the berlin 261
year before the bishop 99
year before the boston 84
year before the breakup 77
year before the bridge 54
year before the budget 364
year before the building 345
year before the buyout 66
year before the cancer 49
year before the census 1036
year before the changes 48
year before the church 211
year before the colony 48
year before the common 146
year before the county 87
year before the couple 69
year before the course 89
year before the courts 73
year before the creation 266
year before the crimean 177
year before the crisis 633
year before the crucial 44
year before the debtor 123
year before the decease 60
year before the decree 94
year before the demise 87
year before the disease 65
year before the doctor 47
year before the english 566
year before the entire 76
year before the estate 80
year before the events 376
year before the expiry 1166
year before the family 280
year before the famine 141
year before the famous 367
year before the fighting 146
year before the fiscal 200
year before the flight 213
year before the formal 611
year before the former 161
year before the founding 1346
year before the franco 81
year before the french 1753
year before the gathering 90
year before the german 674
year before the granting 80
year before the ground 107
year before the impact 40
year before the income 187
year before the indians 60
year before the initial 244
year before the injury 161
year before the israeli 86
year before the italian 183
year before the jewish 92
year before the killings 42
year before the latter 1060
year before the launch 163
year before the letter 108
year before the london 97
year before the market 114
year before the master 107
year before the matter 87
year before the merger 857
year before the middle 142
year before the mission 101
year before the moscow 41
year before the munich 57
year before the murder 1015
year before the museum 53
year before the mutiny 539
year before the normal 147
year before the norman 65
year before the number 79
year before the origin 43
year before the painting 116
