jealousies which burn within 45
judgments about other human 41
judgments about other people 1365
judgments about their beauty 50
judgments about their child 141
judgments about their learning 89
judgments about their lives 123
judgments about their social 63
judgments about their teaching 41
judgments about their value 126
judgments about these people 56
judgments about those facts 55
judgments about what human 40
judgments about what kinds 146
judgments about what level 48
judgments about what makes 168
judgments about what might 107
judgments about what needs 41
judgments about what others 130
judgments about what ought 435
judgments about what people 216
judgments about what really 43
judgments about what sorts 94
judgments about what types 57
judgments about what works 151
judgments about what would 235
judgments others make about 60
judgments people make about 401
judgments which take place 55
judgments which were based 47
judgments which were given 73
juridical basis upon which 56
justified apart from works 129
