jam and marmalade in 44
jar and fragments of 52
jar and proceeded to 87
jar and unscrewed the 48
jar are connected by 58
jar that contained the 157
jar was connected to 42
jar was offensive to 40
jaw and continued to 47
jaw and distortion of 77
jaw and fragments of 55
jaw and inability to 52
jaw and paralysis of 41
jaw and sometimes the 47
jaw are connected by 48
jaw are generally the 45
jaw was fractured in 243
jaw was shattered by 120
jet are presented in 50
jet was scheduled to 74
jet with reference to 44
job and apartment in 63
job and attempted to 84
job and committed to 52
job and completed it 53
job and completed the 64
job and conditions of 85
job and continued to 333
job and continues to 125
job and delivered the 42
job and determine the 114
job and determining the 86
job and especially the 52
job and identifying the 41
job and inability to 69
job and knowledge of 51
job and maintaining the 41
job and performed it 85
job and preferred to 47
job and proceeded to 123
job and reputation on 51
job and residence in 62
job and sometimes it 40
job and sometimes the 46
job and somewhere to 295
job and succeeded in 55
job and willingness to 73
job are contained in 44
job are described in 93
job are difficult to 62
job are discussed in 67
job are important to 87
job are presented in 76
job are reflected in 62
job being completed in 47
job being evaluated is 79
job being performed by 286
job being performed in 47
job being performed is 46
job being performed on 41
job but continued to 82
job can influence the 62
job can sometimes be 167
job for themselves or 56
job had consisted of 61
job may sometimes be 48
job that consisted of 83
job that interests me 91
job too difficult to 45
job was abolished in 111
job was assistant to 68
job was available at 87
job was available in 118
job was available to 125
job was basically to 194
job was completed as 46
job was completed at 168
job was completed by 339
job was completed he 119
job was completed in 2287
job was completed on 685
job was completed or 61
job was completed the 225
job was completed to 97
job was completed we 44
job was delegated to 140
job was dependent on 89
job was described as 348
job was described by 66
job was described in 50
job was difficult to 91
job was entrusted to 524
job was estimated at 68
job was estimated to 148
job was explained to 68
job was important to 433
job was literally to 44
job was necessary to 73
job was perceived as 130
job was performed by 395
job was performed in 103
job was performed on 96
job was precisely to 84
job was primarily to 332
job was protected by 40
job was scheduled to 103
job was secretary to 47
job was submitted to 54
job was supervising the 76
job was unrelated to 40
job with prospects of 70
job with reference to 121
job with virtually no 54
joy all yesterday at 45
joy and abundance in 81
joy and abundance of 163
joy and admiration as 50
joy and admiration at 311
joy and admiration in 86
joy and admiration of 503
joy and admiration on 69
joy and admiration the 45
joy and admiration to 81
joy and advantage of 134
joy and adventure in 52
joy and adventure of 144
joy and amazement as 112
joy and amazement at 236
joy and amazement of 204
joy and amazement to 45
joy and amusement in 84
joy and amusement of 101
joy and amusement to 48
joy and assurance of 227
joy and awareness of 48
joy and blindness he 153
joy and certainty in 55
joy and certainty of 118
joy and closeness to 48
joy and creativity in 90
joy and creativity of 81
joy and discovery of 43
joy and enjoyment of 50
joy and exaltation at 43
joy and exaltation in 86
joy and exaltation of 359
joy and expression of 66
joy and exultation as 274
joy and exultation at 337
joy and exultation by 43
joy and exultation in 523
joy and exultation of 986
joy and exultation on 77
joy and exultation the 60
joy and exultation to 271
joy and exultation we 51
joy and festivity by 88
joy and festivity in 178
joy and festivity of 253
joy and festivity to 110
joy and flourishing of 40
joy and freshness of 230
joy and gallantry of 47
joy and gratitude as 864
joy and gratitude at 1099
joy and gratitude by 619
joy and gratitude he 193
joy and gratitude in 951
joy and gratitude is 73
joy and gratitude of 1210
joy and gratitude on 640
joy and gratitude the 492
joy and gratitude to 2715
joy and gratitude we 125
joy and happiness as 1676
joy and happiness at 480
joy and happiness be 80
joy and happiness by 170
joy and happiness do 56
joy and happiness he 196
joy and happiness if 62
joy and happiness in 4172
joy and happiness is 437
joy and happiness it 167
joy and happiness of 3163
joy and happiness on 421
joy and happiness or 129
joy and happiness so 104
joy and happiness the 227
joy and happiness to 4600
joy and happiness we 249
joy and innocence of 368
joy and intensity of 135
joy and jubilation at 41
joy and jubilation in 74
joy and jubilation of 116
joy and knowledge of 88
joy and knowledge to 46
joy and liberation in 48
joy and liberation of 40
joy and lightness in 51
joy and lightness of 210
joy and merriment at 42
joy and merriment in 93
joy and merriment of 170
joy and merriment on 51
joy and merriment to 80
joy and necessity of 43
joy and obedience the 54
joy and occupation of 50
joy and penitence the 119
joy and perfection of 71
joy and presented me 106
joy and privilege it 63
joy and privilege of 936
joy and privilege to 850
joy and relaxation in 55
joy and relaxation of 48
joy and relaxation to 72
joy and reverence in 47
joy and reverence to 125
joy and reverence we 97
joy and sincerity of 69
joy and solemnity of 76
joy and sometimes in 46
joy and sweetness in 255
joy and sweetness of 329
joy and sweetness to 65
joy and thanksgiving as 185
joy and thanksgiving at 123
joy and thanksgiving by 78
joy and thanksgiving in 249
joy and thanksgiving is 91
joy and thanksgiving of 163
joy and thanksgiving on 232
joy and thanksgiving the 155
joy and thanksgiving to 713
joy and thanksgiving we 60
joy and transport of 185
joy and willingness to 50
joy are described as 86
joy are neglected in 63
joy are permitted to 42
joy for ourselves in 50
joy had succeeded to 46
joy had unsettled the 78
joy she evidenced in 80
joy she expressed at 67
joy that possessed my 98
joy they expressed at 46
joy they expressed on 137
joy this occasioned to 56
joy was completed by 68
joy was disturbed by 52
joy was excessive at 51
joy was expressed at 125
joy was expressed by 366
joy was expressed in 201
joy was expressed on 57
joy was moderated by 46
joy was occasioned by 144
joy was redoubled by 53
joy was reflected in 157
joy was succeeded by 169
joy was swallowed up 90
joy was testified by 142
joy was unbounded as 48
joy was unbounded at 93
jug and provisions on 48
