j them 249 j all
137 j far 62 j
for 668 j his 195
j long 75 j one
48 j our 41 j
she 179 j that 108
j they 1135 j this
354 j you 133 j
all 40 j his 58
j one 45 j that
76 j this 182 j
all 49 j his 382
j its 51 j that
279 j this 721 j
not 212 j and 52
j can 132 j did
208 j does 49 j
had 842 j has 472
j hath 47 j may
178 j now 57 j
that 577 j then 53
j was 1990 j who
356 j all 71 j
any 1052 j his 175
j not 229 j one
72 j our 47 j
she 184 j that 286
j they 2040 j this
600 j you 1165 j
all 595 j any 43
j both 107 j doing
40 j each 61 j
her 58 j his 556
j its 131 j one
238 j our 61 j
that 834 j this 2141
j two 51 j not
250 j now 82 j
thus 40 j being 146
j can 274 j does
131 j had 154 j
has 876 j may 1092
j was 5895 j man
212 j one 246 j
all 255 j his 168
j that 122 j this
278 j his 210 j
one 45 j that 166
j this 298 j are
61 j did 52 j
far 436 j long 79
j they 240 j was
58 j with 42 j
day 68 j earl 103
j end 52 j few
45 j heat 49 j
idea 53 j law 63
j long 46 j man
138 j mean 137 j
men 63 j new 227
j old 170 j one
82 j set 51 j
sum 236 j two 513
j use 53 j way
58 j all 59 j
bring 56 j him 127
j his 131 j let
44 j our 41 j
put 52 j say 41
j see 44 j that
323 j them 79 j
this 667 j are 927
j can 434 j had
137 j may 803 j
see 51 j mean 46
j row 112 j two
196 j them 142 j
for 257 j his 42
j she 67 j that
53 j they 573 j
this 317 j yet 40
j you 51 j that
42 j this 69 j
his 41 j this 40
j not 281 j can
94 j did 428 j
does 161 j had 856
j has 384 j may
67 j that 154 j
was 2097 j who 89
j any 254 j his
41 j not 100 j
she 50 j that 73
j they 811 j this
231 j you 832 j
all 273 j his 154
j that 105 j this
739 j not 61 j
being 70 j can 351
j did 152 j does
434 j had 192 j
has 698 j may 513
j was 4248 j man
44 j one 145 j
all 45 j this 248
j his 45 j this
62 j far 80 j
man 50 j old 60
j real 59 j two
90 j this 47 j
are 617 j can 365
j had 63 j may
249 j any 188 j
them 67 j age 45
j they 90 j that
56 j this 145 j
did 58 j had 614
j has 260 j hath
45 j that 106 j
was 887 j who 66
j any 42 j they
451 j this 53 j
you 210 j all 66
j his 49 j that
167 j this 328 j
can 80 j had 48
j has 89 j may
133 j was 1135 j
man 70 j one 54
j new 40 j one
45 j two 180 j
use 146 j year 75
j are 343 j can
151 j had 49 j
may 42 j you 152
j not 41 j now
230 j any 105 j
may 66 j they 179
j any 55 j this
48 j all 104 j
his 85 j them 497
j two 64 j not
105 j can 40 j
did 121 j had 1130
j has 259 j may
194 j was 1105 j
who 41 j they 125
j all 41 j this
46 j not 280 j
can 43 j had 119
j has 146 j may
156 j was 1239 j
are 210 j can 101
j may 273 j was
44 j not 505 j
not 379 j them 57
j had 43 j was
182 j this 49 j
can 51 j does 46
j may 63 j was
254 j are 74 j
can 48 j may 50
