tack another 47 tags nested 52
tail barred 82 tail created 52
take record 42 take safety 49
take needed 48 take stride 150
take should 161 take depart 115
take reward 754 take office 79
take random 1999 take various 41
take become 76 take realize 54
take happen 184 take arrive 56
take become 110 take happen 167
take accept 97 take become 243
take decide 59 take finish 42
take realize 122 take return 47
take little 40 take family 42
take italian 49 take spouse 59
take arrive 57 take become 151
take decide 439 take figure 526
take finish 85 take locate 69
take notice 91 take realize 1197
take office 64 take poison 80
take island 77 take street 54
take prison 43 take public 379
take england 71 take france 56
take prison 67 take school 1503
take sunday 44 take dinner 5412
take supper 350 take school 68
take kindly 47 take blessing 40
take honest 44 take italian 77
take ground 44 take teacher 47
take better 114 take messiah 73
take accept 58 take adjust 60
take answer 64 take arrive 114
take become 519 take choose 43
take decide 1109 take figure 1096
take finish 159 take follow 44
take forget 56 take locate 227
take master 92 take notice 162
take realize 2288 take regain 62
take return 79 take settle 72
take poison 466 take island 142
take street 129 take prison 139
take public 423 take earshot 66
take england 115 take france 85
take london 42 take mornings 48
take prison 245 take school 2169
take better 80 take dinner 1197
take supper 93 take coffee 105
take office 1775 take member 207
take another 154 take another 99
take school 199 take answer 46
take doctor 60 take english 49
take entire 275 take family 72
take flimsy 57 take french 64
take leaders 55 take little 102
take market 95 take police 228
take public 232 take rumors 55
take school 93 take soviet 45
take united 63 take scales 61
take second 42 take sister 83
take utmost 40 take clothes 2195
take clothes 92 take little 51
take something 64 take flight 49
take nearest 205 take return 205
take second 54 take states 61
take summer 78 take united 94
take tittle 664 take realize 71
take another 110 take actions 56
take coffee 40 take vienna 41
take bowels 46 take chests 123
take cotton 47 take papers 65
take tuition 136 take coffee 73
take answer 516 take finish 91
take escape 40 take canada 40
take dinner 44 take arrive 66
take become 178 take choose 43
take decide 442 take figure 717
take finish 94 take forget 62
take locate 101 take notice 53
take realize 942 take return 65
take settle 73 take ground 52
take island 240 take market 661
take street 102 take prison 52
take public 206 take england 40
take prison 61 take school 1249
take dinner 1259 take supper 66
take alloys 149 take stride 59
take advice 47 take answer 314
take excuse 118 take adjust 46
take answer 250 take arrange 62
take arrive 163 take become 132
take decide 219 take detail 360
take digest 44 take figure 259
take finish 219 take follow 383
take locate 52 take mature 97
take mention 531 take obtain 151
take pursue 58 take realize 169
take recall 121 take recite 86
take record 148 take relate 724
take remove 55 take repair 43
take report 84 take return 83
take review 174 take settle 68
take travel 61 take genius 40
take england 43 take escort 47
take memory 46 take silver 40
take troops 48 take various 46
take england 306 take europe 52
take france 174 take london 143
take school 40 take sweden 61
take school 169 take matter 43
take spirit 97 take another 49
take answer 865 take dinner 66
take dinner 123 take honest 56
take brother 47 take friend 121
take lawful 45 take become 113
take decide 136 take figure 340
take forget 69 take notice 53
take realize 312 take island 70
take street 55 take public 192
take prison 97 take school 269
take dinner 6402 take supper 199
take across 45 take through 108
take through 41 taking nicest 68
taking stride 83 taking nuclear 181
taking reward 141 taking escort 50
taking active 45 taking office 66
taking public 119 taking school 177
taking dinner 1591 taking supper 80
taking tallow 41 taking spirit 40
taking poison 57 taking island 53
taking prison 52 taking prison 53
taking school 204 taking dinner 355
taking coffee 93 taking coolly 53
taking winter 87 taking office 1170
taking member 51 taking school 170
taking clothes 202 taking duties 86
taking papers 54 taking market 179
taking street 60 taking school 206
taking dinner 425 taking public 222
taking answer 138 taking arrive 42
taking decide 83 taking finish 85
taking puzzle 41 taking return 49
taking brother 49 taking infant 47
taking little 93 taking escort 88
taking chiefs 44 taking entire 146
taking family 55 taking famous 50
taking french 109 taking greater 157
taking letter 40 taking little 96
taking memory 74 taking prince 139
taking relics 43 taking sacred 103
taking secret 179 taking troops 127
taking window 61 taking england 51
taking london 46 taking bodies 70
taking entire 89 taking greater 53
taking horses 114 taking little 88
taking sacred 126 taking secret 95
taking spoils 59 taking troops 56
taking england 79 taking prince 53
taking school 62 taking dinner 1031
tale weight 94 tale teller 250
talk nature 103 talk listen 157
talk figure 40 talk little 43
talk marrying 209 talk fighting 42
talk marrying 117 talk quitting 106
talk shooting 43 talk something 87
talk castle 41 talk another 104
talk afloat 51 talk around 210
talk itself 93 talk public 40
talk something 53 talk horses 54
talk russian 95 talk prayer 165
talk person 190 talk freely 55
talk english 44 talk london 102
talk person 376 talk prayer 68
talk regard 225 talk secret 47
talk sunday 117 talk urgent 81
talk various 129 talk another 198
talk shabby 74 talk english 95
talk person 87 talk entering 51
talk letter 116 talk person 825
talk regard 138 talk another 41
talk monday 44 talk marrying 104
talk pursuing 43 talk something 96
tall person 80 tall little 119
tall imposing 48 tall little 55
tame handle 113 tame manage 50
tame naples 51 tank placed 40
tank retail 43 tank filled 49
tank filled 51 tape played 64
tape played 64 tape played 80
task lordly 63 task should 78
task through 127 task should 41
task evaded 61 task solved 308
task reduce 57 task ensure 49
task secure 63 task called 53
task broken 57 task learned 97
task solved 165 task become 40
task follow 51 task occupy 187
task common 40 task harder 248
task simple 157 task simple 167
task building 94 task energy 123
task strength 53 taxi driver 133
taxi driver 96 taxi driver 41
taxing limits 158 teach should 55
teach should 43 teach various 72
teach tickle 43 teach become 125
teach behave 280 teach handle 215
teach manage 284 teach needed 108
teach tricks 49 teach should 137
teach adjust 80 teach arrange 48
teach attain 52 teach become 372
teach behave 682 teach choose 91
teach defend 73 teach follow 41
teach govern 112 teach handle 524
teach listen 44 teach manage 258
teach master 68 teach meddle 67
teach obtain 44 teach expect 40
teach forget 87 teach insult 70
teach meddle 75 teach should 344
teach romans 51 teach should 40
teach become 48 teach behave 83
teach govern 60 teach govern 50
teach become 69 teach common 61
teach accept 61 teach answer 52
teach assess 42 teach attain 50
teach become 634 teach behave 1112
teach bestow 46 teach better 147
teach choose 137 teach defend 112
teach design 43 teach employ 73
teach escape 89 teach follow 113
teach govern 134 teach handle 749
teach listen 185 teach manage 601
teach master 47 teach obtain 77
teach reduce 49 teach relate 116
teach remain 67 teach repair 47
teach resist 58 teach revere 41
teach select 83 teach suffer 48
teach expect 90 teach insult 41
teach meddle 103 teach divine 44
teach basics 45 teach skills 41
teach tricks 114 teach should 82
teach accept 89 teach access 170
teach adjust 68 teach answer 91
teach assess 53 teach attain 56
teach become 867 teach behave 888
teach better 66 teach choose 387
teach defend 133 teach design 241
teach direct 115 teach employ 45
teach escape 48 teach figure 64
teach follow 72 teach handle 839
teach invest 66 teach listen 187
teach manage 457 teach master 115
teach measure 71 teach modify 48
teach obtain 83 teach reduce 74
teach release 42 teach remove 41
teach select 136 teach expect 79
teach forget 41 teach meddle 85
teach school 110 teach school 182
teach public 113 teach master 311
teams formed 65 tearing pieces 58
tears secret 57 tease thought 90
teats number 60 teeth become 67
teeth number 201 teeth cleaned 53
teeth number 85 teeth number 45
teeth looked 44 teeth damage 88
teeth through 45 teeth dudgeon 53
teeth aspect 70 tell thought 110
tell stirring 49 tell wanted 51
tell valley 42 tell thought 44
tell gossip 48 tell little 63
tell reasons 91 tell stands 67
tell behave 185 tell handle 124
tell manage 78 tell expect 253
tell forget 257 tell grieve 167
tell listen 57 tell mention 100
tell overdo 44 tell pretty 177
tell adored 50 tell already 120
tell missed 99 tell needed 209
tell neither 121 tell should 87
tell thought 485 tell wanted 1101
tell wished 211 tell looked 65
tell seemed 49 tell should 54
tell brother 71 tell sister 50
tell matter 225 tell course 207
tell doctor 161 tell family 59
tell letter 64 tell little 156
tell moment 50 tell papers 43
tell person 47 tell police 136
tell prince 171 tell school 81
tell second 45 tell thought 69
tell should 143 tell wanted 109
tell needed 261 tell wanted 307
tell wished 48 tell griefs 54
tell gossip 60 tell latest 50
