tax not 51 tax and 175
ten them 106 ten nor 55
ten dead 46 ten death 85
ten death 375 ten was 44
ten day 66 ten can 50
ten than 221 ten than 44
ten all 1041 ten any 258
ten his 84 ten its 61
ten one 143 ten she 91
ten that 776 ten they 116
ten this 108 ten you 177
ten any 121 ten his 47
ten that 250 ten they 56
ten than 48 ten any 238
ten for 52 ten its 52
ten our 44 ten that 320
ten they 120 ten with 84
ten you 69 ten than 41
ten all 119 ten any 352
ten can 46 ten for 459
ten his 180 ten its 263
ten one 139 ten our 124
ten that 11753 ten they 420
ten this 139 ten was 131
ten with 117 ten her 94
ten any 60 ten you 45
ten air 43 ten that 68
ten any 117 ten for 504
ten its 80 ten our 47
ten that 5733 ten they 160
ten this 74 ten with 58
ten all 65 ten any 483
ten for 118 ten his 88
ten its 178 ten new 130
ten our 137 ten that 3486
ten they 114 ten this 87
ten any 68 ten that 93
ten death 98 ten him 53
than for 106 than are 42
than with 54 than not 64
than that 97 than and 123
than each 84 than rue 105
than bear 628 than its 63
than bear 59 than his 64
than all 70 than are 60
than are 51 than was 47
than and 41 than lie 46
than day 77 than year 48
than day 45 than that 56
than not 57 than has 43
than they 42 than going 58
than had 53 that his 300
that not 81 that dead 64
that not 85 that all 58
that this 134 that can 76
that her 57 that one 70
that going 59 that going 133
that men 46 that not 117
that not 49 that not 249
that his 86 that his 48
that not 63 that can 59
that not 161 that not 127
that had 235 that oil 57
that bring 40 that for 43
that her 51 that death 48
that death 179 that nor 90
that his 62 that not 77
that not 260 that not 42
that not 164 that not 97
that lip 40 that you 90
that path 56 that our 192
that and 55 that for 49
that with 60 that any 105
that that 298 that they 42
that any 50 that any 78
that with 47 that man 119
that was 120 that was 174
that man 60 that this 46
that with 65 that pen 40
that how 54 that then 53
that day 129 that all 47
that both 41 that her 89
that him 83 that our 80
that them 43 that you 87
that was 63 that day 49
that for 212 that that 3288
that thus 60 that with 56
that nor 41 that nor 257
that nor 74 that own 50
that age 99 that rob 56
that with 41 that with 131
that with 172 that mean 115
that his 45 that own 47
that you 73 that death 147
that set 53 that near 105
that its 40 that had 105
that god 1053 that not 1633
that all 175 that men 94
that not 524 that not 110
that with 42 that them 61
that its 141 that his 87
that hear 69 that its 114
that got 91 that its 45
that has 49 that and 40
that its 93 that its 107
that its 145 that its 334
that not 43 that being 1212
that not 43 that now 51
that its 98 that its 48
that its 239 that its 322
that can 90 that had 128
that has 54 that leaf 52
that has 51 that was 44
that who 81 that its 62
that and 80 that two 81
that has 53 that see 42
that his 40 that did 58
that had 175 that has 76
that was 129 that has 58
that that 57 that who 94
that see 55 that was 93
that are 80 that and 85
that has 47 that its 265
that two 52 that has 89
that its 104 that his 134
that can 47 that all 46
that and 47 that not 57
that not 113 that his 122
that both 65 that his 1349
that one 90 that this 45
that two 186 that being 51
that doth 81 that has 52
that was 42 that ate 65
that can 182 that did 71
that does 205 that goes 76
that had 2070 that has 3430
that hath 42 that may 272
that saw 60 that was 759
that who 44 that its 54
that you 103 that was 58
that was 41 that has 252
that can 52 that its 262
that its 162 that has 81
that act 331 that its 72
that has 48 that its 121
that its 54 that his 46
that has 50 that his 124
that has 93 that she 89
that not 137 that two 199
that god 111 that nor 295
that his 274 that not 56
that not 48 that not 266
that not 179 that pay 42
that then 41 that eye 302
that had 93 that being 50
that not 65 that own 81
that things 275 that and 56
that and 65 that and 53
that not 167 that not 75
that who 137 that with 106
that our 76 that sin 298
that any 43 that all 78
that not 100 that not 149
that use 52 that not 1688
that any 57 that had 83
