tax principal 89 tax pertinent 169
ten existence 113 than political 44
than companions 40 than spectacle 51
than transition 203 than upbraided 68
than entreaties 214 than arguments 42
than character 47 than appearance 43
than concerned 66 that conditions 43
that principle 136 that announced 53
that inquirers 53 that appreciate 148
that recognize 46 that political 107
that concerned 56 that necessary 61
that neighbors 50 that principle 47
that complaint 94 that successes 65
that possessed 40 that conception 50
that appearance 41 that justified 46
that supported 65 that warranted 45
that republics 49 that appointed 46
that countries 65 that character 73
that necessary 191 that paragraph 100
that necessary 78 that unlimited 158
that beneficial 213 that concerned 46
that important 46 that energetic 145
that connection 92 that forgotten 122
that available 55 that countries 45
that countries 53 that dependent 264
that innocence 163 that existence 51
that important 124 that invective 178
that available 47 that character 49
that necessary 100 that formality 59
that available 84 that identical 95
that knowledge 95 that necessary 123
that objective 118 that passively 66
that perception 155 that appearance 70
that character 41 that existence 136
that advantage 62 that advantage 166
that situations 96 that beneficial 43
that addictive 142 that conferred 47
that expression 74 that protected 2588
that character 52 that necessary 94
that liberties 110 that comprised 43
that competent 52 that knowledge 60
that necessary 100 that francisco 41
that agreement 45 that departure 112
that claimable 43 that completed 44
that accounted 43 that character 53
that injunction 96 that contained 341
that available 84 that necessary 97
that necessary 155 that godliness 78
that described 46 that necessary 99
that completed 46 that ignorance 105
that conditions 137 that directions 128
that jefferson 44 that countries 590
that countries 420 that sometimes 97
that difficult 690 that necessary 2092
that subsection 47 that convention 129
that regulation 50 that altogether 58
that corporate 94 that directions 621
that directions 131 that directions 84
that brilliancy 71 that surrounds 40
that invitation 51 that generally 68
that testament 402 that testament 504
that necessary 82 that estuaries 58
that expressly 44 them precedent 66
them employees 74 them offensive 79
them criticism 64 them spiritual 41
them triumphal 75 them everlasting 229
them englishmen 42 them advantage 130
then existence 117 then directions 84
then augmented 44 then resolution 54
then narrative 62 then possession 40
then francisco 99 then francisco 43
then directions 178 then jefferson 142
then filtration 309 they sovereign 76
they estimated 104 they themselves 48
they appreciate 42 they determine 52
they eliminate 52 they encourage 61
they guarantee 73 they represent 601
they conditions 94 they throughout 61
they backwards 52 they gentlemen 44
they themselves 231 they possession 49
they themselves 41 they childhood 46
they directions 481 they sympathies 48
they principle 134 they carefully 63
they interfere 43 they recognize 55
they represent 41 they senseless 45
they themselves 61 they successor 44
they pretension 68 they themselves 49
they francisco 40 they connected 73
they different 50 they directions 118
they directions 1393 they sometimes 74
they recognize 87 they themselves 55
they influence 140 they undertaking 59
they recognize 169 they different 41
things necessary 47 things existence 47
things commanded 566 things commanded 300
things commanded 177 this determine 182
this reference 157 this nullified 428
this agreement 94 this amendment 50
this provisions 53 this countries 51
this appearance 44 this available 142
this invariable 82 this necessary 53
this challenged 50 this questioned 50
this altogether 110 this available 77
this confirmed 87 this difficult 40
this fulfilled 356 this generally 190
this justified 1147 this necessary 1029
this plausible 41 this reasonable 158
this satisfied 1381 this supported 376
this warranted 523 this completed 85
this existence 115 this naturally 53
this calculate 83 this specified 257
this candidate 68 this intuitive 75
this universal 41 this necessary 57
this continued 81 this concerned 54
this committee 70 this community 92
this character 133 this supported 49
this altogether 86 this confirmed 53
this dependent 56 this difficult 84
this generally 52 this justified 533
this necessary 120 this presented 64
this supported 490 this warranted 633
this necessary 82 this supported 60
this sustained 51 this condemned 46
this diligence 51 this necessary 98
this important 93 this interesting 167
this necessary 134 this suggested 202
this concerned 77 this especially 42
this distinguish 47 this distinguish 52
this introduce 65 this supported 158
this supported 162 this contracting 81
this protocols 304 this signatory 46
this territory 61 this principle 62
this necessary 47 this necessary 147
this altogether 51 this justified 183
this statement 48 this altogether 45
this altogether 139 this character 51
this unlimited 120 this concerned 176
this primarily 43 this suggested 70
this concerned 1065 this considering 94
this primarily 121 this intellect 40
this necessary 93 this classical 48
this available 454 this possessor 57
this appointed 52 this available 84
this gratitude 74 this calculate 66
this determine 44 this necessary 73
this professor 41 this available 86
this confirmed 140 this generally 63
this justified 43 this necessary 137
this supported 739 this necessary 151
this compelled 98 this momentary 42
this altogether 63 this confirmed 44
this supported 46 this interesting 50
this character 43 this escutcheon 74
this justified 114 this necessary 85
this supported 55 this warranted 239
this possession 71 this situations 43
this available 353 this necessary 218
this possessed 41 this character 77
this advantage 57 this advantage 213
this situations 116 this advantage 108
this dissension 73 this important 81
this necessary 58 this knowledge 56
this knowledge 57 this petitioner 122
this spiritual 41 this available 109
this effective 49 this important 58
this concerned 47 this concerned 125
this existence 171 this necessary 170
this fulfilled 96 this satisfied 59
this emigration 45 this appointed 48
this ordinance 170 this regulation 435
this liberties 43 this contracting 54
this available 42 this specified 580
this dissolved 43 this estimated 49
this necessary 609 this confirmed 53
this fulfilled 40 this supported 96
this expressed 69 this reference 45
this criticism 43 this discussion 54
this opposition 48 this altogether 47
this expressly 42 this generally 102
this respected 54 this satisfied 43
this generally 43 this concluded 125
this necessary 40 this available 41
this imperfect 63 this birthright 45
this performed 61 this advisable 120
this altogether 57 this available 163
this difficult 65 this effective 164
this foolproof 44 this generally 221
this indicated 90 this justified 87
this mandatory 50 this necessary 572
this performed 101 this practical 261
this routinely 46 this warranted 58
this necessary 40 this available 95
this expressed 111 this necessary 41
this performed 57 this comforted 57
this confirmed 199 this supported 72
this character 43 this possession 72
this necessary 55 this altogether 201
this available 47 this confirmed 117
this difficult 82 this generally 85
this literally 75 this necessary 58
this precisely 44 this supported 218
this verifiable 67 this available 52
this penitence 42 this concerned 64
this supported 168 this inability 64
this available 237 this currently 62
this difficult 48 this effective 128
this foolproof 139 this generally 161
this necessary 75 this practical 140
this routinely 53 this sensitive 85
this different 46 this gratitude 44
