validate their interpretations 113
valuable only instrumentally 79
vanished into insignificance 201
vanishes into insignificance 199
variables vary systematically 42
variables were conceptualized 120
variables were experimentally 65
variables were logarithmically 47
variables were systematically 221
variations among municipalities 43
variations make generalizations 52
vertical axis asymptotically 51
villages into administrative 49
villages were representative 55
villages were systematically 206
visitors from constantinople 41
visitors from underdeveloped 52
