vague consciousness grew 97
vague generalities from 51
vague generalities into 64
vague generalities like 288
vague generalities such 239
vague generalities were 68
vague generalities when 108
vague generalities will 47
vague metaphysical ideas 53
vague plausibility from 77
vague presentiment made 43
vague protectorate over 159
vague recollections from 72
valid approximation only 170
valid approximation over 49
valid approximation when 118
valid certificates from 63
valid communication among 52
valid configuration file 300
valid consideration must 43
valid consideration when 139
valid documentation from 59
valid experimental data 154
valid extrapolation from 49
valid intelligence test 216
valid notwithstanding such 139
valid observational data 56
valid quantitative data 126
valid relationships among 66
valid standardized test 54
value agricultural land 192
value considerably during 64
value considerably less 1878
value considerably more 480
value considerably over 108
value contributions from 59
value determination will 135
value distributions from 106
value distributions have 116
value distributions were 42
value extrapolated from 873
value incorporated into 292
value independence from 56
value independence more 584
value independence over 153
value intelligence over 40
value interpolated from 308
value particularly when 168
value predominates over 240
value productivity will 117
value relationships among 237
value relationships more 759
value relationships over 328
value relationships will 40
value substantially less 508
value sufficiently great 124
value sufficiently high 945
value traditionally used 43
valve displacement from 211
valve incorporated into 191
valve replacements have 152
valve replacements were 205
vapor concentration from 243
vapor concentration over 108
vapor concentration will 201
varying concentration from 40
varying concentration were 77
varying considerably among 312
varying considerably during 51
varying considerably from 2270
varying considerably over 100
varying continuously along 75
varying continuously from 580
varying continuously over 151
varying contributions from 613
varying contributions made 50
varying dramatically from 97
varying gravitational pull 129
varying indefinitely from 64
varying perspectives from 175
varying perspectives have 107
varying perspectives into 49
varying perspectives will 63
varying relationships among 297
varying requirements from 160
varying respectively from 65
varying significance from 90
varying sinusoidally along 40
varying substantially from 251
varying sufficiently from 42
varying temperatures during 78
varying temperatures from 379
varying temperatures have 80
varying temperatures were 63
varying temperatures will 45
varying tremendously from 51
venal confederates were 100
venue requirements must 46
verse transmigrate from 40
vesting requirements have 109
vesting requirements were 148
viable agricultural areas 53
viable agricultural base 73
viable agricultural land 270
viable agricultural unit 55
viable alternatives from 162
viable alternatives have 252
viable alternatives must 75
viable alternatives open 124
viable alternatives such 90
viable alternatives were 233
viable alternatives when 97
viable alternatives will 103
viable organizations must 43
vices respectively fall 217
vices respectively rise 53
viewing organizations from 86
views approximated those 53
views considerably more 85
views crystallized into 46
views incorporated into 202
views organizations from 47
views substantially over 46
views traditionally held 79
views unmistakably clear 75
vines transplanted from 51
violet fluorescence when 42
viral contamination from 174
viral encephalitis from 98
viral encephalitis have 98
viral polypeptides were 165
viral transcription during 96
viral transcription unit 246
virus concentration from 125
virus encephalitis among 43
vision incorporated into 52
vision sufficiently clear 80
visit accomplished nothing 77
visit independence hall 389
visit particularly well 44
vital agricultural land 41
vital communication from 64
vital communication line 93
vital communication link 664
vital communication tool 142
vital consequences have 40
vital consideration here 90
vital consideration just 45
vital consideration when 336
vital contributions from 115
vital contributions made 216
vital contributions were 45
vital developments have 41
vital developments were 54
vital installations like 50
vital installations such 128
vital installations were 115
vital intellectual life 163
vital intelligence data 92
vital intelligence from 178
vital international role 51
vital physiological role 53
vital relationships among 107
vital relationships have 45
vital significance during 59
vital significance from 91
vital significance when 158
vivid illustrations from 148
vivid intellectual life 165
vivid recollections from 175
vivid recollections were 116
vocal communication among 116
vocal communication from 69
vocal communication have 60
vocal contributions from 65
vocal performances from 47
vocal performances have 47
vocal performances were 253
voice communication among 174
voice communication during 104
voice communication from 384
voice communication have 41
voice communication into 92
voice communication link 225
voice communication only 131
voice communication over 1112
voice communication will 212
voice considerably less 43
voice conversations into 109
voice conversations onto 124
voice conversations over 528
voice deliberately calm 106
voice deliberately cold 41
voice deliberately cool 61
voice deliberately flat 51
voice deliberately loud 54
voice deliberately soft 52
voice inarticulate from 43
voice reverberated among 59
voice reverberated down 287
voice reverberated from 268
voice reverberated into 42
voice reverberated like 110
voice reverberated over 169
voice reverberates from 78
voice sufficiently firm 102
voice sufficiently loud 462
voice transmissions from 345
voice transmissions over 341
voice transmissions were 204
voice unconsciously took 54
voice unexpectedly deep 40
voice unexpectedly loud 55
voted conservative were 52
voted considerable sums 290
voted overwhelmingly last 57
voter participation among 451
voter participation during 113
voter participation fell 85
voter participation from 109
voter participation have 98
voter participation over 69
voter participation rate 580
voter participation rose 95
voter participation were 80
voter participation will 73
voter qualification laws 112
votes respectively were 91
