wan burghers spy the line 237
war deprived them of their 64
war minister and the army 41
war required that on such 58
war scotland had no means 88
was abridged for the main 44
was absorbed for the most 42
was absorbed for the time 102
was abundant and of good 116
was abundant and the soil 43
was accepted all the more 177
was accepted and at once 52
was accepted and he left 51
was accepted and he went 67
was accepted and the bill 85
was accepted and the case 94
was accepted and the date 52
was accepted and the name 42
was accepted and the next 46
was accepted and the other 114
was accepted and the three 101
was accepted and the work 244
was accepted and we were 88
was accepted for the army 56
was accepted for the best 45
was accepted for the deed 62
was accepted for the fall 147
was accepted for the most 147
was accepted for the next 144
was accepted for the post 138
was accepted for the sake 178
was accepted for the same 55
was accepted for the time 193
was accepted that in some 41
was accepted that the best 40
was accepted that the only 70
was accepted that the plan 56
was accepted with as much 162
was accepted with the most 158
was accepted with the same 267
was accosted thus by some 128
was achieved can be seen 46
was achieved for the most 204
was achieved not by means 52
was achieved not so much 638
was achieved using the same 126
was achieved with no great 43
was achieved with the full 63
was achieved with the help 1347
was achieved with the loss 222
was achieved with the most 40
was achieved with the same 178
was acquired and is held 56
was acquired and the date 102
was acquired for the same 46
was acquired with the help 124
was actually cut in half 149
was actually doing the work 217
was actually due to some 58
was actually due to their 45
was actually for the best 45
was actually going on during 60
was actually going on here 76
was actually going on there 176
was actually going on when 45
was actually going to break 45
was actually going to call 97
was actually going to come 202
was actually going to give 142
was actually going to have 458
was actually going to help 143
was actually going to kill 111
was actually going to kiss 89
was actually going to leave 257
was actually going to live 81
was actually going to look 44
was actually going to make 291
was actually going to meet 175
was actually going to miss 68
was actually going to open 87
was actually going to play 90
was actually going to ride 44
was actually going to show 41
was actually going to speak 54
was actually going to stay 47
was actually going to take 449
was actually going to talk 43
was actually going to tell 95
was actually going to throw 60
was actually going to turn 59
was actually going to walk 91
was actually going to work 185
was actually near at hand 52
was actually not so much 416
was actually not so very 69
was actually not the case 268
was actually one of four 43
was actually one of many 81
was actually one of miss 42
was actually one of their 62
was actually one of these 64
was actually one of those 384
was actually one of three 64
was actually out of town 111
was actually put in hand 63
was actually put on sale 43
was actually put on trial 123
was actually put to work 93
was actually set in type 40
was actually set on fire 134
was actually set on foot 487
was actually two or three 62
was actuated not so much 160
was actuated with the most 95
was adequate for the task 272
was adequate for the time 241
was adequate for the type 52
was adequate for the work 76
was adjudged not to have 121
was adjudged that the said 142
was adjusted for the time 54
was adjusted with the help 43
was admitted and the jury 92
was admitted and the only 54
was admitted for the fall 45
was admitted for the last 57
was admitted for the sole 40
was admitted for the third 158
was admitted that at least 48
was admitted that in many 45
was admitted that in some 79
was admitted that no such 40
was admitted that the bank 81
was admitted that the case 57
was admitted that the cost 53
was admitted that the heavy 108
was admitted that the land 136
was admitted that the note 40
was admitted that the only 47
was admitted that the word 43
was admitted that the work 62
was admitted with the least 60
was admitted with the same 221
was advanced for the most 40
was advanced for the time 215
was affected for the rest 42
was affected not so much 235
was affected with the most 85
was affected with the same 281
was affirmed and the case 54
was affirmed that the great 547
was affirmed that the wild 137
was affirmed with so much 50
was afforded for the most 40
was afforded him on mere 96
was agitated and in some 42
was agitated with no less 63
was agitated with so much 94
was agitated with the most 92
was agitated with the same 82
was allotted one of these 46
was american and the other 84
was analyzed for the case 45
was analyzed for the same 49
was analyzed using the same 149
was analyzed with the help 133
was analyzed with the same 60
was anchored near the mouth 64
was anchored off the mouth 107
was anchored off the port 101
was anchored off the town 98
was animated for the good 96
was animated not so much 42
was animated with the best 98
was animated with the holy 46
was animated with the hope 82
was animated with the most 187
was animated with the same 254
was animated with the soul 56
was annulled with the rest 64
was anointed for the tomb 44
was anointed with the holy 2447
was anointed with the same 40
was answered that he must 70
was answered that the lady 60
was answered that the last 44
was answered that the ship 42
was answered that we were 57
was answered with an angry 98
was answered with no less 149
was answered with the same 154
was anywhere near as good 101
was anywhere near the truth 142
was appalled that so many 71
was apparent not so much 100
was apparent that at least 308
was apparent that he felt 195
was apparent that he knew 215
was apparent that he meant 99
was apparent that he must 111
was apparent that if there 66
was apparent that in many 90
was apparent that in some 122
was apparent that it must 43
was apparent that no more 56
was apparent that no single 55
was apparent that no such 51
was apparent that the army 188
was apparent that the best 91
was apparent that the bill 72
was apparent that the body 55
was apparent that the boys 55
was apparent that the bulk 54
was apparent that the case 62
was apparent that the city 237
was apparent that the cost 111
was apparent that the data 42
was apparent that the days 72
was apparent that the early 54
was apparent that the fire 95
was apparent that the four 85
was apparent that the full 58
was apparent that the game 42
was apparent that the girl 80
was apparent that the great 178
was apparent that the high 191
was apparent that the holy 41
was apparent that the jury 44
was apparent that the lack 48
was apparent that the land 91
was apparent that the last 42
was apparent that the left 82
was apparent that the main 152
was apparent that the more 167
was apparent that the most 449
was apparent that the need 63
was apparent that the next 71
was apparent that the north 66
was apparent that the only 771
was apparent that the other 132
was apparent that the plan 83
was apparent that the poor 51
was apparent that the rate 78
was apparent that the rest 43
was apparent that the road 57
was apparent that the role 45
was apparent that the same 143
was apparent that the ship 481
was apparent that the south 138
was apparent that the task 50
was apparent that the three 262
was apparent that the tide 59
was apparent that the time 401
was apparent that the trial 56
was apparent that the true 43
was apparent that the union 108
was apparent that the vast 55
was apparent that the very 54
was apparent that the work 159
was apparent that the young 223
was apparent that we must 75
was apparent that we were 801
was approved and the work 49
was arguable that the same 84
was arrested and in jail 42
was arrested and the case 70
