wan and unearthly as if 92
war and according to the 72
war and anarchy in the 98
war and appealed to the 75
war and appeared to be 71
war and attacks on the 41
war and because of the 634
war and belonged to the 66
war and brought it to 94
war and brought to the 88
war and carried it on 55
war and command in it 68
war and control of the 49
war and decided to go 41
war and defense of the 100
war and deplore it as 78
war and discord on the 59
war and drought in the 45
war and everything to do 111
war and fascism in the 60
war and finally to the 46
war and focused on the 40
war and invasion by the 101
war and invasion of the 54
war and loyalty to the 48
war and members of the 112
war and perhaps in the 46
war and plunder is of 43
war and pointed to the 52
war and poverty in the 86
war and refused to be 48
war and service in the 56
war and settled in the 71
war and slavery as the 43
war and society in the 95
war and subject to the 74
war and suffering in the 53
war and support of the 76
war and turmoil of the 49
war and vengeance on the 58
war and victory in the 49
war and violence as the 93
war and violence in the 349
war and violence on the 66
war and violence to the 59
war are beginning to be 55
war are covered by the 72
war are related to the 43
war are subject to the 239
war being brought to an 71
war being carried on by 98
war being carried on in 107
war being scouted by the 51
war but because of the 139
war for control of the 1693
war for freedom in the 45
war for freedom of the 73
war for mastery of the 54
war for service in the 85
war had appeared in the 82
war had appeared to be 43
war had aroused in the 42
war had arrived at the 50
war had arrived in the 64
war had belonged to the 76
war had brought it to 44
war had brought on the 97
war had brought to an 59
war had brought to the 701
war had dragged on so 43
war had erupted in the 78
war had imposed on the 124
war had reduced to the 55
war had shifted to the 183
war had started in the 152
war had wrought in the 139
war had wrought on the 77
war has appeared to me 57
war has brought it to 47
war has brought on the 59
war has brought to the 548
war has brought to us 64
war has brought us to 79
war has enabled us to 63
war has focused on the 44
war has obliged us to 44
war has revealed to the 56
war has revealed to us 132
war has wrought in the 102
war not because it is 61
war not because of the 49
war now appeared to be 46
war now carried on by 74
war ran counter to the 70
war that appeared in the 71
war that appeared to be 99
war that emerged in the 53
war that erupted in the 185
war that existed in the 66
war that results in the 50
war that started in the 108
war was adopted by the 89
war was allowed to be 41
war was allowed to go 42
war was altered by the 50
war was assumed to be 55
war was averted at the 60
war was averted by the 471
war was averted in the 113
war was avoided by the 81
war was because of the 55
war was beginning to be 434
war was beginning to go 60
war was brought on by 745
war was brought on in 46
war was brought to an 2397
war was brought to me 45
war was brought to the 328
war was brought to us 40
war was carried by the 72
war was carried in the 70
war was carried on as 236
war was carried on at 284
war was carried on by 4075
war was carried on in 4013
war was carried on on 84
war was carried on so 41
war was carried on to 122
war was carried to the 260
war was central to the 79
war was certain to be 156
war was colonel of the 42
war was control of the 40
war was debated in the 64
war was decided by the 368
war was decided in the 97
war was decided on by 50
war was decided on in 45
war was decided on the 90
war was defined by the 56
war was devoted to the 56
war was elected to the 40
war was endemic in the 52
war was evident in the 88
war was finally at an 49
war was founded on the 57
war was granted by the 50
war was greeted by the 40
war was harmful to the 69
war was imposed on the 76
war was imposed on us 44
war was kindled in the 62
war was kindled on the 103
war was kindled up to 44
war was limited by the 68
war was limited to the 233
war was located in the 43
war was managed at the 56
war was matched by the 67
war was measured by the 54
war was opposed by the 99
war was ordered to be 77
war was plainly to be 42
war was popular in the 115
war was present in the 60
war was pursued as an 46
war was reduced to the 83
war was related to the 101
war was removed by the 62
war was removed to the 47
war was renewed by the 87
war was renewed in the 187
war was renewed on the 99
war was resumed by the 41
war was resumed in the 116
war was revealed in the 67
war was settled by the 165
war was shifted to the 73
war was similar to the 91
war was sparked by the 56
war was started by the 381
war was started in the 47
war was stopped by the 76
war was subject to the 57
war was trembling in the 43
war was typical of the 77
war was written by the 58
war was written in the 60
war who returns to the 53
war with america in the 96
war with america on the 45
war with britain as an 47
war with britain as the 54
war with britain at the 66
war with britain in the 252
war with britain on the 66
war with britain or the 52
war with denmark in the 47
war with enemies of the 67
war with germany as an 56
war with germany as the 153
war with germany at an 198
