wad warm to the tartan 181
wan face of the little 47
wan face on the pillow 141
war aims by the allies 64
war aims in the middle 63
war aims of the allied 710
war aims of the allies 3455
war aims of the german 262
war aims of the soviet 110
war aims of the united 2539
war aims of the various 61
war ally of the united 100
war back in the states 40
war boom in the united 215
war came as the result 48
war came in the summer 90
war came to an abrupt 378
war came to be called 111
war came to be looked 46
war came to be remote 79
war came to be viewed 45
war came to the rescue 70
war came to the united 843
war came up the hudson 136
war camp in the united 67
war code of the united 115
war coming up the hudson 148
war debt of the german 47
war debt of the united 472
war debt to the united 2202
war diary of the german 520
war even if the united 51
war even to the extent 57
war ever to be fought 41
war held by the french 100
war held by the united 153
war hero in the battle 42
war home to the german 81
war home to the italian 57
war home to the united 71
war just at the moment 67
war lies in the masses 175
war made by the french 54
war most of the states 66
war most of the tribes 124
war must be in actual 44
war must be the result 205
war navy of the united 122
war news in the papers 165
war only as it offers 71
war only to be killed 84
war only to the extent 179
war plan of the united 55
war raging in the bowels 40
war raging in the united 41
war role of the united 45
war rose in the french 95
war says to my brother 43
war south of the border 55
war talk in the united 141
war there is no second 93
war went on as before 584
war went on in europe 54
war went on in hungary 56
war went on it became 134
war went to do battle 48
war were in the harbor 110
war were to be fought 271
war were to be taught 44
war were to be treated 143
war when it is unjust 40
war will be the effect 58
war will be the proper 80
war will be the result 219
war will be the sooner 40
war will in the future 48
war work in the united 180
war years in the soviet 935
war years in the united 1231
war zone in the waters 45
was able at the moment 96
was able at the outset 60
was able in the autumn 51
was able in the course 518
was able in the middle 41
was able in the second 66
was able in the summer 81
was able of the stones 71
was able on the strength 53
was able so to arrange 56
was able to be absent 43
was able to be active 109
was able to be almost 62
was able to be around 574
was able to be driven 81
was able to be fairly 67
was able to be formed 87
was able to be helped 83
was able to be honest 201
was able to be lifted 85
was able to be myself 199
was able to be placed 111
was able to be raised 52
was able to be reached 51
was able to be reborn 43
was able to be serious 45
was able to be silent 59
was able to be tested 46
was able to be treated 69
was able to be turned 50
was able to be useful 126
was able to do almost 352
was able to do another 44
was able to do battle 49
was able to do before 1176
was able to do better 1066
was able to do enough 141
was able to do fairly 67
was able to do little 5572
was able to do myself 121
was able to do neither 145
was able to do pretty 140
was able to do simple 121
was able to do something 3372
was able to do through 416
was able to do twenty 54
was able to do useful 101
was able to do without 1621
was able to eat almost 76
was able to eat dinner 45
was able to eat little 43
was able to eat something 87
was able to eat without 127
was able to go aboard 128
was able to go abroad 863
was able to go across 52
was able to go almost 78
was able to go around 475
was able to go ashore 459
was able to go before 255
was able to go behind 103
was able to go beyond 2233
was able to go deeper 84
was able to go farther 190
was able to go faster 56
was able to go freely 41
was able to go further 1338
was able to go inside 220
was able to go places 67
was able to go public 102
was able to go shopping 141
was able to go swimming 105
was able to go through 5671
was able to go without 232
was acting as an escort 63
was acting as he thought 47
was acting as the deputy 43
was acting as the master 110
was acting at the behest 388
was acting at the moment 80
was acting by the advice 69
was acting in the belief 88
was acting in the course 1290
was acting in the lawful 81
was acting in the manner 113
was acting in the matter 129
was acting in the public 737
was acting in the spirit 614
was acting on my behalf 69
was acting on my orders 62
was acting on the advice 698
was acting on the behalf 61
was acting on the belief 102
was acting on the direct 65
was acting on the orders 431
was adam in the garden 46
was adding to an already 52
was adding to my little 46
was adding to the already 96
was adding to the burden 41
was adding to the family 75
was adding to the number 142
was adding to the strain 41
was adding to the strength 52
was ahead of or behind 231
was ahead of the column 44
was ahead of the fashion 44
was ahead of the french 58
was ahead of the german 82
was ahead of the market 58
was ahead of the public 67
was ahead of the record 280
was ahead of the soviet 273
was ahead of the united 819
was aiming at the creation 101
was akin to the french 62
was akin to the german 85
was akin to the modern 83
was akin to the moment 40
was akin to the spirit 143
was along in the middle 99
was also at the battle 408
was also at the bottom 635
was also at the center 864
was also at the dinner 312
was also at the height 226
was also at the lowest 44
was also at the moment 89
was also at the office 58
was also at the origin 112
was also at the outset 43
was also at the school 113
was also at the station 149
was also by the advice 48
was also in an uproar 46
was also in the attack 50
was also in the autumn 54
was also in the battle 1294
was also in the building 299
was also in the castle 40
was also in the center 163
was also in the church 453
