well acquainted with a gentleman 122
were calculated using a procedure 46
were candidates for a chorister 41
were confronted with a bewildering 101
were confronted with a different 229
were confronted with a difficult 475
were confronted with a multitude 47
were confronted with a political 53
were confronted with a practical 62
were consistent with a hypothesis 43
were consistent with a mechanism 72
were determined using a commercial 55
were discharged with a reprimand 84
were homozygous for a recessive 56
were inoculated with a suspension 237
were sufficient for a fortified 106
were sufficient for a protection 40
were surrounded with a multitude 53
were vociferous for a surrender 85
when confronted with a complaint 45
when confronted with a different 139
when confronted with a difficult 1021
when confronted with a frustrating 50
when confronted with a political 71
when confronted with a practical 77
when confronted with a statement 101
when confronted with a stressful 205
when confronted with a structure 48
when considered with a reference 71
whom literature was a profession 79
work represents being a landscape 61
