wage and benefit cuts and 49
wage and maximum hour law 73
wage gap between male and 254
wage gap between those with 57
wage gap between union and 46
wage war against their own 357
wage war against those who 647
waging war against their own 100
waging war against those who 143
wait for liberty till they 973
wait for several days for 253
wait for several years for 99
wait six thousand years for 48
wait two hundred years for 102
wait two thousand years for 97
wait with blinded eyes and 52
wake each joyless morn and 44
wall and watches what goes 96
wall was divided into two 81
wall was knocked down and 63
want and freedom from fear 3135
want and suffering only end 63
want any trouble from you 243
want one promise from you 66
want two minutes more with 58
ward was divided into two 48
warm and sincere wish that 47
warn him against losing his 48
warn him against making any 50
warn you against those who 46
wars are divided into two 89
wash her fairest face with 63
waving her withered arms with 44
waving his withered hand with 62
ways are pleasant ways and 59
ways that advance their own 57
ways that enhance their own 116
ways that promote health and 41
ways that promote their own 150
ways that protect their own 48
ways that reflect their own 303
ways that support their own 71
wealth and leisure from all 61
wealth and position gave him 40
wealth and position made him 51
wealth and poverty among them 77
wealth and poverty were not 95
wealth gap between rich and 145
wealth was derived from his 57
wealth was derived from its 49
wears his manhood hale and 81
weary and wandering sigh that 83
weary nor stumble among them 341
weave them together into one 40
weed and decayed fish with 40
week for several years and 41
week was divided into two 40
weld them together into one 227
well and orderly kept and 58
well does superior know and 54
well for captain swan that 41
well for herself when she 52
well for several days and 481
well for several years and 212
well for several years but 71
well for several years now 50
well for several years with 48
well his revolving eyes and 309
well she scented there was 56
well with plastic wrap and 119
well you perform your job 57
went and dressed three men 40
went and married some one 216
went and searched till she 57
went far towards making him 47
went off muttering into his 48
went out because there was 75
went out together from her 70
went with delight upon his 44
wept and mourned over her 62
wept she stooped down and 126
wept with delight when you 301
were all america like this 44
were all between five and 50
were all blended into one 126
were all brought down with 52
were all brought forth and 77
were all brought into being 55
were all brought into one 166
were all brought into use 96
were all carried away and 60
were all carried away with 75
were all covered from head 45
were all covered over with 222
were all crammed into one 67
were all crowded into one 254
were all derived from his 55
were all derived from one 215
were all derived from this 103
were all divided into two 177
were all dressed from head 56
were all excited when they 52
were all factors making for 46
were all following their own 45
were all gathered into one 119
were all knocked down and 43
were all painted from head 57
were all reduced into one 48
were all removed from his 40
were all weighed down with 40
were all wondering what had 89
were all wondering what was 131
were all written during his 53
were all written during this 96
were and exactly what they 77
were being blended into one 47
were being brought back for 40
were being brought from all 43
were being brought into being 41
were being brought into this 57
were being brought into use 126
were being brought more and 41
were being carried along with 92
were being divided into two 69
were being dragged from her 61
were being dragged from him 87
were being enacted into law 40
were being hastily made for 42
were being imposed upon and 41
were being imposed upon him 62
were being imposed upon them 190
were being knocked down and 61
were being removed from her 44
were being removed from his 54
were being removed from one 41
were being repeated over and 61
were being severed from each 62
were being shifted from one 57
were being shunted back and 51
were being withheld from him 90
were being withheld from them 103
were being wrested from him 58
were being wrested from them 59
were being written down and 43
were both derived from one 48
were both divided into two 46
were both fifteen years old 111
were both sixteen years old 126
were both thirteen years old 79
were both virgins when they 65
were but lightly dealt with 49
were doing exactly what she 62
were doing exactly what they 446
were doing exactly what was 73
were doing exactly what you 86
were dying because there was 46
were each divided into six 105
were each divided into ten 61
were each divided into two 1841
were far distant from any 55
were far distant from each 158
were far distant from one 40
were far distant from them 45
were far removed from all 153
were far removed from any 800
were far removed from being 88
were far removed from each 240
were far removed from her 225
were far removed from him 219
were far removed from his 454
were far removed from its 75
were far removed from one 188
were far removed from our 147
were far removed from that 272
were far removed from them 110
were far removed from this 196
were for amounts less than 115
were going against their own 62
were going rapidly from bad 80
were her thoughts upon her 51
were her thoughts when she 69
were his brothers john and 63
were its members there was 59
were long withheld from his 95
were low because there was 47
were not alarmed when they 120
were not allowed into any 57
were not allowed into his 52
were not allowed into this 63
were not allowed more than 254
were not allowed their own 116
were not allowed time for 50
were not allowed time off 46
were not arrived when they 79
were not ashamed when they 44
were not because there was 47
were not brought here for 49
were not brought into being 310
were not brought into this 150
were not brought into use 222
were not brought there for 50
were not carried away with 183
were not carried very far 85
were not certain just how 54
were not certain what had 54
were not certain what they 135
were not certain what was 80
were not comparing like with 87
were not content even with 167
were not content only with 58
were not content till they 204
were not covered over with 52
were not cowards when they 40
were not defending their own 47
were not delayed more than 78
were not derived from any 587
were not derived from each 44
were not derived from his 223
were not derived from one 55
were not derived from that 69
were not derived from them 52
were not derived from this 69
were not distant from each 61
were not distant more than 108
were not divided from each 93
were not divided from one 59
were not divided into two 292
were not dressed like that 41
were not enacted into law 388
were not entered into for 106
were not entered into that 53
