wag of his bushy tail 46
war as they might have 68
war as they might think 282
war as they would have 64
war at any given time 105
war do not agree well 41
war he had never been 137
war he had never seen 46
war he had taken part 44
war if they could have 54
war in its final years 47
war in its worst form 247
war in our region will 136
war in this region bore 40
war is being waged over 42
war is her pruning hook 55
war is long since over 174
war is not based upon 65
war is not ended when 44
war is not quite over 41
war is not really over 128
war is not waged upon 180
war it was quite clear 41
war it was taken over 292
war no one would have 66
war of all times have 51
war on both sides were 120
war on one front only 54
war the day after pearl 42
war the two sleep well 40
war to one fixed plan 46
was an act which gave 57
was an act which most 61
was an act which only 212
was an air force base 259
was an air force brat 116
was an air force test 40
was an area where many 151
was an area where most 40
was an area where some 57
was an area where there 358
was an easy drive from 141
was an easy route from 46
was an idea taken from 66
was an idea which came 138
was an idea which gave 65
was an idea which made 43
was an idea which took 43
was an idea whose time 4633
was an odd sound like 47
was an old apple tree 146
was an old brick wall 69
was an old buddy from 46
was an old china hand 182
was an old fishing boat 49
was an old grand piano 54
was an old grist mill 44
was an old habit from 69
was an old henry clay 87
was an old house when 90
was an old indian camp 75
was an old indian town 63
was an old logging road 132
was an old maxim among 44
was an old roman city 51
was an old roman road 102
was an old roman town 59
was an old smoky bust 55
was an old stone wall 85
was an old story even 46
was an old story told 55
was an old story when 78
was an old trading post 59
was an old trick used 49
was an old wagon road 45
was an old widow lady 67
was an old woman among 66
was an old woman bent 44
was an old woman from 265
was an old woman here 44
was an old woman living 257
was an old woman there 502
was an old woman very 79
was an old woman wearing 69
was an old woman went 64
was an old woman when 310
was an old woman whom 161
was as far apart from 123
was as she stood there 210
was as she would have 286
was as then fully ready 44
was as yet known only 170
was at all hours free 83
was at all times able 401
was at all times acting 121
was at all times calm 43
was at all times clear 166
was at all times during 339
was at all times eager 102
was at all times fair 58
was at all times firm 201
was at all times fond 90
was at all times free 376
was at all times from 73
was at all times full 138
was at all times glad 41
was at all times great 88
was at all times held 98
was at all times just 47
was at all times kept 208
was at all times kind 40
was at all times left 44
was at all times less 154
was at all times made 76
was at all times more 1436
was at all times most 1149
was at all times much 504
was at all times only 199
was at all times open 507
was at all times part 49
was at all times ready 2960
was at all times rich 84
was at all times slow 43
was at all times such 61
was at all times sure 43
was at all times their 56
was at all times very 1991
was at all times well 424
was at all times wild 42
was at all times wont 69
was at all within hearing 119
was at any given time 2927
was at her first coming 40
was at her front door 223
was at her house last 44
was at her house three 58
was at her house when 119
was at her mother more 60
was at her place when 48
was at her right hand 214
was at her usual post 66
was at her worst when 64
was at her writing desk 67
was at his elbow when 189
was at his first coming 136
was at his front door 166
was at his genial best 52
was at his heels when 44
was at his house last 72
was at his house when 298
was at his mercy till 58
was at his right hand 1327
was at his right side 72
was at his usual post 531
was at his usual spot 73
was at his usual work 58
was at his worst when 355
was at his writing desk 57
was at its deadly work 135
was at its flood tide 132
was at its worst among 63
was at its worst during 482
was at its worst from 133
was at its worst just 58
was at its worst there 168
was at its worst when 600
was at its zenith during 445
was at its zenith from 111
was at its zenith there 129
was at its zenith when 510
was at one period much 48
was at one period very 270
was at one point even 45
was at one point very 43
was at one stage even 43
was at our front door 88
was at our house last 123
was at our house when 152
was at that period also 54
was at that period held 75
was at that period just 42
was at that period made 44
was at that period more 370
was at that period much 220
was at that period only 212
was at that period very 204
was at that period what 45
was at that period when 133
was at that place when 86
was at that point just 70
was at that point more 90
was at that point only 201
was at that point trying 42
was at that point very 67
was at that point when 320
was at that season when 42
was at that stage when 275
was at this exact spot 51
was at this exact time 66
was at this later time 41
was at this meeting also 68
was at this period also 558
was at this period giving 42
was at this period great 49
was at this period held 51
was at this period just 65
was at this period living 146
was at this period made 75
was at this period making 67
was at this period more 858
was at this period most 206
was at this period much 560
was at this period only 552
was at this period used 41
was at this period very 829
was at this period well 48
was at this period when 266
was at this place when 71
was at this point also 183
was at this point during 86
