wade through fields of snow 72
wading through drifts of snow 65
wage should enable the male 178
wait another couple of days 153
wait another couple of years 120
wait another minute to find 44
wait another minute to tell 62
wait awhile before we pour 57
walk humbly before the lord 235
walk slowly across the lawn 51
walk slowly across the open 44
walk slowly across the road 47
walk slowly across the room 587
walk slowly across the yard 113
walk slowly around the room 651
walk slowly toward the door 293
walk softly before the lord 72
wall around itself to keep 95
wall should extend at least 58
wand placed across the half 46
waning passion striving to keep 56
warm breeze seemed to have 58
warm fields return no more 225
warm itself before the fire 58
wave behind impels the wave 80
wave offering before the lord 1505
waving lazily through the foam 43
waving mosses shroud the pine 94
ways before crossing the road 401
weary trudge across the moor 68
weed peered through the void 116
week passed without at least 60
week passed without my having 49
week passes without at least 44
week without butter or suet 56
well before measuring the dose 100
well enough already to know 47
well enough before we were 57
well enough pleased to have 350
well enough pleased to learn 42
well enough suited to such 89
well enough versed in their 52
well enough without my help 47
well enough without the help 69
well fitted profit by their 41
well marked through the sixth 42
well permit myself to make 55
well played without the other 44
well ponder whether the next 153
well thought beyond the reach 135
well wonder whether the root 50
well wonder whether we have 44
went abroad through the land 46
went abroad through the town 61
went around behind the desk 176
went ashore myself to post 49
went bounding around the great 43
went crashing through the tree 44
went flashing through my mind 53
went nimbly before the wind 71
went safely across the lawn 86
went safely through to fort 41
went skimming across the room 54
went slowly across the lawn 87
went slowly across the room 160
went slowly around the room 117
went slowly toward the door 194
went slowly toward the fire 146
went softly across the room 80
went softly through the yard 62
went spinning across the room 69
went streaming through us from 66
went through almost as many 41
went through almost the same 104
went through before he died 47
went through cycles of boom 55
went through periods of great 86
went through storms of wind 69
went trudging through the snow 96
went whirling around the room 45
went whizzing through the slow 79
were active agents in their 82
were active around the turn 44
were adored instead of those 78
were almost afraid to look 122
were almost afraid to move 41
were almost afraid to speak 198
were almost afraid to stir 90
were almost always at least 41
were almost always at odds 51
were almost always in debt 102
were almost always in pawn 81
were almost always of high 41
were almost always of wood 95
were almost always the best 99
were almost always the most 227
were almost always the ones 86
were almost always the only 52
were almost always the same 699
were almost always the work 55
were almost asleep on their 47
were almost beyond the pale 40
were almost beyond the range 58
were almost beyond the reach 158
were almost brutal in their 55
were almost building up some 123
were almost buried in snow 40
were almost cleared of those 191
were almost double the size 58
were almost enough to make 268
were almost enough to turn 42
were almost forced by their 61
were almost forced to leave 45
were almost forced to take 50
were almost hidden by their 40
were almost riotous in their 68
were almost ruined by their 198
were almost tender in their 42
were almost unable to move 49
were almost unheard of among 40
were almost unique in their 51
were almost united in their 57
were almost wholly in their 57
were almost wholly on their 85
were almost wholly the work 71
were almost without an army 50
were already across the mouth 46
were already active in their 68
were already asleep in their 183
were already asleep on their 68
were already before the gate 47
were already beyond the camp 104
were already beyond the reach 226
were already broken by their 93
were already busily at work 159
were already carrying on their 41
were already climbing the gate 52
