wage is computed by dividing 63
wait in patience the return 69
wait the approach of winter 59
wait the progress of events 263
wait to surprise the foraging 73
walk the children to school 140
wall is composed of bricks 49
wall is composed of chitin 104
wall is composed of layers 49
wall is composed of muscle 47
wall is composed of various 43
wall is depicted in figure 45
wall is designed to resist 61
wall of partition is broken 291
want my children to attend 50
want my children to become 133
want my children to suffer 209
want my daughter to become 110
want my daughter to suffer 45
want my students to become 94
want my students to realize 55
want no soldiers of special 51
want of accuracy in dividing 107
want of affection or esteem 58
want of artifice to conceal 99
want of attention to detail 85
want of authority to direct 54
want of clearness of thought 154
want of courtesy in debate 44
want of education is patent 41
want of elegance of feature 135
want of elegance of manner 82
want of evidence or through 40
want of fidelity to nature 45
want of firmness to resist 66
want of interest in common 45
want of interest in public 59
want of judgment in choosing 45
want of judgment or temper 86
want of memorials is surely 215
want of practice in public 85
want of precision of thought 128
want of security of tenure 44
want of somebody to buckle 82
want of sunshine to peaches 140
want of victuals or clothes 87
want of warranty is notice 132
want of whatever is judged 125
want the audience to accept 101
want the audience to become 41
want the audience to listen 91
want the audience to notice 44
want the children to attend 49
want the children to become 118
want the children to follow 55
want the children to realize 41
want the children to suffer 48
want the computer to follow 69
want the minister to answer 48
want the nautilus to emerge 53
want the portrait of edward 74
want the situation to become 47
want the students to become 89
want to actually do something 48
want to approach the matter 63
want to challenge the status 110
want to complain to someone 43
want to complete the course 51
want to complete the entire 56
want to conclude by pointing 119
want to confront the person 52
want to confront the reality 124
want to consider in choosing 53
want to consider in deciding 77
want to consider in detail 111
want to consider in greater 40
want to consider in planning 43
want to consider is whether 294
want to consider the actual 55
want to consider the amount 72
want to consider the degree 59
want to consider the effect 756
want to consider the entire 68
want to consider the extent 243
want to consider the future 53
want to consider the impact 262
want to consider the issues 52
want to consider the matter 192
want to consider the mental 56
want to consider the merits 70
want to consider the nature 233
want to consider the number 93
want to consider the options 45
want to consider the reasons 105
want to consider the second 171
want to consider the special 56
want to consider the various 119
want to continue in office 137
want to continue in school 125
want to continue in therapy 53
want to continue my career 46
want to continue the family 50
want to continue the policy 101
want to continue the system 43
want to continue to expand 126
want to continue to follow 91
want to continue to invest 78
want to continue to manage 44
want to continue to pursue 162
want to continue to remain 44
want to convince the public 130
want to describe an object 43
want to describe in detail 156
want to describe the effect 58
want to describe the nature 73
want to describe the system 49
want to diminish the amount 41
want to discover is whether 64
want to discover the causes 64
want to discover the nature 105
want to discover the secret 137
want to discover the source 62
want to disgrace my family 50
want to disgrace the family 53
want to download the entire 87
want to download the latest 173
want to estimate the amount 114
want to estimate the demand 62
want to estimate the effect 215
want to estimate the impact 79
want to estimate the number 261
want to evaluate the effect 133
want to evaluate the extent 48
want to evaluate the impact 166
want to evaluate the various 48
want to exercise the rights 49
want to forecast the future 141
want to frighten the little 64
want to generate the report 47
want to identify the person 41
want to indicate the number 44
want to maintain an active 54
want to maintain or expand 42
want to maintain the existing 327
want to maintain the status 3212
want to maintain the system 60
want to maximize the amount 619
want to maximize the chance 84
want to maximize the effect 45
want to maximize the impact 47
want to maximize the number 383
want to maximize the profit 112
want to maximize the return 144
want to minimize the amount 603
want to minimize the chance 114
want to minimize the damage 66
want to minimize the effect 98
want to minimize the effort 42
want to minimize the extent 61
want to minimize the impact 190
want to minimize the number 1011
want to multiply or divide 75
want to multiply the number 97
want to overstep my bounds 107
want to overthrow the existing 229
want to overthrow the regime 67
want to overthrow the system 114
want to overturn the system 52
want to persuade the public 48
want to practice my arabic 89
want to practice my english 116
want to preserve the existing 287
want to preserve the family 78
want to preserve the memory 54
want to preserve the purity 56
want to preserve the status 1416
want to preserve the system 256
want to preserve the values 51
want to redefine the existing 40
want to redirect the output 212
want to relocate to another 42
want to remember it always 61
want to remember the number 49
want to remember the person 45
want to remember the places 65
want to restrict the access 53
want to restrict the amount 101
want to restrict the number 341
want to restrict the rights 49
want to restrict the values 55
want to retrieve the values 45
want to separate the stable 49
want to shoulder the burden 92
want to simulate the effect 40
want to suppress the printing 48
want to surprise the family 92
want to transfer my existing 94
want to transfer to another 346
warm as possible in winter 42
warp the judgment by casual 59
wars of conquest in africa 50
wars of conquest in europe 51
wash of chlorate of potash 160
wave is followed by another 55
wave is reversed on normal 64
wave of evidence or emotion 57
ways in response to changes 65
ways of addressing the issues 169
ways of attempting to answer 43
ways of attempting to measure 43
ways of attempting to reduce 49
ways of attempting to secure 52
ways of conceiving of reality 65
ways of conceiving the divine 63
ways of conceiving the nature 115
ways of conceiving the various 131
ways of conducting the public 56
ways of describing an object 57
ways of describing the formal 58
ways of describing the nature 96
ways of describing the strength 48
ways of describing the system 40
ways of describing the various 48
ways of developing the skills 46
ways of estimating the amount 131
ways of estimating the effect 48
ways of estimating the number 118
ways of evaluating the impact 70
ways of explaining the nature 66
