wait five years before making 63
wait many years before seeing 50
wait many years before their 50
wait some time before their 42
walk away from something like 333
want your kind around here 155
wars have been becoming less 41
wars have been fought among 45
wars have been fought over 1838
wars took their origin from 70
wave threw their bodies back 92
ways from just decent living 45
well away from anyone else 93
well away from public view 57
well during those twenty days 58
well have been absent from 71
well have been called into 46
well have been called upon 227
well have been carved from 130
well have been copied from 487
well have been culled from 145
well have been driven back 63
well have been driven from 55
well have been forced into 74
well have been formed during 44
well have been formed from 47
well have been handed down 398
well have been handed over 62
well have been learned from 132
well have been lifted from 152
well have been little more 348
well have been looked upon 182
well have been misled into 46
well have been passed down 65
well have been passed over 474
well have been placed there 99
well have been plunged into 42
well have been someone else 448
well have been something else 391
well have been something like 171
well have been something more 126
well have been spared from 76
well have been standing there 64
well have been stolen from 42
well have been turned into 149
well have been turned over 81
well have been twenty years 58
well have come direct from 52
well have said something like 73
well into their golden years 96
well into their mature years 46
well into their middle years 125
well into their school years 117
well into your golden years 69
well know what little there 46
well upon more scanty fare 97
well very soon unless very 55
well what will happen when 43
went away into another room 44
went back over twenty years 75
went down corn street till 48
went down some stairs into 48
went even more deeply into 40
went from high school into 63
went into great detail over 44
went into what looked like 169
went into what seemed like 43
went much more deeply into 97
went three days without food 101
were aiming their arrows from 57
were also more common among 249
were also some changes made 44
were also some knocking down 81
were also very active during 69
were among those burned during 117
were among those called upon 50
were born were broken down 159
were cast away except only 70
were coming from another room 50
were coming from someone else 446
were days last winter when 47
were even less pleased when 57
were even more amazed when 234
were even more amused when 91
were even more common among 73
were even more marked among 40
were even more marked when 62
were even more pleased when 199
were even more remote from 216
were even more striking when 121
were even more widely used 63
were ever hurt before even 58
were flinging their shadow over 49
were four days without food 44
were having their effect upon 260
were having what looked like 52
were just like anyone else 316
were kept from public view 80
were leaving their native land 96
were like truth itself lied 54
were living well beyond their 46
were made during periods when 48
were made from arabic into 57
were made over twenty years 45
were made over without more 73
were made some twenty years 50
were making much better time 74
were making their escape from 168
were making their impact felt 42
were making their second trip 48
were making their voices heard 393
were making their weight felt 50
were many other nobles less 67
were many very little living 71
were more like melted gems 60
were more like someone else 51
were much less common among 107
were much more active during 43
were much more common among 603
were much more common during 79
were much more common when 130
were much more highly paid 49
were much more intent upon 155
were much more marked among 56
were much more pleased when 81
were much more remote from 83
were much more widely used 196
were once more called into 75
were once more called upon 138
were once more driven back 246
were once more driven from 93
were once more hidden from 55
were once more plunged into 120
were once more readily felt 65
were once more turned into 42
were only five inches thick 85
were only five leagues from 42
were only four inches high 43
were only four leagues from 61
were only just emerging from 382
were only just emerging into 45
were only three blocks away 129
were only three blocks from 97
were only three leagues from 56
were over three million jews 46
were safe from attack from 53
were sent away without much 63
were sent away without their 150
were sent from england were 42
were sent from mexico city 65
were shot down without loss 84
were shot down without trial 61
were sold even beyond their 53
were some also knocking down 40
were some very pretty young 40
were soon riding pertly over 52
were soon seen coupling some 86
were soon seen skimming among 82
were soon seen streaming from 53
were taking their orders from 183
were three days without food 92
were ugly young mothers also 57
were upon their return from 59
were very glad indeed when 179
were very much afraid lest 74
were very much afraid when 55
were very much amused when 98
were very much elated over 56
were very much looked down 99
were very much pleased when 105
were wearing their sunday best 271
were wearing what looked like 135
west along said center line 97
what form other nations have 54
what form these changes will 50
what form these should take 125
what good food tastes like 99
what good will result from 106
what have been already used 68
what have been called here 103
what have been called many 62
what have been called their 53
what herb medea brewed will 75
what ideas once agreed will 119
what jews have always done 71
what made your market cheap 266
what must have already been 100
what must have always been 71
what must have looked like 706
what must have seemed even 49
what must have seemed from 40
what must have seemed like 5521
what must have seemed more 52
what must have seemed most 112
what must have seemed very 83
what must have surely been 52
what must miss jessie have 57
what poets have always done 43
what port their leaders were 60
what some other states call 75
what were their feelings when 66
what were your feelings when 100
what will your family think 41
what your code should look 58
what your face looked like 95
what your main points will 44
what your true colors will 40
when esau came fainting from 130
when jews were banned from 55
when more years afford more 49
when most other nations were 59
when most other plants have 48
when nine suns passed down 74
when once your tastes have 43
when other great chiefs came 68
when seen from another angle 69
when some four inches from 55
when such great powers were 42
when their hour should come 74
when their time should come 226
