wagers done 49 wagons kent 62
waists from 43 waited more 327
waited hour 174 waited from 52
waited from 73 waited their 47
walked more 94 walked more 163
walked from 75 walked hour 88
walked saying 45 walked good 119
wampum been 87 warnings been 40
warred time 65 washed clean 108
washed hair 93 washed feet 76
wastes into 42 waters some 44
waters back 50 weapons into 125
weapons arms 42 weapons used 53
weapons been 57 wearied gazing 180
weathering been 127 weight been 77
weight risk 44 weight some 86
weight been 40 weight oven 93
weight during 497 weight eyes 44
weight been 75 weight their 63
wheeling their 71 wheels will 102
wheels over 93 whence name 1206
whence rule 63 whence into 49
whence upon 438 whence upon 50
whence into 57 whence upon 43
whence huge 93 whereas been 80
whereas been 550 whereas been 42
whether born 66 whether been 84
whether been 379 whether made 117
whether been 128 whether been 104
whether whom 66 whether been 82
whether living 52 whether been 61
whether been 80 whether been 65
whether think 112 whether also 59
whether when 55 whether speak 103
whether have 44 whether sell 92
whether been 297 whether come 51
whether done 57 whether gone 44
whether left 65 whether said 79
whether told 75 whether leave 220
whether back 60 whether their 41
whether those 67 whether during 60
whether down 47 whether upon 47
whether living 42 whether from 69
whether into 74 whether have 50
whether meet 122 whether reach 67
whether their 91 whether over 43
whether been 869 whether done 92
whether full 68 whether more 177
whether such 43 whether their 176
whether their 44 whether their 54
whether their 76 whether their 115
whether their 133 whether their 43
whether their 42 whether their 62
whether their 127 whether over 40
whether part 157 whether their 164
whether their 57 whether back 211
whether were 120 whether have 129
whether ever 98 whether find 171
whether reach 299 whether true 43
whether been 168 whether meant 50
whether were 47 whether your 46
whether your 59 whether been 74
whether done 49 whether your 141
whether your 41 whether your 51
whether your 43 whether your 67
whether your 73 whether young 68
whilst their 61 whilst been 52
whined your 53 whirling into 50
whites been 200 whites side 42
whites walk 56 whites more 147
whites moving 44 whites have 49
whites been 110 wicked hell 58
winced from 40 winced from 47
window into 46 window from 66
window into 2057 window onto 181
window over 139 window upon 396
window into 48 window into 193
window into 276 window from 44
window into 82 window into 278
window onto 96 window over 94
window upon 151 winter years 53
winter great 40 winter spring 63
winter from 51 wisdom heart 316
wisdom been 72 wisdom years 59
wisdom like 40 wished luck 85
wished like 41 wishes more 60
wishes what 93 without been 53
without been 51 without been 240
without been 77 without been 74
without been 209 without from 73
without from 126 without been 42
without your 112 without been 151
without from 478 without from 132
without been 80 without been 48
without been 356 without home 47
without their 195 without been 77
without been 58 without been 73
without been 50 without from 141
without upon 435 without into 114
without from 158 without what 90
without into 112 without upon 79
without been 87 without debt 43
without debt 101 without debt 51
without kind 47 without upon 78
without other 48 without some 47
without their 105 without those 132
wolves boys 104 wonder great 136
wonder their 58 wonder your 159
wonder been 42 woolen over 136
woolen over 102 woolly over 44
worked years 80 worked years 91
worked years 169 worked hour 63
worked years 46 worked from 55
worked among 51 worked upon 54
worked week 86 worker work 59
wormed from 43 wounds been 45
wounds from 50 wrench their 118
wretch over 54 wrists also 42
wrists tied 308 wrists very 53
writer told 109 writer upon 74
