wager anything you like that 180
wages which are less than 329
wages which are paid for 74
wages which they give you 44
wages would not even get 56
wagon wheel and died with 49
wains laden with arms and 90
waiting asked her what she 68
waiting lists are very long 62
waiting nearly two years for 65
waiting place for their car 45
waiting until she came out 92
waiting until they were all 66
waiting until they were old 40
waiting until they were out 262
walking about and asking one 63
walking about her room with 49
walking about his room with 77
walking about with arms and 145
walking about with young men 42
walking after each other and 64
walking after they were dead 142
walking round each other with 44
walking stick and went out 61
walking tours for those who 40
walks about his room all 56
walks which she knew him 403
walks which they took ten 311
walls could not keep out 63
walls swell out into big 41
walls which are less than 60
walls which are very thin 48
warming first one side and 42
warmth would not last long 81
warning dialog box when you 150
warning signs that tell you 124
warning words had made them 40
washing hands and face and 46
washing hands with soap and 328
waste shall not only lie 44
watch glass and boil for 48
watch where they were going 467
watch where you step and 58
watch where you were going 343
watch which had been his 68
watch which had been set 46
water about one tenth its 42
water about ten feet long 42
water could not flow out 101
water could not have any 51
water could not have had 40
water could not keep her 43
water could not reach them 47
water depths are less than 148
water flowing all over his 54
water gives out more heat 47
water gushing out from its 66
water laden with sins and 45
water level goes down and 62
water level was high and 89
water level was more than 50
water level was very low 317
water loses its fire that 48
water mixed with milk and 53
water mixed with salt and 185
water mixed with sand and 118
water power was used for 245
water rolling all over and 79
water shall not lose his 81
water shall not lose its 72
water table was high and 86
water table was less than 66
water table was more than 54
water until they were out 44
water until you know how 55
water until you need them 59
water vapor per unit area 71
water vapor than cold air 764
water vapor than cool air 205
water vapor than warm air 192
water which are used for 59
water which does find its 108
water which had been dug 70
water which had been put 70
water which has been long 89
water which has been put 99
water which has been thus 60
water which has lost its 131
water which his heart was 52
water which may find its 172
water which they dare not 52
water which they used was 53
water which was making its 41
water which was used for 490
water which was very near 148
water would not come out 102
water would not flow out 54
water would not last long 97
water would run down and 47
water yield per unit area 50
waved until they were out 297
waves about her face and 53
waves daily beat upon her 171
waves spread out from each 51
waves which are sent out 116
waxed gross and their ears 106
waxed paper and fill with 99
waxed paper and roll out 54
weaker minds and turn them 98
wealthy could buy their way 78
wealthy people and those who 41
weapon arose not from any 51
weapon shall you take with 42
weapon under his left arm 43
weapon which they were not 50
weather about this time was 55
weather would not suit them 44
wedding dress and veil and 75
weeds first and bind them 321
weeks after her baby was 107
weeks after his birth and 49
weeks after his birth his 72
weeks after his talk with 70
weeks after his wife had 125
weeks after she left her 44
weeks after that there was 67
weeks after this there was 91
weeks later and said that 165
weeks later and there was 46
weeks later and told him 60
weeks later her body was 42
weeks later his body was 216
weeks later his wife was 68
weeks later she heard that 59
weeks later she left for 62
weeks later she made her 45
weeks later she said she 43
weeks later than last year 48
weeks later that there was 62
weeks later they were all 106
weeks later they were off 40
weeks later you find out 211
weeks rather than days and 48
weeks since she last saw 41
wells which are used for 40
wells which had been dug 226
wench since you seen her 52
whale opens its mouth and 47
whale which for more than 59
whelp would not draw any 65
where after two years they 43
where beauty and truth and 45
where birds can come and 55
where births and deaths are 88
