wad ware the best blood 177
war aims or peace terms 58
war along the suez canal 45
war diary of army group 172
war during the early months 62
war during the same period 92
war from the home front 99
war from the very first 372
war from the very start 240
war into the living rooms 80
war left at their mercy 101
war like so many others 52
war made in rome alone 96
war many of these people 43
war over the suez canal 165
war there in those parts 42
war there is nothing sweet 91
war went on much longer 332
war were at once begun 49
war were in many cases 52
war were to come again 40
war were to have place 63
war were to take place 496
war when it came would 44
war when the time comes 46
war will be over within 119
was able in many cases 154
was able in most cases 116
was able in some cases 209
was able the more easily 48
was able the next morning 42
was able to break loose 432
was able to call every 84
was able to call names 45
was able to cast aside 278
was able to cast doubt 97
was able to chat about 43
was able to come about 122
was able to come after 50
was able to come again 52
was able to come close 458
was able to come nearer 103
was able to come right 133
was able to come within 141
was able to copy after 116
was able to cure people 50
was able to draw about 45
was able to draw after 60
was able to draw large 99
was able to draw people 65
was able to draw water 60
was able to dream about 46
was able to duck under 58
was able to face danger 46
was able to feel close 81
was able to feel quite 48
was able to feel sorry 54
was able to find about 116
was able to find ample 63
was able to find anything 120
was able to find fault 94
was able to find funds 61
was able to find humor 57
was able to find lodging 41
was able to find money 81
was able to find people 99
was able to find quite 44
was able to find small 42
was able to find space 66
was able to find water 58
was able to find where 94
was able to find within 107
was able to find words 155
was able to form close 91
was able to form words 76
was able to gain entry 265
was able to gain first 231
was able to gain power 199
was able to give about 89
was able to give every 123
was able to give exact 45
was able to give first 82
was able to give freer 44
was able to give large 49
was able to give money 41
was able to give names 86
was able to give nearly 45
was able to give pause 72
was able to give people 60
was able to give proof 81
was able to give quite 103
was able to give shape 201
was able to give sound 97
was able to give strong 46
was able to give thanks 106
was able to give voice 320
was able to give warning 67
was able to glean about 68
was able to grow under 59
was able to have lunch 52
was able to have quite 41
was able to help build 49
was able to help create 68
was able to help others 425
was able to help people 317
was able to help shape 111
was able to help solve 45
was able to help susan 42
was able to hide until 41
was able to hold court 49
was able to hold power 90
was able to hold until 65
was able to join hands 77
was able to joke about 565
was able to jump right 93
was able to keep about 53
was able to keep alive 416
was able to keep aloof 97
was able to keep awake 151
was able to keep close 419
was able to keep costs 74
was able to keep every 53
was able to keep house 71
was able to keep order 146
was able to keep quiet 81
was able to keep running 58
was able to keep strong 40
was able to keep track 829
was able to keep under 145
was able to keep watch 288
was able to keep within 161
was able to keep working 194
was able to keep writing 40
was able to know about 57
was able to learn about 3007
was able to learn anything 181
was able to learn quite 76
was able to learn where 46
was able to leave after 58
was able to leave again 44
was able to leave china 46
was able to leave italy 40
was able to leave paris 167
was able to leave russia 82
was able to leave spain 47
was able to lend money 191
was able to levy taxes 54
was able to limp about 160
was able to list about 45
was able to list thirty 49
was able to live again 79
was able to live alone 209
was able to live fully 54
was able to live quite 160
was able to live under 69
was able to live within 108
was able to loan money 61
was able to look about 1534
was able to look after 1557
was able to look again 158
was able to look right 177
was able to look round 768
was able to love again 49
was able to love others 46
was able to make about 257
was able to make after 99
was able to make ample 62
was able to make anything 117
was able to make brief 43
was able to make close 138
was able to make daily 40
was able to make every 84
was able to make exact 62
was able to make films 63
was able to make final 48
was able to make first 108
was able to make gains 87
was able to make jokes 59
was able to make known 302
was able to make large 247
was able to make light 397
was able to make links 44
was able to make loans 116
was able to make major 173
was able to make minor 60
was able to make money 425
was able to make music 120
was able to make nearly 43
was able to make notes 152
was able to make others 169
was able to make people 301
was able to make plain 101
was able to make plans 240
was able to make poetry 61
was able to make quick 144
was able to make quite 312
was able to make rapid 341
was able to make rough 77
was able to make sense 1003
was able to make seven 57
was able to make short 162
was able to make small 145
was able to make sound 130
was able to make steady 99
was able to make strong 55
was able to make terms 134
was able to make thirty 44
was able to make trips 67
was able to make under 80
was able to make while 122
was able to meet again 124
was able to meet every 167
was able to meet people 210
was able to more easily 94
was able to more fully 136
was able to move about 7258
was able to move again 566
was able to move close 90
was able to move easily 211
was able to move others 61
was able to move people 78
was able to move quite 69
was able to move right 107
was able to move under 92
was able to move within 76
was able to name every 208
was able to once again 262
was able to open doors 100
was able to park close 41
was able to park right 105
was able to pass easily 78
was able to pass under 46
was able to pass urine 97
was able to pass water 41
was able to play again 123
was able to play chess 45
was able to play games 47
was able to pour scorn 44
was able to pull strings 115
was able to pump water 45
was able to push aside 364
was able to quit smoking 201
was able to quit working 113
was able to reach every 54
was able to reach large 52
was able to reach people 102
was able to reach shore 50
was able to reach under 40
was able to reach within 46
was able to ride about 223
was able to ride again 243
was able to rise above 4634
was able to rise again 209
was able to rule alone 53
was able to rush hither 45
was able to sail again 99
was able to save about 256
was able to save money 694
was able to save nearly 106
was able to save quite 81
was able to sell about 89
was able to sell bonds 52
was able to sell large 77
was able to sell stock 81
was able to send about 63
was able to send large 93
was able to send money 464
was able to send nearly 53
was able to send ships 43
was able to send sixty 40
was able to shed light 463
was able to show later 61
was able to show people 49
was able to show quite 103
was able to show where 80
was able to show which 46
was able to soar above 101
was able to speak about 567
was able to speak after 64
was able to speak again 1493
was able to speak easily 52
was able to speak greek 101
was able to speak latin 53
was able to speak quite 185
was able to speak words 45
was able to stay alive 187
was able to stay awake 614
was able to stay close 271
was able to stay longer 110
was able to stay right 47
was able to stay sober 88
was able to stay under 70
was able to stay until 82
was able to stay within 128
was able to step aside 87
was able to stir about 60
was able to stop blaming 56
was able to stop short 50
was able to stop smoking 192
was able to stop thinking 135
was able to stop working 107
was able to swim about 91
was able to take about 42
was able to take action 428
was able to take apart 52
was able to take cover 78
was able to take daily 126
was able to take eight 48
was able to take every 68
was able to take large 40
was able to take longer 47
was able to take nearly 50
was able to take notes 291
was able to take place 793
was able to take power 255
was able to take pride 158
was able to take quick 43
was able to take risks 129
was able to take shape 98
was able to take short 298
was able to take small 63
was able to take solid 73
was able to take steps 339
was able to take stock 744
was able to take strong 62
was able to take walks 111
was able to talk about 9801
was able to talk again 363
was able to talk easily 117
was able to talk quite 358
was able to teach others 144
was able to tell about 236
was able to tell george 43
was able to tell others 64
was able to tell people 172
was able to tell where 182
was able to tell which 202
was able to think about 3582
was able to think again 322
was able to throw aside 198
was able to throw light 670
was able to tread water 100
was able to turn about 126
was able to turn again 85
was able to turn aside 314
was able to turn every 56
was able to turn round 489
was able to wait until 158
was able to walk about 7994
was able to walk after 199
was able to walk again 1788
was able to walk alone 1188
was able to walk easily 76
was able to walk erect 44
was able to walk nearly 74
was able to walk quite 162
was able to walk right 576
was able to walk round 230
was able to walk short 161
was able to walk under 105
was able to walk until 51
was able to walk within 62
was able to work about 42
was able to work again 870
was able to work alone 54
was able to work longer 42
was able to work quite 91
was able to work under 144
was able to work until 158
was able to work within 264
was able to wreak havoc 71
was acting as their agent 196
was acting as their guide 109
was acting the same farce 46
was along the north shore 86
was along the open grove 172
was along the same lines 1013
was along the same route 51
was along the west coast 103
was also an avid reader 855
was also an early leader 115
was also an early riser 320
was also an ideal place 143
was also an iron frame 70
was also an only child 713
was also an open space 42
was also as well known 61
was also at great pains 96
was also at some pains 96
was also at work within 60
was also in early times 60
was also in full bloom 51
was also in full force 48
was also in good order 83
was also in good shape 102
was also in great danger 148
was also in great vogue 52
was also in high favor 73
was also in many cases 250
was also in most cases 123
was also in poor shape 71
was also in some cases 214
was also in some danger 72
was also in some doubt 46
was also in some parts 56
was also in some sense 481
was also in their favor 54
was also in their hands 301
was also in their minds 45
was also in their power 66
was also in very short 63
was also of great value 530
was also of some value 89
was also on good terms 1069
was also the best known 220
was also the best place 179
was also the birth place 168
was also the case after 315
was also the case later 185
was also the case under 342
was also the case where 218
was also the case within 82
was also the city where 241
was also the city which 55
was also the great period 180
was also the high point 350
was also the holy roman 283
was also the ideal place 66
was also the land where 56
was also the last major 305
was also the last meeting 72
was also the last night 79
was also the last period 63
was also the last place 128
was also the last stage 42
was also the last straw 117
was also the leading cause 79
was also the least known 42
was also the line taken 124
was also the main author 54
was also the main cause 195
was also the main focus 83
was also the main force 95
was also the main issue 73
was also the main point 168
was also the main reason 729
was also the main route 63
was also the main topic 74
was also the most easily 65
was also the most feared 47
was also the most hated 42
was also the most human 58
was also the most loyal 47
was also the most senior 93
