war claim which implies no 71
war could arise between the 61
war takes place between the 125
war which arose between the 80
war which might destroy the 74
war which might involve the 59
war which raged between the 175
war which would destroy the 136
war which would involve the 141
war would ensue between the 69
war would exist between the 139
war would exist between us 296
was about equal between the 48
was about fifty millions of 40
was about thirty millions of 51
was added after adoption of 41
was again found between the 41
was again given command of 117
was again looking forward to 104
was again running swiftly on 52
was again setting towards the 69
was ample space between the 57
was anything either present or 52
was badly split between the 76
was bound either morally or 44
was bound under penalty to 52
was built after designs by 71
was built after victory in 68
was built close against the 52
was built flush against the 44
was built right against the 47
was built under license in 64
was causing grave anxiety to 45
was causing grave concern in 46
was causing grave concern to 101
was chief staff officer to 49
was drawing large numbers of 54
was drawn tight against the 51
was either getting drowned or 72
was either never written or 82
was either resting himself or 45
was every where carried on 144
was falling apart because of 186
was feared would swallow up 62
was first drawn between the 42
was first drawn towards the 49
was first fully realized by 45
was first fully realized in 70
was first fully revealed in 45
was first fully revealed to 54
was first getting started in 57
was first given command of 60
was first noted because of 51
was forty miles distant in 45
was found after addition of 54
was found fully assured to 105
was found quite unequal to 45
was found resting against the 54
was found sitting quietly in 40
was found sitting upright in 48
was found valid despite an 43
was found wanting because it 61
was found which appeared to 167
was found which belonged to 56
was getting rather ashamed of 71
was getting worse because of 55
was given added impetus by 1237
was given added impetus in 156
was given added support by 44
was given added urgency by 220
was given chief command of 97
was given extra impetus by 89
was given first priority by 62
was given first priority in 130
was given fresh impetus by 414
was given fresh impetus in 143
was given grace according to 151
was given large amounts of 151
was given large estates in 59
was given legal custody of 40
was given legal sanction by 116
was given legal sanction in 121
was given major impetus by 69
was given small amounts of 55
was given strong impetus by 163
was given strong support by 343
was given strong support in 66
was given thirty minutes to 118
was given total control of 40
was given total freedom to 43
was hoped would attract the 47
was hoped would prevent the 88
was hoped would provide the 51
was hoped would shortly be 44
was killing large numbers of 80
was kinda looking forward to 68
was later chief justice of 155
was later found drowned in 108
was later given command of 285
was later moved forward to 45
was named chief engineer in 50
was named chief engineer of 196
was named chief justice by 108
was named chief justice in 110
was named chief justice of 465
was named court painter to 71
was named first champion of 101
was named major general of 74
was named sales manager of 59
was named vicar general of 78
was never after revived in 84
was never again allowed to 665
was never again alluded to 115
was never again applied to 40
was never again bothered by 95
was never again brought to 85
was never again brought up 130
was never again capable of 57
was never again devoted to 47
was never again elected to 175
was never again invaded by 60
was never again invited to 401
was never again renewed in 96
was never again subject to 276
was never again tempted to 98
was never again visited by 54
was never anything between me 60
was never anything between us 344
was never built because of 174
was never built because the 124
was never fully adopted by 73
was never fully adopted in 69
was never fully applied in 70
was never fully applied to 52
was never fully grasped by 53
was never fully realized by 94
was never fully realized in 305
was never fully revealed to 59
was never fully trusted by 157
was never given command of 40
was never known previous to 41
was never proof against the 145
was never quite capable of 57
was never quite certain as 49
was never quite certain if 84
was never quite certain of 313
