washing electrical 97 waste substances 87
water penetration 111 water degradation 104
water facilities 90 wealthy speculator 53
where improperly 43 where industries 92
where difficulty 78 where accessible 79
where unprepared 54 which appearances 62
which gallicisms 71 which popularity 158
which relatively 75 which appearances 82
which powerfully 44 which designated 55
which importance 43 which examination 109
which convocation 123 which transacted 56
which difficulty 52 which interested 54
which vulnerable 53 which observation 91
which equivalent 185 which dissimilar 56
which electrical 47 which prosperity 51
which philosophy 40 which encountering 66
which arrangement 53 which obligations 51
which considered 145 which restricted 79
which administer 48 which characters 53
which newspapers 47 which indulgence 47
which pronounced 44 which pronounced 60
which eliminated 84 which aggregates 133
which destination 44 which extinguished 143
which candidates 46 which maintained 80
which delightful 58 which appropriate 43
which popularity 78 which profitable 68
which frequently 72 which formidable 69
which allegations 47 which portuguese 83
which indirectly 76 which appropriate 48
which observation 57 which destruction 73
which difficulty 160 which interested 43
which structures 43 which influences 97
which metropolis 147 which influential 55
which immediately 70 white government 48
whole overhauled 119 whose frustrated 50
whose completely 82 whose distracted 74
whose dissipated 48 whose controlled 67
whose recognized 50 whose undermined 46
whose terminated 59 whose liquidated 103
whose terminated 75 whose stimulated 75
whose stimulated 44 whose scholastic 351
whose determined 42 whose stimulated 52
whose invaluable 57 whose discovered 79
whose stimulated 58 whose vindicated 40
whose confidence 98 whose confidence 151
whose extinguished 81 whose determined 56
whose diminished 80 whose obstructed 129
whose sacrificed 208 whose formidable 53
whose controlled 245 whose determined 76
whose terminated 197 whose restrained 51
whose controlled 85 whose multiplied 60
within superseded 77 women recognition 64
words appreciation 42 working specialized 328
worthy developers 49 worthy assistance 53
would incredible 52 would statements 48
would considered 100 would appreciated 97
would considered 249 would discovered 78
would influenced 67 would interested 116
would interfered 52 would maintained 66
would originated 66 would progressed 42
would recognized 341 would remembered 42
would subscribed 56 would sufficient 83
would understood 349 would undertaken 160
