war and interned civilians in 52
war being properly stationed on 47
war that followed resulted in 45
war was actually declared by 144
war was actually declared in 99
war was actually declared on 206
war was actually declared the 54
war was formally declared by 467
war was formally declared in 167
war was formally declared on 437
was any evidence warranting the 73
was any evidence whatever of 54
was any immediate prospect of 91
was any insanity involved in 47
was being actively promoted by 122
was being actively promoted in 80
was being directly threatened by 42
was being fiercely attacked by 53
was being furiously attacked by 61
was being properly attended to 58
was being rendered obsolete by 90
was being seriously affected by 191
was being seriously hampered by 133
was being seriously threatened by 317
was being severely affected by 40
was being severely hampered by 68
was being sexually harassed by 176
was being sexually molested by 64
was being unjustly deprived of 53
was being violently attacked by 98
was but slightly adverted to 59
was but slightly affected by 574
was but slightly attended to 72
was but slightly defended by 41
was but slightly modified by 59
was but slightly relieved by 59
was ere maturity destined to 63
was for services rendered by 41
was for services rendered in 191
was for services rendered to 77
was her constant companion in 137
was her constant companion on 82
was her constant practice to 91
was her original intention to 45
was her stubborn tenacity of 43
was her unshaken fidelity to 46
was his activity confined to 127
was his apparent business to 47
was his apparent intention to 62
was his attention absorbed by 49
was his attention confined to 298
was his attention directed to 57
was his business therefore to 44
was his complete rejection of 50
was his conscious intention to 40
was his constant companion as 42
was his constant companion at 152
was his constant companion in 686
was his constant companion on 197
was his constant practice in 59
was his constant practice to 920
was his continuing interest in 61
was his declared intention to 126
was his frequent companion in 69
was his frequent practice in 41
was his frequent practice to 261
was his habitual attitude to 57
was his habitual practice to 43
was his immediate response to 45
was his interest confined to 118
was his kindness confined to 45
was his original intention to 932
was his personal interest in 163
was his personal response to 55
was his profound distrust of 49
was his profound interest in 44
was his reckless advocacy of 98
was his standard response to 52
was his suspicion confined to 42
was not actively employed in 111
was not actively involved in 1661
was not actively supporting the 47
was not actually admitted to 47
was not actually affected by 95
was not actually attached to 70
was not actually composed by 73
was not actually confined to 51
was not actually conscious of 65
was not actually deprived of 61
was not actually designed to 61
was not actually employed by 49
was not actually employed in 158
was not actually exercising the 128
was not actually included in 155
was not actually intended as 49
was not actually intended to 103
was not actually invented by 119
was not actually involved in 421
was not actually mentioned in 132
was not actually observed in 47
was not actually occupied by 131
was not actually possible to 66
was not actually prepared to 53
was not actually received by 88
was not actually required by 46
was not actually required to 101
