wan complexion and her fear 53
war conditions and did not 56
war criminals and bring them 64
war criminals and can not 111
was abandoned and all was 44
was abandoned and has not 56
was abandoned and she was 54
was abandoned and was not 113
was abandoned for fear that 143
was abandoned for one that 40
was abandoned for that day 57
was abandoned for that year 99
was abandoned long ago and 69
was abandoned with all its 53
was abolished and all its 112
was abolished and all men 41
was abolished and two new 112
was abolished and was not 49
was abolished for all but 77
was accounted for and that 90
was addressed and who was 54
was addressed had not yet 44
was admirable and that she 66
was agreement that this was 60
was allowable for him not 44
was altogether too bad for 40
was altogether too big and 46
was altogether too big for 84
was altogether too easy for 60
was altogether too hot for 79
was altogether too long for 52
was altogether too new and 42
was ambiguous and did not 184
was anciently rung for two 81
was announced and she was 54
was announced and they all 69
was announced for that day 50
was announced not long ago 46
was announced one day that 96
was announced that all men 79
was announced that all was 111
was announced that all who 90
was announced that one was 42
was announced that she and 62
was announced that she had 508
was announced that she was 644
was announced that they had 705
was announced that this new 188
was announced that this was 194
was apologizing for not being 59
was appointed for all his 47
was appointed for one year 362
was appointed for that day 98
was appointed for this day 134
was appointed who did not 54
was appointed who was not 52
was approaching and she had 47
was approaching and she was 71
was approaching and that they 54
was approaching and they had 101
was approaching its end and 276
was approaching with all his 216
was arbitrary and did not 80
was arraigned with his two 43
was artificial and did not 85
was associated for her with 86
was associated for him with 127
was associated with age and 101
was associated with all her 63
was associated with all his 71
was associated with all that 735
was associated with any one 49
was associated with death and 251
was associated with fear and 50
was associated with him and 186
was associated with him for 522
was associated with him was 53
was associated with his old 53
was associated with his own 151
was associated with his son 599
was associated with its own 199
was associated with its use 49
was associated with joy and 41
was associated with men and 73
was associated with men who 111
was associated with old age 78
was associated with sin and 101
was associated with them and 89
was associated with them for 85
was associated with war and 131
was astonishing that she was 72
was astonishing that they had 69
was astounded and did not 96
was astounded that she had 88
was astounded that she was 49
was astounded that they had 61
was attempted but did not 109
was attempted but was not 98
was attendant for him his 79
was authorized for one year 43
was automatic and did not 71
was available and did not 69
was available and she was 53
was available and that they 73
was available and that was 69
was available and they had 43
was available and this was 82
was available and was being 43
was available and was not 48
was available but did not 77
was available but was not 249
was available for all but 116
was available for all who 139
was available for any one 47
was available for his use 167
was available for its use 40
was available for our use 93
was available for them and 40
was available for use and 77
was available for use with 103
was available that did not 46
was available that was not 42
was blaspheming his own art 52
was blueberry and one was 274
was carefully cut out and 50
was castrated and run out 66
was centuries old and had 60
was centuries old and was 45
was certainly not all that 244
was certainly not cut out 223
was certainly not easy for 283
was certainly not far off 88
was certainly not fit for 119
was certainly not for any 85
was certainly not for her 92
was certainly not for him 87
was certainly not for his 79
was certainly not his aim 45
was certainly not his idea 64
