war vigorously in harmony with 42
was absolutely at variance with 132
was absolutely no contact with 46
was absolutely no occasion for 120
was absolutely no question but 59
was absolutely no question that 535
was absolutely no support for 62
was absolutely no warrant for 50
was accelerating so rapidly that 40
was accustomed to address her 112
was accustomed to address him 152
was accustomed to address his 146
was accustomed to appoint set 101
was accustomed to believe that 46
was accustomed to command and 130
was accustomed to compose his 52
was accustomed to conduct his 45
was accustomed to consult him 75
was accustomed to consult with 68
was accustomed to declare that 726
was accustomed to deliver his 99
was accustomed to dignify with 44
was accustomed to exhibit his 50
was accustomed to express his 291
was accustomed to garnish his 68
was accustomed to indulge his 42
was accustomed to justify his 44
was accustomed to nourish his 57
was accustomed to nurture his 99
was accustomed to observe his 73
was accustomed to observe that 252
was accustomed to perform his 72
was accustomed to preface his 45
was accustomed to prepare for 61
was accustomed to prepare his 91
was accustomed to provide for 56
was accustomed to provide him 44
was accustomed to receive and 90
was accustomed to receive her 86
was accustomed to receive his 204
was accustomed to receive them 51
was accustomed to relieve his 44
was accustomed to requite them 44
was acquainted in advance with 53
was answerable in damages for 48
was apparently an altered man 74
was apparently at variance with 56
was apparently in contact with 112
was apparently in sympathy with 77
was appreciated by britain and 50
was approached by several men 56
was astonished at herself for 142
was astonished at himself for 105
was astonished at receiving two 46
was astonished on receiving this 76
was astonished to observe how 198
was astonished to observe that 1236
was attributed to contact with 54
was bewildered to observe that 53
was calculated as follows for 60
was calculated by averaging all 75
was calculated by weighting each 52
was calculated to account for 121
was calculated to advance his 45
was calculated to confuse and 46
was calculated to deceive and 70
was calculated to destroy all 166
was calculated to exclude them 61
was calculated to impress all 40
was calculated to impress him 41
was calculated to impress his 63
was calculated to impress them 43
was calculated to improve his 40
was calculated to increase her 41
was calculated to increase his 255
was calculated to inspire and 44
was calculated to inspire awe 40
was calculated to inspire him 64
was calculated to inspire them 87
was calculated to prevent any 75
was calculated to prevent for 53
was calculated to produce any 82
was calculated to produce that 246
was calculated to protect his 82
was calculated to provide for 44
was celebrated on sundays and 88
was celebrated the following day 86
was celebrated the following year 47
was chimerical to suppose that 105
was comparable in quality and 45
was comparable to rousseau and 43
