wandered and 47 wandered and 94
warrants has 197 warranty was 79
warranty was 49 warranty was 80
warships that 65 wasteful and 44
wasteful gas 121 watchful for 41
watchful and 78 watchful that 158
wavelength with 68 wavelength than 90
wayfarer and 73 wealthiest and 87
weariness with 63 weariness heat 110
weighted and 152 weighted and 48
weighted and 41 welcomed and 49
welcomed joy 93 westward sun 93
whatever they 66 whatever they 61
whatever they 198 whatever for 44
whatever that 85 whatever and 111
whatever may 72 whatever for 46
whatever for 161 whatever and 186
whatever for 79 whatever and 56
whatever has 47 whatever not 118
whatever was 62 whatever with 66
whatever and 42 whatever may 50
whatever this 48 whatever use 44
whenever man 116 whenever and 40
wherever and 40 whistles and 100
whosoever and 53 windmill that 41
withdrawn put 162 withdrawn was 45
withstand that 75 wondered how 72
wondered who 40 wondered why 78
wondered that 42 wondered that 338
wondered for 92 wondered that 46
wondered this 45 wondered was 77
wondered was 92 wondered with 102
wondered had 54 wondered was 68
wondered him 47 wondered had 46
wondered had 56 wondered did 57
wondered had 75 wondered had 54
workable for 56 worthless off 43
worthless for 271 wrenched and 239
wrestled for 82 wrestled all 65
wrestled and 384 wrestled but 48
wrestled for 555 wrestled that 143
wrestled and 62 wrestled for 75
