we act freely and are 56
we all agreed that her 45
we all agreed that his 57
we all agreed that one 82
we all agreed that our 209
we all agreed that she 212
we all agreed that that 149
we all agreed that they 188
we all agreed that this 388
we all agreed that was 61
we all agreed that you 163
we all agreed this was 49
we all agreed was that 41
we all agreed with each 44
we all agreed with her 106
we all agreed with him 349
we all agreed with one 55
we all called him that 51
we all choose our own 72
we all danced and sang 42
we all depend for our 244
we all derive our being 218
we all desire and are 73
we all desire for our 66
we all desire they may 89
we all govern and are 44
we all joined with him 40
we all jumped out and 97
we all looked out for 134
we all pulled off our 44
we all reached for our 44
we all realize now that 137
we all realize that our 72
we all realize that this 147
we all rushed out and 74
we all stayed and had 47
we all thanked god for 70
we all thought him dead 165
we all thought she had 89
we all thought she was 679
we all thought that our 64
we all thought that she 122
we all thought that they 40
we all thought that this 126
we all thought that was 278
we all thought that you 145
we all thought this was 115
we all thought was going 64
we all thought you dead 88
we all thought you had 92
we all thought you was 53
we all turned and ran 63
we all turned out and 88
we all waited for her 59
we all waited for him 113
we all waited for his 51
we all wended our way 46
we all wished for you 60
we any better off for 41
we any better off now 43
we any better off than 90
we any better than they 49
we are afraid for our 113
we are afraid that god 53
we are afraid that his 75
we are afraid that one 113
we are afraid that our 588
we are afraid that she 103
we are afraid that they 346
we are afraid that this 374
we are afraid that you 164
we are afraid they are 84
we are afraid they may 83
we are afraid you are 77
we are agreed that all 83
we are agreed that its 45
we are agreed that one 43
we are agreed that our 135
we are agreed that she 45
we are agreed that they 71
we are agreed that this 181
we are agreed that you 74
we are agreed thus far 107
we are agreeing with god 48
we are already dead and 58
we are already doing and 66
we are already doing that 148
we are already doing this 114
we are already doing with 48
we are already near two 59
we are already old and 58
we are already one with 217
we are already too far 53
we are always doing and 56
we are always doing our 51
we are always doing things 42
we are always doing this 54
we are always met with 41
we are always one and 62
we are always our own 47
we are always with god 89
we are always with him 55
we are always with you 253
we are amazed that any 42
we are amazed that they 52
we are amazed that you 40
we are angrier with our 41
we are anxious for our 67
we are anxious for them 52
we are anxious for you 88
we are anxious that all 68
we are anxious that our 222
we are anxious that they 164
we are anxious that this 137
we are anxious that you 166
we are arises with our 490
we are asleep and can 41
we are asleep and not 51
we are asleep and our 50
we are asleep and that 487
we are assuming for now 49
we are assuming that all 1330
we are assuming that and 54
we are assuming that any 182
we are assuming that both 233
we are assuming that each 480
we are assuming that for 101
we are assuming that one 209
we are assuming that our 376
we are assuming that she 47
we are assuming that that 101
we are assuming that they 347
we are assuming that this 593
