wad of absorbent cotton and 88
war on terrorism should not 48
was an additional burden for 116
was an additional charge for 95
was an additional factor for 59
was an additional factor that 814
was an additional ground for 197
was an additional motive for 704
was an additional motive with 88
was an admirable chance for 54
was an admirable choice for 126
was an admirable device for 108
was an admirable school for 88
was an admirable teacher and 76
was an admirable training for 74
was an admirable writer and 50
was an agreement reached that 41
was an agreement reached with 69
was an albatross around his 88
was an altogether serious man 60
was an ambiguous oracle that 119
was an ambulance driver and 67
was an ambulance driver for 56
was an ambulance driver with 41
was an anonymous letter that 117
was an anonymous writer who 42
was an apartment building that 41
was an apartment building with 51
was an arbitrary matter who 57
was an artificial creation and 96
was an artificial creation that 90
was an assistant editor and 61
was an assistant editor for 87
was an assistant surgeon with 51
was an auspicious moment for 325
was an automatic choice for 138
was an automatic pistol and 41
was an available market for 74
was an eccentric genius who 72
was an effective agency for 51
was an effective demand for 69
was an effective device for 206
was an effective medium for 132
was an effective orator and 74
was an effective remedy for 168
was an effective speaker and 348
was an effective speaker who 59
was an effective system for 92
was an effective tactic for 55
was an effective teacher and 80
was an effective teacher who 42
was an effective therapy for 85
was an effective writer and 45
was an efficient shield for 61
was an efficient system for 65
was an efficient worker and 85
was an elaborate affair and 84
was an elaborate affair with 124
was an elaborate scheme for 102
was an elaborate system for 69
was an emergency measure and 178
was an emergency measure for 52
was an eminently devout and 60
was an eminently learned and 133
was an eminently learned man 49
was an eminently proper one 100
was an eminently useful and 55
was an eminently useful one 46
was an emptiness inside her 89
was an emptiness inside him 49
was an energetic little man 59
was an energetic person who 56
was an energetic worker and 66
was an englishman through and 52
was an enigmatic figure who 51
was an episcopal priest and 66
was an episcopal priest who 97
was an especially active one 42
was an especially bitter one 59
was an especially severe one 55
was an exceedingly active and 65
was an exceedingly amiable and 58
was an exceedingly bitter one 88
was an exceedingly bright and 102
was an exceedingly bright day 45
was an exceedingly clever and 120
was an exceedingly clever man 191
was an exceedingly humane and 112
was an exceedingly humane man 86
was an exceedingly learned man 74
was an exceedingly modest man 91
