waltzes just spring out of 99
wandering bird cast out of 197
wandering life drew near the 75
wandering over land and sea 103
warrant from some one of 185
warriors have come out to 63
warriors made their way to 101
warriors were eager for the 42
warriors were left dead on 123
warriors were sent out to 76
watched their ways with an 173
weakened their ties with the 78
wealthier lust buys them in 63
weighed much less than the 131
weighed much more than the 115
weights ranging from one to 47
weights were used for the 171
welcome news came that the 85
western boys ever got the 53
western lake erie and the 72
western side there was an 69
wheeled into line with the 113
whereby their ages can be 239
whereby their meaning may be 134
wherein among other things he 52
wherein such land may be 95
wherein there were but an 130
whipped cream over top of 45
whipped their guns out of 56
whirled away from him in 43
whisper into their ears the 179
whistling ball came out of 77
willingly have been rid of 72
willingly have paid for the 158
willingly have said this to 54
willingly have seen him on 57
willingly have sent you the 49
willingly lend their aid to 47
willingly lent their aid to 129
willingly lent their ears to 53
willingly went along with the 119
willingly went back with me 371
windows have been cut in 105
windows have been put in 138
windows here look out on 70
windows were dark and the 192
windows were down and the 215
windows were gone and the 77
windows were open all the 51
windows were open and he 126
windows were open and it 96
windows were open and the 1747
windows were open and we 89
windows were open but the 85
windows were open for the 69
windows were shut and the 327
windows were thick with the 110
windows were used for the 76
windows wide open and the 226
winters were cold and the 85
winters were mild and the 69
withdraw from cuba and to 54
withdraw from gaza and the 53
withheld from those who do 276
withheld from your pay or 61
withhold from those who do 70
witness also said that he 71
witness also said that the 42
witness said there was no 40
witness their need for the 80
witness what great things he 47
wondering just what was the 54
wondering much what was the 64
wondering what andy was up 55
wondering what else was in 44
wondering what fate had in 65
wondering what life had in 53
wondering what made her so 101
wondering what made him do 73
wondering what made him so 233
wondering what there was in 316
wondering what there was to 205
wondering what took you so 91
wonders what there can be 136
workers also felt that the 56
workers earning less than rs 180
workers earning less than the 434
workers earning more than the 159
workers even more than the 46
workers fall into one of 48
workers from voting for the 47
workers have been led to 198
workers have been one of 47
workers have been out of 80
workers have been put on 123
workers have been set up 96
workers have been with the 126
workers have dealt with the 109
workers have felt that the 98
workers have held that the 48
workers have made use of 273
workers have said that the 46
workers into line with the 59
workers made their way to 166
workers making their way to 79
workers move from job to 155
workers moving from job to 73
workers much more than the 76
workers must know how to 205
workers must learn how to 132
workers paid less than the 80
workers went along with the 46
workers were coming out of 42
workers were dealing with the 45
workers were hard hit by 43
workers were hard put to 40
workers were kept out of 75
workers were laid off as 414
workers were laid off at 179
workers were laid off by 200
workers were laid off in 786
workers were laid off or 209
workers were leaving for the 71
workers were left out of 59
workers were left with no 98
workers were left with the 80
workers were more apt to 76
workers were paid for the 120
workers were paid out of 41
workers were ready for it 45
workers were sent out to 152
workers were shot dead by 83
workers were told not to 89
workers were told that if 87
workers were told that the 263
workers were used for the 49
workers when there was no 41
workers will come and go 44
workers will find that the 76
workers will know how to 85
workers will make use of 42
workman will work with the 79
workmen were busy near the 51
workmen were busy with the 61
worried there will not be 48
worried when there was no 57
worries were over for the 47
worship have been set up 41
worship much like that of 43
worship other gods than the 48
wouldst take upon thee to 144
wounded made their way to 77
wounded thigh away with me 41
wounded were laid out on 72
wounded were left lying in 61
wrested away from him by 54
wrested away from them by 59
wrestle once more with the 119
wrestling once more with the 52
writers also made use of 54
writers from dealing with the 65
writers have been apt to 131
writers have been led by 129
writers have been led to 883
writers have been men of 71
writers have been using the 47
writers have come out of 98
writers have dealt with it 78
writers have dealt with the 986
writers have done for the 53
writers have felt that it 60
writers have felt that the 244
writers have gone out of 98
writers have held that it 95
writers have held that the 535
writers have made fun of 64
writers have made use of 523
writers have said that he 149
writers have said that in 48
writers have said that it 267
writers have said that the 877
writers have seen fit to 233
writers have seen him as 94
writers have seen this as 130
writers look upon them as 83
writers made much use of 42
writers make good use of 44
writers make much use of 45
writers must have had the 43
writers take care not to 45
writers took care not to 47
writers were dealing with the 59
writers when dealing with the 81
written book dealing with the 49
written down along with the 103
written down from day to 67
written down from year to 48
written from rome may be 48
written from what may be 64
written many years ago as 92
written many years ago at 50
written many years ago by 2119
written many years ago in 297
written many years ago on 43
written many years ago to 126
written much more than he 42
written much more than the 50
written nothing else but the 114
written nothing more than the 114
written some time ago by 238
written some time ago in 62
written some time ago to 95
written some years ago by 766
written some years ago in 74
written some years ago on 77
written some years ago to 88
written upon their wings in 42
written very much with the 67
written were sent hot to 41
written when paul was in 56
written when there was no 67
written will show that the 50
written word more than the 99
wrought iron pipe may be 54
wrought upon will not be 51
