waived by a plea of 96
walked as a man in 88
walked as a rag of 120
walked in a fog of 46
walked in i saw the 42
walked on a bed of 45
walked on a bit in 46
walked on a path of 45
walked to a map of 66
walked to a row of 181
walked to a set of 103
walked up a path to 80
walked up a set of 124
wander in a fog of 41
wanted as a man of 85
wanted as a way of 40
wanted in a way to 43
wanted is a man of 87
wanted is a pit of 79
wanted is a set of 75
wanted is a way of 50
warmed by a cup of 67
warmed by a ray of 46
warmed in a pan of 133
warmed up a bit in 46
warmed up a can of 73
warmed up a pot of 50
warned as i was of 63
warned me i was in 77
warned me i was on 46
warnings on a can of 86
warrior or a man of 90
washed by a bay of 42
washed by a jet of 56
washed in a bath of 158
washed in a pan of 74
washed in a tub of 127
wasted on a lot of 63
wasted on a man of 41
waters as a key to 57
waters as a way of 47
waters of a bay or 82
waters of a new sea 44
weapons as a way of 218
weapons as a way to 159
weapons in a war of 149
wearied by a day of 56
wedded to a man of 175
wedded to a set of 118
wedded to a way of 45
weight as a man on 41
weight as a way of 120
weight as a way to 92
weight in a year or 43
weight is w and the 55
weight of a and the 54
weight of a bag of 547
weight of a bar of 365
weight of a beam is 73
weight of a beam of 100
weight of a beam or 63
weight of a box of 257
weight of a can of 107
weight of a car is 126
weight of a car of 43
weight of a car or 53
weight of a cow is 61
weight of a cup of 89
weight of a few of 53
weight of a gas at 229
weight of a gas by 80
weight of a gas if 126
weight of a gas in 198
weight of a gas is 756
weight of a gas or 221
weight of a gas to 95
weight of a gun in 45
weight of a head of 66
weight of a head so 71
weight of a heap of 43
weight of a jar of 57
weight of a lot of 153
weight of a man as 146
weight of a man at 74
weight of a man be 53
weight of a man in 310
weight of a man is 295
weight of a man of 185
weight of a man on 507
weight of a man or 138
weight of a man to 98
weight of a path is 146
weight of a ream of 578
weight of a rod of 111
weight of a set of 390
weight of a ton is 42
weight of a ton of 166
weight of a ton on 50
weight of a ton or 64
wheels of a car in 59
wheels of a car is 52
wheels of a car on 68
wheels of a car or 190
wheels of a car to 81
whereas if a man is 139
whereas if i put on 40
whereof if a man eat 104
whether as a boy he 42
whether as a man of 125
whether as a man or 352
whether as a poet or 116
whether as a set of 58
whether as a son or 43
whether as a way of 67
whether by a man in 56
whether by a man or 164
whether by a tax or 120
whether if i was in 43
whether in a bar or 45
whether in a car or 101
whether in a day or 45
whether in a dry or 55
whether in a fit of 82
whether in a man or 254
whether in a new or 44
whether in a poem or 75
whether in a raw or 96
whether in a real or 177
whether in a way of 137
whether of a bad or 93
whether of a day or 54
whether of a few or 47
whether of a god or 57
whether of a man or 567
whether of a real or 67
whether to a man or 53
whirling of a leaf at 56
whites as a way of 79
whither am i now to 43
wholly on a law of 61
widely as a way of 67
window as a way of 68
window as i lay in 123
window at a man in 45
window at a row of 120
window in a fit of 393
window in a row of 40
window is a row of 172
window is a set of 116
window is a way of 40
window of a bus or 54
window of a car as 60
window of a car at 47
window of a car in 129
window of a car is 44
window of a car or 136
window or a gap in 60
wisdom as a way of 129
wisdom in a man to 42
wisdom is a way of 57
wisdom of a heap of 79
wisdom of a man in 50
wisdom of a man is 71
wisdom of a man of 228
wisdom of a man to 51
wisdom of a mob of 93
wisdom to a man of 47
wisest in a man to 42
wisest thing i can do 398
wishes of a man of 42
wishes of a man so 41
wishes on a pot of 43
without it a man is 225
without it i can do 114
wonder as i sat at 96
wonder at a man of 131
wonder at a set of 42
wonder do i mean by 47
wonder if a few of 141
wonder if a lot of 552
wonder if a man is 117
wonder if a man of 191
wonder if a man so 51
wonder if i can be 573
wonder if i can do 991
wonder if i can go 410
wonder if i did it 105
wonder if i did the 855
wonder if i got the 40
wonder if i had it 40
wonder if i had the 314
wonder if i had to 273
wonder if i may be 125
wonder if i was as 97
wonder if i was at 43
wonder if i was in 393
wonder if i was on 151
wonder if i was the 483
wonder if i was to 154
wonder of a man of 61
worded in a way to 161
worked as a boy at 70
worked as a boy in 352
worked as a boy on 89
worked as a cop in 40
worked as a head of 56
worked as a lad in 43
worked as a man of 42
worked as a peon in 89
worked as a peon on 58
worked as a poet in 41
worked as a spy in 81
worked as a team at 87
worked as a team in 720
worked as a team of 97
worked as a team on 809
worked as a team to 1269
worked as a way of 136
worked as a way to 72
worked at a bar in 88
worked at a job he 75
worked at a job in 87
worked at a job or 63
worked at a lot of 207
worked by a cam on 134
worked by a gang of 76
worked by a man in 57
worked by a man of 53
worked by a man on 61
worked by a man or 75
worked by a set of 127
worked by a team of 168
worked in a bar in 176
worked in a bath of 120
worked in a bit of 59
worked in a day or 59
worked in a din of 41
worked in a gang of 48
worked in a lab at 49
worked in a lot of 557
worked in a team of 99
worked in a way to 112
worked in a year by 70
worked on a few of 120
worked on a job in 41
worked on a lot of 874
worked on a map of 53
worked on a set of 300
worked on a team to 48
worked on a way to 109
worked up a bit of 163
worked up a head of 200
worked up a lot of 239
worked up a set of 164
worker as a way of 78
worker is a cog in 42
worker is a man or 83
worker to a cog in 69
workings of a law of 56
workings of a set of 81
worlds as a way of 64
wretch of a man as 40
wrists of a man so 59
writer as a man of 268
writer as a way of 48
writer be a man of 41
writer is a man of 467
writer is a man or 134
writer of a poem on 70
writer of a set of 51
writer or a man of 70
writer or a poet or 45
writes as a man of 266
writes in a way to 101
writings as a way of 121
writings as a way to 58
writings of a few of 182
writings of a man of 587
writings of a man so 260
