wait longer before they could 69
wake which itself can exert 64
walk about london all night 45
walk running through its front 63
wall motion before and after 91
want equal rights for women 53
want peanut butter and jelly 172
ware white clothes and black 72
warm serving plates and serve 94
warm serving plates and spoon 59
warm water before and after 173
wash hands before and after 1336
wave lengths greater than about 63
wearing black slacks and black 46
wearing khaki shorts and shirt 60
wearing short skirts and tight 94
wearing white shirts and black 144
week period before and after 138
well below levels that could 43
well below levels that would 68
well doubt whether they could 124
well known figure was wanting 54
well known through his books 54
well under middle age whose 56
well would regard with equal 60
went about preaching and teaching 232
went right through his chest 161
went seething through his brain 41
were added before and after 46
were again filled with people 41
were again filled with water 66
were again inside and thomas 75
were alike edifying and alike 55
were asked before and after 86
were asked whether they agree 121
were asked whether they could 763
were asked whether they found 162
were asked whether they liked 265
were asked whether they lived 44
were asked whether they owned 78
were asked whether they still 47
were asked whether they voted 44
were asked whether they would 6276
were asked whether you would 77
were badly clothed and badly 42
were bared before thee where 106
were beaten before they began 80
were beaten before they could 44
were drawn before and after 44
were echoing through his brain 41
were fewer houses and fewer 84
were first filled with water 127
were first issued are still 49
were first peopled with human 98
were first washed with water 40
were flowing through her veins 40
were found before and after 95
were found filled with blood 104
were found gorged with blood 129
were found guilty and fined 765
were found guilty and given 457
were found guilty and hanged 1170
were found guilty they would 51
were gaily decked with flags 53
were given before and after 395
were given beside each entry 40
were given pencil and paper 58
were growing faster than sales 41
were holding meetings and drawing 45
were human skulls and hands 42
were indian dances for every 91
were lacking before they could 73
were large enough and strong 84
were large enough for small 45
were learning skills that would 43
were legal tender for debts 49
were looking busily for mills 102
were major browne and major 45
were nearly filled with water 125
were never before nor since 41
were never caught and never 56
were never lonely and never 59
were never taught and would 59
were noted before and after 54
were often caught off guard 45
were often filled with people 48
were often filled with water 77
were often without for whole 186
were others before and after 66
were passing through her brain 68
were passing through his brain 219
were passing through his hands 225
were passing through our minds 101
were peanut butter and jelly 65
were people around who could 49
were people around who would 47
were quick enough you might 48
were quite beyond his power 40
were quite unlike any others 45
were quite without that power 55
were rated before and after 62
were really filled with money 101
were running around and playing 96
were running around and yelling 63
