we add the fleet which 136
we all go about framing 83
we and the nation shall 89
we and the whole world 240
we and the world would 70
we and we alone clothe 46
we are an easter people 61
we are as strong again 52
we are at every point 62
we are at first aware 91
we are at first sight 251
we are at issue about 53
we are at times aware 78
we are in awful danger 95
we are in close touch 295
we are in danger either 40
we are in danger every 68
we are in denial about 113
we are in doubt about 1486
we are in doubt which 123
we are in dreams awake 267
we are in error about 93
we are in every sense 74
we are in grave danger 1149
we are in grave doubt 47
we are in honor bound 519
we are in outer space 46
we are in smooth water 83
we are in touch again 40
we are in worse shape 101
we are no doubt right 220
we are no doubt still 52
we are no longer alive 158
we are no longer alone 1666
we are no longer anything 65
we are no longer arguing 59
we are no longer asked 54
we are no longer aware 1141
we are no longer blind 78
we are no longer bound 2928
we are no longer brute 52
we are no longer close 40
we are no longer dupes 70
we are no longer either 44
we are no longer equal 124
we are no longer faced 775
we are no longer feeling 88
we are no longer fully 129
we are no longer getting 49
we are no longer given 60
we are no longer happy 76
we are no longer holding 53
we are no longer human 389
we are no longer hungry 187
we are no longer liable 88
we are no longer looking 549
we are no longer loved 62
we are no longer meeting 42
we are no longer moved 108
we are no longer naive 48
we are no longer playing 240
we are no longer prigs 43
we are no longer quite 580
we are no longer really 156
we are no longer relying 55
we are no longer rigid 51
we are no longer ruled 124
we are no longer running 123
we are no longer seeking 121
we are no longer soaring 83
we are no longer speaking 1176
we are no longer strong 98
we are no longer stuck 111
we are no longer taken 43
we are no longer talking 1605
we are no longer theirs 65
we are no longer thinking 781
we are no longer treating 78
we are no longer truly 59
we are no longer under 10299
we are no longer uneasy 50
we are no longer waiting 75
we are no longer walking 73
we are no longer where 72
we are no longer willing 754
we are no longer within 197
we are no longer working 565
we are no longer worthy 153
we are no longer writing 45
we are no nearer knowing 114
we are of later growth 102
we are on equal footing 124
we are on equal terms 221
we are on right lines 53
we are on speaking terms 169
we are so often asked 102
we are so often moved 43
we are so often urged 46
we are so proud today 69
we are so sorry about 67
we are the first group 71
we are the first human 110
we are the first nation 379
we are the first people 368
we are the first place 41
we are the first white 84
we are the right people 169
we are the weaker party 99
we are the whole world 96
we are to argue about 46
we are to avoid chaos 117
we are to avoid civil 45
we are to avoid creating 105
we are to avoid either 50
we are to avoid error 83
we are to avoid falling 234
we are to avoid getting 78
we are to avoid major 41
we are to avoid social 62
we are to avoid total 66
we are to avoid wasting 42
we are to begin again 113
we are to carry about 40
we are to carry every 47
we are to defer putting 61
we are to enter fully 72
we are to fully grasp 234
we are to grasp fully 125
we are to infer anything 56
we are to judge angels 291
we are to judge truly 40
we are to prove which 43
we are to reason about 251
we are to serve others 95
we are to spend money 47
we are to stand alone 61
we are to stand still 141
we are to start again 47
we are to study human 72
we are to under stand 43
we are to utter sweet 347
we are to worry about 123
we are to write about 130
we ask the whole people 56
we being the first white 51
we can at first sight 46
we can be brief about 66
we can be fully alive 41
we can be fully aware 89
we can be fully human 62
we can be happy about 123
we can be happy again 177
we can be healthy minds 73
we can be quite alone 165
we can be quite brief 55
we can be quite happy 72
we can be really happy 87
we can be really proud 63
we can be talking about 188
we can be thinking about 71
we can be truly happy 247
we can be truly proud 94
we can do about anything 101
we can do about changing 115
we can do about finding 116
we can do about getting 538
we can do anything about 1483
we can do until morning 98
we can go about changing 52
we can go about creating 41
we can go about finding 91
we can go about getting 98
we can go about setting 61
we can go about solving 49
we can no longer abide 90
we can no longer admit 136
