wage period 154 wage above 202
walk coals 210 walk peril 445
want anything 45 want wants 172
weary stand 46 well lands 59
well which 68 well plans 56
well point 41 well words 155
well sorts 83 well smoke 57
well began 40 went period 61
went point 127 went steep 92
went found 51 went wrote 149
went chief 67 went father 73
went study 80 went father 40
wept found 43 wept weeks 46
were period 46 were period 122
were period 136 were about 45
were period 107 were order 82
were period 66 were males 48
were others 321 were where 79
were period 52 were after 43
were period 186 were drove 62
were tried 225 were sides 134
were parts 104 were sides 558
were sides 185 were sides 94
were sleep 51 were morning 78
were sleep 105 were sleep 60
were sides 51 were hands 83
were brief 139 were period 56
were equal 47 were class 70
were group 533 were index 75
were large 279 were scale 61
were score 46 were under 58
were whole 161 were period 77
were after 42 were period 44
were period 486 were parts 85
were sides 70 were place 52
were parts 45 were equal 110
were valid 69 were loyal 70
were total 44 were period 46
were people 58 were period 80
were style 96 were could 45
were would 168 were found 63
were others 48 were period 56
were period 78 were period 369
were eight 43 were banks 44
were lives 55 were study 49
were period 51 were study 119
were point 108 were period 40
were civil 473 were forms 52
were noble 56 were share 947
were social 90 were state 98
were voice 55 were right 64
were share 581 were inner 92
were ranks 92 were scope 143
were terms 58 were ports 51
were study 179 were world 41
were count 57 were group 207
were meeting 40 were offer 46
were study 2234 were table 295
were trade 131 were reign 40
were reign 56 were period 186
were reign 121 were forms 47
were kinds 105 were local 59
were taxes 653 were tolls 69
were legal 92 were rigid 97
were order 62 were period 41
were parts 49 were human 69
were minor 52 were kingdom 43
were ranks 45 were spain 176
were party 53 were kingdom 47
were region 52 were region 60
were period 49 were views 43
were period 68 were period 161
were could 81 were period 127
were parts 113 were minor 79
were nation 144 were period 75
were period 69 were sides 40
were miles 147 were first 65
were period 260 were period 94
were period 85 were others 89
were liver 159 were defeat 55
were period 166 were twice 74
were again 83 were could 58
were period 47 were parts 72
were period 75 were after 151
were period 664 were study 228
were period 140 were parts 96
were child 94 were group 52
were ridge 49 were group 52
were study 137 were could 93
were found 41 were would 127
were could 68 were never 43
were would 71 were period 95
were found 83 were shone 139
were period 78 were liver 78
were stock 43 were fifty 64
were twice 50 were happy 53
were cooking 216 were cutting 125
were digging 68 were holding 57
were hunting 100 were storing 165
were people 68 were could 59
were after 54 were period 143
were period 2219 were period 43
were grade 67 were period 84
were sides 57 were board 55
were tried 41 were parts 48
were period 135 were parts 712
were sides 73 were father 53
were house 88 were after 74
were period 46 were period 354
were study 54 were minor 41
were period 47 were state 41
were found 111 were again 59
were period 446 were parts 194
were sides 66 were region 46
were period 60 were again 57
were hands 50 were about 142
were ought 44 were fifty 63
were serfs 50 were parts 125
were block 53 were class 73
were grade 60 were group 236
were plant 45 were region 44
were state 56 were group 178
were women 72 were hands 56
were twice 109 were hands 69
were misty 52 were human 40
were small 51 were sleep 51
were found 66 were backs 53
were fever 79 were grazing 65
were small 53 were parts 344
were which 73 were sides 63
were wailing 117 were visit 51
were hands 41 what waged 389
what hither 40 what known 151
what focus 63 what known 151
what feeling 132 what looking 43
what talking 168 what thinking 950
what found 51 what manly 45
what shown 43 what after 436
what first 51 what night 74
what period 318 what period 535
what point 124 what point 130
what evening 70 what morning 268
what never 57 what quite 42
what night 67 what where 126
what father 45 what mother 65
what father 122 what mother 119
what asked 43 what first 59
what found 48 what tried 144
what first 118 what found 72
what tried 227 what people 51
what asked 60 what first 198
what found 119 what lived 63
what loved 45 what mixed 41
what spoke 40 what tried 387
what anything 129 what after 40
what period 55 what period 127
what asked 77 what above 42
what motion 43 what offer 243
what steps 71 what beset 115
what liver 46 when sixty 172
when added 93 when sleep 70
when eight 64 when horse 53
when first 115 when terms 51
when color 52 when found 56
when waded 46 when taken 68
when apart 75 when ceased 125
when given 202 when given 91
when either 103 when getting 182
when looking 45 when playing 46
when running 100 when selling 63
when sitting 58 when still 196
when talking 75 when working 78
when place 70 when point 141
when usual 59 when parts 76
when asked 86 when built 78
when point 88 when point 207
when still 210 when prime 63
when point 143 when talking 43
when wants 101 when first 50
whom place 46 wild could 94
will worse 96 will money 129
will large 44 will wives 40
will place 47 will types 53
will cases 51 will types 58
will point 112 will point 104
will until 48 will lives 40
will midst 88 will world 83
will close 41 will about 78
will horse 46 will force 91
will where 62 will altar 415
will girls 43 will skill 45
will preach 62 will preach 40
will order 118 will about 69
will money 48 will title 59
will short 108 will place 47
will about 81 will after 202
will people 92 will while 42
will since 40 will about 50
will alone 99 will feeling 52
will puppy 267 will money 54
will worse 137 will laugh 68
will smile 49 will worse 67
will place 41 will about 51
will money 335 will place 66
will place 233 will months 50
will months 58 will about 146
will longer 126 will about 213
will where 43 will which 43
will stage 47 will within 52
will first 45 will would 67
will aaron 140 will which 44
will parts 86 will party 121
will above 61 will about 49
wilt hadst 76 work still 141
work point 46 work people 71
work period 344 work fever 83
worn cheek 51 wrong asked 69
