wad up the paper and 52
wad ye be sorry for 65
war as an event that 151
war as an option for 45
war as it really was 201
war as the basis for 200
war as the price for 59
war as the reason for 98
war as the world does 657
war as the world had 60
war as the world has 99
war as to cause her 62
war at the front and 212
war by an enemy are 56
war if he could get 43
war if he could not 116
war if it breaks out 44
war if it broke out 116
war if it could not 69
war in the civil war 91
war in the crimea and 247
war in the crimea had 147
war in the crimea was 284
war in the dutch east 148
war in the event that 801
war in the field and 106
war in the field was 90
war in the first few 102
war in the first six 45
war in the first two 242
war in the first year 132
war in the hopes that 89
war in the indian seas 98
war in the indian sub 40
war in the korean war 93
war in the minds and 41
war in the press and 57
war in the region and 153
war in the region was 73
war in the right way 73
war in the sense that 2132
war in the short run 131
war in the sudan and 154
war in the sudan has 82
war in the sudan was 91
war in the usual way 41
war in the world and 302
war in the world has 44
war in the world was 68
war in the yemen was 52
war is an overt act 63
war is in keeping with 40
war is in words and 71
war is no longer one 40
war is no place for 144
war is no reason for 42
war is of every man 59
war is so small that 66
war is so strong that 43
war is the father and 48
war is the first and 145
war is the reason why 41
war is to blame for 57
war it is known that 66
war it is taken for 159
war of the frogs and 87
war of the giants and 76
war of the giants has 48
war of the giants was 49
war of the giants with 53
war of the league and 41
war of the nation and 43
war of the people and 54
war of the people for 61
war of the period was 40
war of the races that 40
war of the roses had 48
war of the sexes and 205
war of the sexes has 60
war of the sexes that 112
war of the sexes was 81
war of the white man 48
war of the world and 54
war on an enemy who 43
war on the basis that 355
war on the cruel and 53
war on the dutch and 106
war on the enemy and 48
war on the first day 139
war on the fourth day 46
war on the league with 65
war on the lives and 61
war on the nation and 61
war on the people and 120
war on the people who 107
war on the rhine and 108
war on the rhine had 103
war on the rhine was 120
war on the scale that 111
war on the social and 58
war on the state and 64
war on the turks and 196
war on the white man 290
war on the white men 97
war on the whole was 45
war on the women and 90
war on the world and 119
war or the chase are 124
war or the sword with 45
war to be aware that 57
war to be built and 53
war to be short and 81
war to be waged for 44
war to be waged with 214
war to the civil war 42
war to the enemy and 344
war to the enemy was 73
war to the enemy with 63
war to the knife and 796
war to the knife for 63
war to the knife had 47
war to the knife now 63
war to the knife was 418
war to the knife with 1057
war to the lives and 54
war to the people who 46
war to the point that 199
war to the reason and 47
was as an actor and 61
was as an actor that 392
was as an agent for 55
was as an author that 96
was as if after all 48
was as if alice had 40
was as if angels had 40
was as if billy had 47
was as if david had 127
was as if david was 47
was as if every day 85
was as if every man 375
was as if every one 273
was as if father and 45
was as if heaven and 86
was as if heaven had 295
was as if helen had 41
was as if jesus had 169
was as if jesus was 124
was as if light had 46
was as if moses had 55
was as if mother had 50
was as if night had 128
was as if people had 300
was as if peter had 62
was as if satan had 69
was as if sleep had 43
was as if water had 103
was as if world war 51
was as my father had 60
was as my mother had 43
was as the basis for 52
was as the burning sun 48
was as the letting out 55
was as the women had 48
was as to which was 59
was as we shall see 213
was as ye shall hear 77
was at in burying her 41
was at it again and 103
was at it again this 48
was at it again with 146
was at me about that 83
was at my elbow all 59
was at my elbow and 78
was at my elbow with 68
was at my heels and 54
was at my house all 53
was at my house and 321
was at my house for 146
was at my house one 282
was at my house she 66
was at my house that 272
was at my house this 119
was at my house with 128
was at my mercy and 63
was at my place and 69
was at my right and 43
was at my worst and 67
was at no stage any 80
was at or about this 127
was at sea again and 82
was at sea again with 62
was at sea bound for 47
was at sea level and 80
was at the after end 71
was at the altar and 80
was at the altar with 123
was at the breaking out 125
was at the court and 71
was at the court that 87
was at the court with 40
was at the cross that 228
was at the cross with 53
was at the crown and 75
was at the crown inn 119
was at the dance and 64
was at the dance with 54
was at the depot and 80
was at the depot with 93
was at the evening meal 85
was at the first and 105
was at the first day 254
was at the first not 44
was at the first one 65
was at the flood and 90
was at the front all 109
was at the front and 970
was at the front end 268
was at the front for 218
was at the front near 43
was at the front that 109
was at the front with 603
was at the gable end 54
was at the gates and 141
was at the gates with 243
was at the george inn 40
was at the hague and 112
was at the hague one 105
was at the hague that 176
was at the happy age 211
was at the hotel and 259
was at the hotel for 57
was at the hotel that 278
was at the hotel with 207
was at the house all 97
was at the house and 541
was at the house for 224
was at the house now 108
was at the house one 86
was at the house she 118
was at the house that 397
was at the house this 96
was at the house with 315
was at the inner end 83
was at the landing and 53
was at the landing with 58
was at the level that 66
was at the local and 47
was at the lower end 4665
was at the meeting and 741
was at the meeting but 42
was at the meeting for 73
was at the meeting that 230
was at the meeting this 58
was at the meeting too 45
was at the meeting with 224
was at the mercy not 89
was at the naval air 53
was at the naval war 50
was at the opening and 54
was at the opera and 51
was at the opera one 40
was at the opera that 220
was at the opera with 199
was at the organ and 253
was at the outer end 89
was at the parking lot 51
was at the party and 425
was at the party but 52
was at the party for 60
was at the party that 366
was at the party they 41
was at the party too 89
was at the party with 241
was at the place and 111
was at the place now 141
was at the place that 42
was at the plant and 44
was at the plate and 68
was at the plate with 83
was at the point now 106
was at the point that 748
was at the races and 53
was at the races that 46
was at the ranch and 102
was at the ranch for 55
was at the ranch that 45
was at the ranch with 95
was at the right age 248
was at the right and 88
was at the right end 131
was at the river and 52
was at the river with 44
was at the scene and 336
was at the scene but 47
was at the scene that 45
was at the scene with 66
was at the sharp end 156
was at the short end 62
was at the siege and 251
was at the small end 47
was at the stage that 111
was at the start and 90
was at the state and 180
was at the stern and 45
was at the store and 214
was at the store for 57
was at the store that 40
was at the store with 69
was at the stove and 125
was at the stove with 85
was at the studio and 86
was at the studio for 46
was at the studio with 45
was at the table and 503
was at the table but 50
was at the table eating 203
was at the table for 80
was at the table now 61
was at the table she 42
was at the table that 384
was at the table too 81
was at the table with 1621
was at the theater and 218
was at the theater that 168
was at the theater with 155
was at the upper end 1883
was at the wedding and 140
was at the wedding that 92
was at the wharf and 65
was at the wharf with 41
was at the wheel and 1619
was at the wheel for 106
was at the wheel now 77
was at the wheel that 49
was at the wheel was 54
was at the wheel with 274
was at the white heat 46
was at the worst but 63
was at the zenith and 88
was by an action for 85
was by an author who 186
was by an order and 102
was by it taken for 41
was by my arrow you 44
was by my order that 99
was by sea rather than 48
was by the canon law 118
was by the civil law 155
was by the feeling that 41
was by the grace and 80
was by the light and 45
was by the lords that 92
was by the mayor and 65
was by the naked eye 155
was by the noble earl 40
was by the order and 77
was by the owner and 47
was by the people who 51
was by the power and 135
was by the river and 74
was by the roman law 90
was by the sword and 116
was by the sword that 261
was by the tight and 68
was by the words and 117
was go to sleep and 66
was he at times that 146
was he in every way 67
was he in keeping his 132
was he in league with 77
was he in milan than 127
was he in power than 72
was he in touch with 167
was he on board than 162
was he the first man 135
was he the first one 58
was he the first that 50
was he the first who 108
was he the right man 68
was he to allow his 44
was he to argue with 256
was he to avoid them 63
was he to begin his 142
was he to blame for 231
was he to carry his 71
was he to carry out 184
was he to fetch this 49
was he to guess that 264
was he to judge her 124
was he to please his 43
was he to prove his 84
was he to prove that 139
was he to spend his 75
was if he could get 74
was if he could not 171
was if it could not 50
was if my father had 62
was if we could get 46
was in an action for 76
was in an agony and 107
was in an agony for 107
was in an agony that 352
was in an aisle seat 85
was in an alley off 85
was in an awful fix 107
was in an awful lot 61
was in an awful wax 40
was in an awful way 141
was in an orbit that 40
was in an uneasy and 44
was in an uneasy seat 75
was in an unfit and 40
was in an urban area 309
was in he could not 82
was in it could not 47
was in it rather than 41
was in it which was 55
was in my blood and 393
was in my bones and 92
was in my boots and 57
was in my brain and 46
was in my breast and 40
was in my cabin and 51
was in my cabin with 50
was in my class and 353
was in my class for 179
was in my eighth year 243
was in my favor and 132
was in my favor that 89
was in my final year 532
was in my first job 96
was in my first real 48
was in my first year 3524
was in my fourth year 922
was in my grade and 52
was in my group and 50
was in my hands and 484
was in my hands for 136
was in my hands now 53
was in my house and 334
was in my house for 124
was in my house that 420
was in my house with 140
was in my junior year 1267
was in my lucky day 61
was in my place and 113
