wages a tax determined in 46
weather a long promontory on 91
where a dot represents an 70
where a few algonquins of 66
where a low coefficient of 42
where a low percentage of 73
where a man undertakes to 125
where a mob surrounded the 42
where a new corporation is 107
where a new technology is 108
where a real foreground of 44
where i can contribute to 65
where i got interested in 70
where i got introduced to 42
where i had absolutely no 109
where i had determined on 57
where i had determined to 689
where i had difficulty in 46
where i had disappeared to 118
where i had discovered the 574
where i had undertaken to 49
where i saw multitudes of 54
where i was accustomed to 921
where i was approached by 86
where i was astonished at 51
where i was astonished to 225
where i was confronted by 220
where i was constantly in 40
where i was determined to 237
where i was encouraged by 43
where i was encouraged to 235
where i was fascinated by 88
where i was imprisoned by 47
where i was instructed in 56
where i was instructed to 247
where i was interested in 127
where i was interested to 45
where i was introduced as 94
where i was introduced by 275
where i was introduced to 4255
where i was privileged to 838
where i was registered as 59
where i was successful in 50
where i was surrounded by 828
where x now represents the 47
which a due application to 42
which a due appreciation of 44
which a due observance of 51
which a few generations of 45
which a few milligrams of 48
which a long description of 49
which a long experience in 72
which a long experience of 142
which a low percentage of 75
which a man accustomed to 160
which a man approaches the 55
which a man entertains of 179
which a new arrangement of 105
which a new combination of 49
which a new corporation is 72
which a new government is 44
which a new individual is 214
which a new philosophy of 62
which a new technology is 203
which a new technology or 45
which a poet attributes to 41
which a real difference of 49
which i can contribute to 218
which i can illustrate by 45
which i can illustrate in 41
which i can illustrate the 41
which i can understand the 80
which i did immediately on 59
which i had absolutely no 1106
which i had acquainted my 41
which i had approached it 59
which i had approached the 180
which i had attributed to 385
which i had calculated on 60
which i had considered as 448
which i had considered it 64
which i had considered so 40
which i had considered the 58
which i had considered to 100
which i had constantly to 80
which i had contracted at 76
which i had contracted in 242
which i had contracted to 102
which i had cultivated in 40
which i had determined in 56
which i had determined on 51
which i had determined to 1355
which i had difficulty in 823
which i had discharged my 109
which i had discharged the 98
which i had discovered at 101
which i had discovered by 72
which i had discovered in 863
which i had discovered on 132
which i had discovered the 239
which i had discovered to 88
which i had dispatched to 69
which i had dissipated my 94
which i had formulated in 45
which i had identified as 88
which i had introduced as 45
which i had introduced at 50
which i had introduced in 140
which i had introduced it 43
which i had introduced the 45
which i had introduced to 83
which i had manifested to 42
which i had originated in 51
which i had overlooked in 144
which i had personally to 40
which i had prescribed to 270
which i had recognized as 183
which i had recognized in 66
which i had remembered as 244
which i had sacrificed my 69
which i had stipulated to 66
which i had understood to 167
which i had undertaken at 117
which i had undertaken in 197
which i had undertaken on 72
which i had undertaken the 151
which i had undertaken to 1083
which i may experience as 717
which i may illustrate in 60
which i now considered as 598
which i now determined to 108
which i now discovered to 66
which i now recognized as 440
which i now recognized to 86
which i now understand as 89
which i now understand is 98
which i now understand to 88
which i now understood to 51
which i saw advertised in 80
which i saw subscribed to 65
which i see advertised in 78
which i see manifested in 106
which i then attributed to 77
which i then considered as 182
which i then considered to 50
which i then discharged it 78
which i was accustomed at 60
which i was accustomed in 233
which i was accustomed to 2123
which i was acquainted at 152
which i was acquainted in 65
which i was astonished to 337
which i was confronted by 41
which i was confronted in 79
which i was considered an 42
which i was considered to 45
which i was determined he 43
which i was determined to 2125
which i was encouraged by 159
which i was encouraged to 326
which i was enraptured he 99
which i was eventually to 98
which i was frightened to 46
which i was instigated by 78
which i was instructed by 134
which i was instructed in 119
which i was instructed to 956
which i was interested at 65
which i was interested in 883
which i was interested to 150
which i was introduced as 85
which i was introduced at 81
which i was introduced by 520
which i was introduced in 155
which i was introduced on 49
which i was introduced to 712
which i was privileged to 4208
which i was solicitous to 43
which i was successful in 140
which i was surrounded as 50
which i was surrounded at 55
which i was surrounded by 104
which i was surrounded in 68
which i was surrounded on 43
which i was unconscious at 119
which i was unprepared to 57
which s was instructed to 58
while a bad conscience is 47
while a few personages or 141
while a low percentage of 71
while i can understand the 69
while i had confidence in 40
while i lay unconscious in 51
while i thus illustrate the 43
while i was ambassador in 51
while i was ambassador to 41
while i was convalescing in 45
while i was deliberating in 46
while i was determined to 215
while i was distracted by 217
while i was experiencing it 121
while i was experiencing the 100
while i was fascinated by 114
while i was imprisoned in 62
while i was interested in 537
while i was interviewing the 48
while i was introduced to 108
while i was privileged to 136
while i was recuperating at 55
while i was recuperating in 66
while i was restrained by 49
while i was surrounded by 498
while i was transcribing the 48
while i was unconscious of 120
within a few generations as 95
within a few generations at 74
within a few generations by 111
within a few generations if 71
within a few generations in 94
within a few generations is 43
within a few generations it 118
within a few generations of 700
within a few generations the 616
within a few generations to 194
within a few generations we 64
within a few kilometers of 2804
within a few nanometers of 220
within a few nucleotides of 48
within a few paragraphs of 70
within a new department of 106
woman i was interested in 55
woman i was introduced to 44
women i was interested in 93
words i can generalize the 46
world a new phenomenon in 76
world a new philosophy of 42
world i was accustomed to 40
would a real supervision of 43
write a few paragraphs in 130
write a few paragraphs of 81
write a few paragraphs on 174
write a few paragraphs to 68
write a job description of 99
write a long description of 93
write a new commentary on 65
write a new declaration of 52
writing a long memorandum to 43
writing a new commentary on 53
wrote a few paragraphs in 47
wrote a few paragraphs on 41
wrote a long appreciation of 63
wrote a long commentary on 219
wrote a long description of 506
wrote a long explanation of 84
wrote a long memorandum in 118
wrote a long memorandum of 43
wrote a long memorandum on 296
wrote a long memorandum to 484
wrote a long vindication of 43
wrote a new commentary on 50
