wait before 143 wait school 99
wake course 59 warm oxygen 80
wars killed 47 wave europe 80
ways seemed 46 weary boston 61
weary rivers 76 week better 83
were square 158 were ladies 42
were cannon 53 were pieces 52
were prison 40 were prison 45
were actual 60 were career 72
were degree 59 were drinking 53
were family 106 were feelings 374
were future 312 were initial 41
were opinion 195 were reaction 72
were reasons 255 were school 108
were sexual 166 were caused 54
were serious 48 were likely 842
were prison 170 were feeble 55
were likely 53 were albany 46
were rights 114 were rights 54
were grants 94 were horses 71
were fathers 126 were leaders 43
were mothers 144 were owners 81
were enough 120 were whether 670
were whether 53 were notice 60
were prison 118 were looked 45
were school 51 were another 50
were normal 51 were rights 391
were rights 72 were likely 62
were common 44 were likely 1154
were whether 92 were ground 206
were wounds 292 were wounds 49
were brains 57 were course 48
were memory 139 were supper 41
were before 62 were feelings 95
were future 61 were brother 84
were family 74 were friend 56
were before 72 were likely 51
were before 191 were future 43
were beyond 118 what called 269
what called 48 what called 136
what called 61 what driven 50
what called 76 what become 211
what turned 53 what wanted 55
what arisen 152 what wanted 57
what called 87 what called 235
what called 60 what called 228
what called 105 what called 63
what thought 73 what wanted 43
what called 43 what called 77
what called 89 what unique 85
what become 272 what proved 48
what wanted 57 what called 44
what thought 346 what called 90
what thought 245 what thought 76
what thought 230 what called 76
what called 389 what thought 62
what singular 49 what someone 40
what called 75 what helped 43
what proved 75 what thought 44
when feelings 102 when future 167
when reasons 58 when ashore 69
when struck 309 when needed 165
when govern 65 when become 40
when winter 56 when before 44
when through 74 when cleared 40
when thought 46 when killed 51
when killed 51 when through 77
when events 52 when future 52
when issues 46 when cracks 49
when scarce 40 when sexual 59
whom placed 43 whom struck 53
whom called 56 whom return 43
wild molest 169 wild stirring 71
wild render 48 wild wheels 78
wild latter 119 wild raised 53
will clearly 740 will obvious 68
will serious 61 will strange 78
will striking 230 will remind 41
will weight 134 will shafts 100
will effect 77 will banner 94
will another 43 will itself 59
will belongs 40 will diocese 68
will whether 122 will enable 69
will result 62 will enough 40
will useful 73 will gladly 53
will letter 41 will career 51
will pounds 59 will pounds 44
wind narrow 44 wind england 43
word likely 84 word disease 174
word likely 48 word weight 68
work school 79 work school 406
work before 48 work lifted 81
work reached 311 worm buried 47
worn before 52 wrath itself 40
