waddling gait and to seem 75
wagons were set on fire 79
waited along with the other 45
waited less than an hour 67
waited more than an hour 2351
waited only for the coming 118
waited only for the fury 71
waited only for the news 43
waited only for the pearl 90
waited only for the time 46
waited only for the word 59
waited there for an hour 277
waited there for the next 49
waited there for the rest 80
waited there long in vain 42
waited till all the other 47
waited till now to tell 105
waited till two or three 70
waited upon her the next 53
waited upon him in form 42
waited upon him the next 149
waited upon him the same 64
waited upon him to know 108
waited upon him to rome 43
waited upon him to take 49
waited upon him to thank 44
waited upon him to urge 104
waited upon him to wish 54
waited upon than in some 67
waited upon them at their 68
waited upon with so much 41
waited upon you at your 41
waiter call her by some 49
waiter came with the bill 159
waiter came with the food 61
waiter came with the menu 59
waiter came with the wine 48
walked along one of these 79
walked along with the rest 63
walked away for the last 87
walked away with as much 321
walked away with at least 43
walked away with no more 98
walked away with the best 52
walked away with the girl 45
walked away with the lone 83
walked away with the most 107
walked away with the other 129
walked away with the race 48
walked away with the same 118
walked away with the ship 98
walked away with the show 203
walked back out the door 452
walked down one of these 99
walked down two or three 52
walked down with me from 58
walked from east to west 124
walked here for an hour 75
walked home now he went 98
walked home with me from 170
walked home with us from 67
walked into one of their 92
walked into one of these 219
walked into one of those 299
walked more than an hour 131
walked nine men of tall 50
walked over them at their 54
walked past all the other 70
walked past him on their 50
walked past them to join 92
walked some two or three 47
wander away and be lost 105
wander forth for the gain 127
wander into one of these 56
wander paths for the north 70
wander till all the years 45
wanted just for the asking 44
wanted less than an hour 50
wanted more out of life 3038
wanted more out of their 55
wanted more say in their 40
wanted more than an hour 149
wanted more than the baking 155
wanted more than the mere 131
wanted more than the other 61
wanted more than to have 399
wanted more than to just 64
wanted more than to make 71
wanted more than to stay 41
wanted more than to take 81
wanted most out of life 378
wanted most was to find 70
wanted most was to have 151
wanted most was to keep 70
wanted most was to know 54
wanted most was to make 45
wanted most was to talk 61
wanted nothing but the best 620
wanted nothing but the name 118
wanted nothing but the truth 100
wanted nothing but to have 113
wanted nothing but to live 84
wanted nothing but to make 55
wanted only one thing from 368
wanted only two or three 118
wanted other things as well 131
wanted peace for the sake 52
wanted some idea of what 105
wanted some one to care 58
wanted some one to come 71
wanted some one to give 145
wanted some one to help 235
wanted some one to keep 122
wanted some one to look 98
wanted some one to love 103
wanted some one to make 43
wanted some one to play 52
wanted some one to speak 76
wanted some one to take 265
wanted some one to talk 212
wanted some one to tell 40
wanted some one to whom 100
wanted some two or three 41
wanted their son to have 135
wanted these men to know 44
wanton eyes and the like 57
warmed more than the other 51
warmly when you go down 50
warned iraq that it will 182
washed away all my sins 88
washed away all the dirt 74
washed away all the lime 42
washed away all the sins 104
washed away all the soil 44
washed away all the years 41
washed away and the gold 90
washed away and the land 66
washed away and the soil 46
washed away and the third 82
washed away with so much 126
washed away with the dirt 68
washed away with the flow 49
washed away with the next 103
washed away with the rain 111
washed away with the soil 51
washed away with the tears 71
washed away with the tide 144
washed down with as much 47
washed down with the best 285
washed down with the hose 61
washed down with the last 65
washed down with the least 80
washed down with the rain 46
washed down with the same 40
washed down with the wine 95
washed from head to foot 1302
washed once with the same 105
washed over her in great 50
washed over her in wave 44
washed over with the same 62
washes away all the sins 153
wasted more than an hour 264
watching along with the rest 46
