war and civil strife in 81
war and could hardly be 43
war and ethnic cleansing in 116
war and later became the 40
war and later served as 75
war and later served in 40
war and quite another to 45
war are stern enough in 47
war for every chance to 42
war had begun before the 83
war had ended before he 67
war had ended before the 107
war that could hardly be 52
war that could result in 61
war that herod should be 76
war that large bodies of 63
war that might result in 88
war that never seemed to 56
war that raged across the 49
war that raged through the 48
war that sails through the 90
war that would decide the 63
war that would follow the 53
war that would result in 246
war that would threaten the 41
war they would decide the 72
war was drawing closer to 56
war was getting closer to 49
war was still dragging on 410
war was still hurrying to 85
war with either england or 165
war with either france or 437
war with human nature at 184
war with indian nations is 80
war with japan before the 65
war with japan should be 100
war with japan without the 56
war with large bodies of 52
war with louis without the 53
war with russia before the 46
war with russia seemed to 74
war with russia should be 51
war with spain seemed to 70
war with spain should be 77
war with spain without the 71
was all about before he 63
was all plain enough to 61
was all plumb scared to 53
was all right before he 260
was all right before the 128
was all right enough to 56
was all right except the 77
was and never should be 59
was and never wanted to 42
was and shall always be 67
was and still should be 104
was and would always be 2818
was and would remain an 185
was and would remain in 126
was and would remain the 636
was any doubt whether the 63
was any large amount of 46
was any learning beyond the 102
was any noise wanted he 59
was being asked whether he 136
was being asked whether the 80
was being badly treated by 123
was being blown across the 85
was being borne through the 190
was being built across the 694
was being built around it 49
was being built around the 221
was being built behind the 43
was being built beside the 59
was being built through the 334
was being drawn across the 147
was being drawn around the 52
was being drawn closer to 206
was being drawn through the 183
was being drawn toward the 236
was being moved across the 99
was being moved around the 40
was being moved through the 74
was being moved toward the 58
was being piped through the 58
was being rowed across the 103
was being rowed toward the 53
was being shown around by 107
was being shown around the 276
was being shown through the 205
was being spread abroad in 43
was being spread across the 56
was being spread around the 44
was being spread through the 157
was being swept toward the 51
was being taken across the 163
was being taken around the 51
was being taken before the 70
was being taken through the 387
was being taken toward the 47
was being thrown across the 132
was being thrown around in 40
was being thrown around the 67
was being towed across the 71
was being towed behind the 82
was being towed through the 117
was being tried before the 205
was being waged across the 57
was being waged around the 40
was being waged behind the 48
was but small chance of 126
was but thinly veiled by 81
was but women claiming the 65
was cut large enough to 45
was cut right across the 44
was cut right through the 139
was cut short before he 315
was cut short before it 144
was cut short before the 128
was cut short enough to 45
was cut short through the 48
was doing every minute of 117
was doing quite poorly in 47
was due quite simply to 66
was dying right before my 50
was far spent before he 65
was far spent before the 144
was far spent before we 80
was for every member of 73
was for every member to 43
was for months unable to 42
was for short periods of 52
was get close enough to 82
was god which worked in 50
was god working through me 40
was going large before the 43
was going right through me 51
was going right through the 109
was going right through to 40
was got thither before us 45
was her chief source of 111
was her daily custom to 52
was her first attack of 63
was her first chance to 398
was her first choice of 41
was her first effort at 64
was her first effort in 43
was her first effort to 81
was her first lesson in 179
was her first letter to 43
was her first memory of 48
was her first mention of 57
was her first moment of 43
was her first reaction to 50
was her first return to 54
was her first thought as 219
was her first thought on 41
was her first volume of 45
was her guide across the 64
was her habit always to 69
was her major source of 79
was her mother jealous of 47
was her parting speech to 106
was her strong desire to 63
was her usual custom to 71
was his burning desire to 142
was his chief design in 59
was his chief desire to 91
was his chief motive in 68
was his chief object in 99
was his chief object to 128
was his chief source of 514
was his daily custom to 371
was his father instead of 45
was his final answer to 64
was his final chance to 60
was his final effort to 109
was his first attack of 58
was his first battle in 40
was his first chance at 71
was his first chance of 111
was his first chance to 969
was his first choice as 183
was his first choice of 57
was his first choice to 114
was his first effort at 212
was his first effort in 256
was his first effort to 195
was his first flight in 54
was his first friend on 133
was his first lesson in 433
was his first letter to 172
was his first memory of 41
was his first mention of 153
was his first moment of 113
was his first motive in 45
was his first object of 82
was his first object to 222
was his first reaction to 127
was his first remark as 139
was his first return to 203
was his first sermon in 48
was his first source of 45
was his first speech in 161
was his first speech to 59
was his first summer in 85
was his first sunday at 41
was his first teacher in 88
was his first teacher of 41
was his first thought as 222
was his first thought at 73
was his first thought in 63
was his first thought on 115
was his first thought to 122
was his first volume of 129
was his first voyage as 144
was his first voyage in 120
was his first voyage on 62
was his first voyage to 193
was his first winter in 67
was his fixed policy to 59
was his grand object to 57
was his guide through the 85
was his habit always to 201
was his lengthy speech on 51
was his major source of 144
was his running through the 58
was his stock answer to 61
was his strong belief in 130
was his strong desire to 247
was his usual answer to 55
was his usual custom in 80
was his usual custom on 56
was his usual custom to 408
was his usual manner of 132
was his usual policy in 57
was his usual reaction to 57
was his usual salute at 92
was his usual signal to 40
was his voice raised in 48
was his wound thought to 45
was its chief source of 131
was its first creation in 56
was its first editor in 43
was its large number of 84
was its major source of 85
was its moral effect on 45
was its solid height of 45
was led bound before the 70
was led still further to 69
was long known simply as 66
was long since proved by 96
was long since wearied by 41
was lying awake nights to 41
was lying fully clothed on 162
was lying right across the 122
was near night before the 53
was near night before we 40
was not about whether or 139
was not about whether the 181
was not about whether to 95
was not above altering the 40
was not above appealing to 178
was not above dabbling in 52
was not above enjoying the 107
was not above laughing at 44
was not above stooping to 81
was not above twelve or 59
was not above twisting the 80
was not acute enough to 338
was not added before the 47
was not adept enough to 45
was not adult enough to 58
was not again called up 87
was not again engaged in 49
was not agile enough to 193
was not aimed merely at 117
was not aimed simply at 77
was not aimed solely at 331
was not alert enough to 415
was not alone amongst the 96
was not alone enough to 105
was not alone through the 73
was not ample enough to 201
was not anything better to 126
was not anything brutal in 50
was not anything except the 58
was not anything hidden in 42
was not anything special in 54
was not anything special to 202
was not asked whether he 379
was not asked whether it 44
was not asked whether or 81
was not asked whether the 207
was not awake enough to 263
was not aware before of 42
was not aware enough of 82
was not aware enough to 101
was not aware whether he 73
was not aware whether it 56
was not aware whether or 56
was not aware whether the 264
was not based mainly on 98
was not based merely on 591
was not based purely on 196
was not based simply on 662
was not based solely on 2611
was not based wholly on 123
was not begun before the 219
was not binding unless the 70
was not binding without the 47
was not black enough to 100
was not blind enough to 76
was not bound unless he 43
was not brash enough to 44
was not brave enough or 82
was not brave enough to 3621
was not broad enough in 113
was not broad enough or 48
was not broad enough to 2042
was not built around the 113
was not built before the 230
was not cause enough to 58
was not cited before the 48
was not close enough in 43
was not close enough to 5643
was not crazy enough to 742
was not cruel enough to 312
was not cunning enough to 152
was not dense enough to 451
was not drawn before my 100
was not drawn through the 113
was not drawn toward the 47
was not drunk enough to 424
was not easily amazed at 43
was not easily fooled by 59
was not easily reached by 56
was not easily roused by 68
was not easily roused to 66
was not easily swayed by 254
was not easily warmed up 43
was not either called by 41
was not either killed or 196
was not ended before the 53
was not every injury or 90
was not exact enough to 86
was not falling behind in 53
was not filed before the 92
was not first thought of 58
was not fixed before the 96
was not flowing through the 47
was not force enough in 94
was not force enough to 103
was not found amongst the 99
was not found before the 124
was not found except in 40
was not found guilty by 51
was not found guilty in 47
was not found guilty of 998
was not found guilty on 56
was not found inside the 47
was not found useful in 50
was not frank enough to 56
was not fresh enough to 78
was not fully backed by 52
was not fully behind the 69
was not fully cleared up 66
was not fully engaged in 133
was not fully formed at 50
was not fully formed in 82
was not fully master of 88
was not fully offset by 247
was not fully served by 134
was not fully shared by 438
was not fully suited to 41
was not fully versed in 46
was not funny enough to 95
was not gaining weight as 53
was not geared toward the 84
was not getting across to 110
was not getting better at 44
was not getting better in 41
was not getting closer to 70
was not getting enough of 291
was not getting enough to 742
was not getting through the 63
was not getting through to 1863
