wagons up 117 wagons of 59
waited to 75 waited to 50
waited in 42 waited in 57
waited to 41 waited to 48
waited in 41 waited to 46
waited the 72 waited to 121
waited to 50 waited in 51
waited in 74 waited to 53
waited of 56 waited to 66
waited to 52 waited to 238
waited to 161 waited to 185
waited to 139 waited to 81
waited to 43 waited of 42
waited in 100 waited to 58
waited to 70 waited be 41
waited be 42 waited the 48
waited to 118 waited the 79
waited the 50 waited the 67
waited the 52 waiter at 58
waived he 41 wakens in 45
walked the 44 walked to 45
walked in 51 walked in 132
walked the 41 walked the 155
walked the 886 walked to 91
walked to 48 walked to 108
walked in 78 wallet in 40
wander the 70 wander of 44
wanted to 48 wanted it 42
wanted the 64 wanted be 60
wanted it 597 wanted to 355
wanted be 46 wanted be 58
wanted in 91 wanted at 53
wanted to 161 wanted to 43
wanted to 47 wanted at 42
wanted the 86 wanted to 87
wanted of 99 wanted of 66
wanted we 40 warded by 55
warden on 56 warmed the 93
warmer in 173 warmer the 52
warmer of 178 warned the 43
warned be 48 warned be 89
warned to 40 warned be 42
warned be 142 warned the 102
warned be 725 warned be 738
warned be 2439 warned be 54
warned be 46 warnings of 148
warnings by 69 warnings in 67
warnings to 208 warnings be 104
warnings to 56 warrior to 68
washed in 41 washed by 42
washed in 2835 washed in 73
washed the 58 washed the 54
washed the 137 washed to 223
washed at 89 washed by 61
washed in 147 washed on 43
washed or 54 washed to 493
washed the 63 washed to 49
washed at 48 washed by 44
washed in 86 washed or 56
washed to 262 wasted on 59
wasted to 60 wasted on 45
wastes of 80 watching the 111
watching of 65 watching up 113
watching in 46 watching up 119
watching the 61 watching the 124
watching he 72 watching the 112
watching he 170 watching the 67
watching the 125 watching the 48
watching up 48 watching up 127
watching the 50 watching he 99
watching in 49 watching the 54
watching the 61 watching we 45
waters the 63 waters in 50
waters in 1193 waters on 632
waters to 50 waters to 102
waters to 53 waters to 72
waters to 52 waters the 388
waters the 78 waters to 42
waters the 405 watery as 337
wattle of 76 weakest to 40
weakest of 95 weapons of 232
weapons of 98 weapons of 93
weapons of 43 weapons of 164
weapons to 48 weapons at 123
weapons in 167 weapons on 69
weapons to 66 weapons at 58
weddings of 77 weddings in 64
weddings in 99 wedges of 108
weekly if 55 weekly to 64
weight to 58 weight the 41
weight of 53 weight to 90
weight to 462 weight to 341
weight by 108 weight in 84
weight to 615 weight by 100
weight in 144 weight to 3024
weight to 79 weight in 45
weight in 40 weight to 533
weight as 45 weight in 42
weight on 47 weight of 46
weight on 51 weight in 49
weight to 111 weight the 52
weight my 139 whales of 81
whales sea 187 wheeling the 45
wheels of 318 wheels no 50
wheels in 52 wheels by 55
wheels in 55 wheels the 47
wheels the 40 whence to 194
whence be 160 whence to 209
whence to 290 whence to 115
whence in 117 whence to 139
whence as 312 whence to 64
whence to 53 whence by 1352
whence in 199 whence on 216
whence to 1306 whence up 48
whence to 41 whereas of 118
whereas of 74 whereas of 52
whereas of 130 whereas of 75
whereas of 76 whereas the 81
whereas in 45 whereas the 58
whereas the 60 whereas of 41
whereas of 52 whereof in 43
whereof by 66 whereof be 40
whereof to 45 whereof the 45
whether be 47 whether of 52
whether of 180 whether of 112
whether the 62 whether be 59
whether be 59 whether be 55
whether be 65 whether be 77
whether be 112 whether by 85
whether of 53 whether of 62
whether of 172 whether in 52
whether on 44 whether be 69
whether be 61 whether at 46
whether or 48 whether or 130
whether or 41 whether the 57
whether be 50 whether be 43
whether be 41 whether go 45
whether be 67 whether be 69
whether be 173 whether be 56
whether be 44 whether be 193
whether be 104 whether be 46
whether go 42 whether be 148
whether be 45 whether be 65
whether of 59 whether or 45
whether the 53 whether or 54
whether or 84 whether it 60
whether the 137 whether of 234
whether of 46 whether he 42
whether the 67 whether or 156
whether or 85 whether at 46
whether or 98 whether to 101
whether to 42 whether or 237
whether or 104 whether or 45
whether or 79 whether an 123
whether or 65 whether in 65
whether of 44 whether or 128
whether to 168 whether to 57
whether me 69 whether or 53
whether the 71 whether be 45
whether be 46 whether to 111
whether in 53 whether go 55
whether or 56 whether the 84
whether the 136 whether the 239
whether the 512 whether be 66
whether or 103 whether be 73
whether or 109 whether of 87
whether the 327 whether or 57
whether the 831 whether the 67
whether or 63 whether the 215
whether of 51 whether in 70
whether to 62 whether in 242
whether to 1051 whether to 112
whether or 74 whether to 70
whether it 42 whether it 153
whether the 205 whether it 50
whether the 87 whether up 64
