was abandoned after three or 52
was accordingly bound over to 40
was accordingly fixed upon as 114
was accordingly found there in 40
was accordingly shown into the 106
was accordingly taken back to 58
was accordingly taken from the 120
was accordingly taken into the 113
was accordingly taken over by 45
was accordingly thrown into the 86
was accordingly thrust into the 41
was afterward known among the 84
was afterward taken over by 53
was allegedly taken from the 48
was altogether apart from the 384
was altogether given over to 46
was altogether missing from the 49
was altogether right when he 45
was altogether taken from the 57
was altogether thrown away on 42
was appointed first lord of 2752
was appointed junior lord of 53
was appointed shall cease to 56
was appointed which drew up 108
was appointed whose duty it 285
was approaching fifty years of 86
was approaching forty years of 118
was approaching sixty when he 48
was approaching sixty years of 133
was approaching thirty years of 73
was basically right when he 51
was calculating within half an 49
was carefully cutting away the 57
was carefully noted down by 72
was carefully noted down in 53
was carefully skating along the 77
was carefully spread over the 68
was carefully taken down by 43
was carefully taken from the 75
was certainly based upon the 73
was certainly known among the 46
was certainly never born to 42
was certainly never meant to 122
was certainly never part of 41
was certainly right when he 1134
was certainly taken from the 105
was certainly thinking more of 73
was commanded under pain of 46
was compelled under pain of 42
was compelled under threat of 59
was complaining about having to 273
was conceived right from the 43
was concerned about having the 59
was concerned about having to 194
was concerned about lack of 68
was concerned about leaving the 79
was concerned about losing the 87
was concerned about loss of 45
was concerned about making the 104
was concerned about many of 61
was concerned about some of 321
was concerned about were the 48
was concerned about what he 651
was concerned about what it 138
was concerned about what my 48
was concerned about what the 450
was concerned about what to 118
was concerned about what we 67
was concerned about when he 70
was concluded which left the 43
was conducted within hearing of 71
was confident about what he 48
was confirmed later when the 58
was considering entry into the 47
was continued about half an 55
was continued right down to 55
was continued until early in 51
was continued until late in 180
was continued until most of 51
was convinced could only be 44
was currently serving time in 57
was dependent rather upon the 63
was depressed about having to 41
was destroyed after four or 45
was developed after years of 113
was developed based upon the 315
was developed later into the 56
was developed quite early in 54
was developed which came to 43
was developed which gave the 54
was developed which made it 144
was developed which made the 44
was developed which used the 47
was different again from the 86
was different right from the 61
was difficult getting used to 63
was discussed again during the 40
was doubtless based upon the 144
was doubtless drawn from the 73
was doubtless first used in 48
was doubtless right when he 256
was doubtless taken from the 231
was eminently right when he 56
was especially acute among the 72
