war into enemy territory and 52
was acting under compulsion and 41
was acting under spiritual law 49
was also broad agreement that 115
was also found associated with 245
was also found necessary for 58
was also found necessary that 41
was also fully convinced that 165
was also fully persuaded that 51
was also growing impatient with 57
was also nearly connected with 51
was also noted previously that 45
was also often associated with 146
was also quite concerned with 41
was also quite convinced that 215
was also quite impressed with 62
was also quite satisfied with 48
was also quite wholesome for 50
was also strong agreement that 94
was done under conditions that 122
was ever quite satisfied with 41
was ever really satisfied with 47
was ever worse regulated than 47
was giving every indication that 100
was held which convicted and 209
was just about convinced that 106
was just after christmas and 84
was just after christmas that 108
was kept under restraint for 63
was less fully developed than 54
was less labor intensive than 60
was less money available for 114
was living quite regularly then 46
was made chief secretary for 222
was made under conditions that 248
was made under secretary for 55
was made which furnished both 94
was made which indicated that 168
was made which suggested that 40
was more easily accounted for 102
was more easily associated with 54
was more easily available and 79
was more easily available than 67
was more easily conceived than 80
was more easily convinced than 47
was more easily prevailed with 47
was more easily satisfied than 91
was more easily satisfied with 46
was more easily supported than 48
was more fully convinced than 124
was more fully described and 47
was more fully developed and 359
was more fully developed than 263
was more fully discussed and 42
was more hotly contested than 76
was more labor intensive than 106
was more money available for 124
was more nearly connected with 128
was more nearly universal than 46
was more often associated with 968
was more often concerned with 152
was more often connected with 44
was most fully developed and 104
was most often associated with 1210
was most often concerned with 67
was most often connected with 68
was once again associated with 131
was once again available for 76
was once again concerned with 65
was once again confirmed that 114
was once again convinced that 72
was once again entrusted with 78
was once again impressed with 120
was once again nominated for 66
was once again presented with 71
was only after centuries that 97
was only after liberation that 161
was only after nightfall that 99
was only after reflection that 45
was only under compulsion that 80
was only weakly associated with 340
was some charm connected with 46
was soon after abandoned and 56
was soon after announced that 67
was soon after appointed one 162
was soon after concluded with 185
was soon after condemned and 43
was soon after presented with 52
was soon after suspended for 96
was soon found necessary for 68
was taking every precaution that 127
was their close association with 108
was their close connection with 58
was their first encounter with 864
was their first indication that 108
was their first intimation that 193
was their first realization that 93
was their utter unfitness for 71
was three times nominated for 54
was true about sculpture and 51
was very easily accounted for 52
was very fully discussed and 94
was very labor intensive and 86
was very nearly identical with 123
was very often associated with 128
was very often dispensed with 51
was very thinly populated and 59
was very tired yesterday and 55
was well known throughout all 69
was well known throughout his 80
was well known throughout new 71
was well known throughout this 71
was what alone supported him 77
was what first attracted him 51
was your first encounter with 172
way over steep eminences and 49
wear their faded appearance and 42
who care about themselves and 103
who ever would interrupt him 92
who felt rather important with 68
who five months previously had 51
who gave every indication that 59
who hangs about compounds and 41
who have acted sincerely and 49
who have again dissolved them 141
who have armed themselves with 96
who have borne patiently with 44
who have broad knowledge and 44
who have close association with 43
who have close relatives who 42
who have close relatives with 95
who have fewer resources and 72
who have fewer resources than 48
who have found themselves and 53
who have found themselves out 115
who have found themselves with 45
who have funds available for 48
who have given permission for 1411
who have given themselves for 69
who have given themselves that 261
who have given themselves with 42
who have grown impatient with 116
who have hired themselves out 50
who have learning disorders are 54
who have loved themselves and 122
who have never associated with 155
who have never committed any 174
who have never conversed with 148
who have never developed any 44
who have never displayed any 65
who have never exercised any 47
who have never forgotten that 126
who have never possessed any 43
who have never previously had 80
who have never previously set 186
who have never struggled with 64
who have never suspected that 59
who have never themselves had 92
who have never undergone any 48
who have never witnessed any 41
who have never witnessed its 49
who have never witnessed them 92
who have never witnessed this 51
who have saved themselves are 60
who have seated themselves thus 163
who have shown initiative and 50
who have shown themselves not 44
who have shown themselves our 116
who have since described this 42
who have since struggled for 81
who have thrown themselves with 40
who have within themselves all 50
who knew local conditions and 56
who live under conditions that 47
who look after themselves and 45
who most fully appreciate and 44
who most nearly resembles him 82
who some months previously had 150
who soon after succeeded him 46
who talk about revolution and 83
who three months previously had 79
who took every resolution with 74
who treat others equitably and 70
who were after dispersed and 53
who were again approaching its 48
who were amusing themselves and 105
who were amusing themselves with 499
who were busying themselves with 124
who were easily convinced that 87
who were easily persuaded that 88
who were either associated with 79
who were either connected with 58
who were either unfamiliar with 43
who were first arraigned did 96
who were first dignified with 164
who were first entrusted with 53
who were fitting themselves for 41
who were fully convinced that 219
