we acquire very fast the 113
we advance from step to 61
we advance from youth to 44
we analyze data from the 75
we arrived back from the 86
we arrived back home in 74
we arrived home from the 197
we arrived once more at 229
we arrived once more in 104
we arrived safe home in 55
we arrived there late in 71
we arrived there were no 72
we arrived very early in 51
we arrived very early the 55
we arrived very late at 92
we assumed there were no 48
we avoided coming into the 190
we believe from what we 59
we believe only what we 210
we believe there must be 265
we believe there will be 823
we believe these must be 57
we believe will give the 42
we believe will give us 117
we believe will have an 45
we believe will have the 51
we believe will help to 86
we believe will help us 105
we believe will make the 124
we believe will make us 180
we believe will meet the 69
we briefly list some of 57
we briefly note some of 79
we brought back from the 260
we brought down from the 73
we brought home from the 193
we brought nothing into the 1634
we brought over from the 48
we carried away from the 54
we climbed away from the 123
we climbed back down the 50
we climbed back into the 1212
we climbed back onto the 79
we climbed back over the 80
we climbed down from the 635
we climbed down into the 286
we collect data from the 52
we collect their meaning by 53
we college boys used to 55
we conquer self till we 44
we consume wheat when we 63
we consume wine when we 60
we crawled away from the 42
we crawled back into the 213
we crossed back into the 54
we crossed back over the 198
we crossed over from the 90
we crossed over into the 158
we decided once more to 43
we decided there must be 57
we deserve some sort of 45
we desired some foot of 44
we detract nothing from the 230
we develop here will be 54
we develop some kind of 65
we develop some sort of 92
we devoted more time to 66
we devoted much time to 90
we devoted some time to 133
we discuss here only the 240
we discuss here some of 49
we discuss here will be 53
we discuss only some of 64
we discuss some ways in 76
we discuss some ways of 51
we discuss some ways to 78
we discuss their role in 41
we discuss three ways in 47
we discuss what kind of 83
we dislike very much to 51
we dissent from some of 138
we drifted away from the 195
we drifted back into the 106
we drifted down upon it 41
we drifted into talk of 57
we dropped back into the 43
we dropped down from the 140
we dropped down into the 542
we dropped down upon the 80
we emerged from among the 72
we emerged into what is 59
we entered once more on 51
we entered once more the 76
we entered upon what is 73
we examine data from the 72
we examine here some of 70
we examine once more the 42
we examine some ways in 69
we examine their role in 49
we examine three sets of 46
we examine what kind of 85
we examine what sort of 50
we express from hour to 80
we farmers must take so 65
we figured there must be 61
we finally came back to 178
we finally came down to 56
we finally came face to 53
we finally came into the 41
we finally came upon the 126
we finally come back to 125
we finally come down to 100
we finally come face to 72
we finally come upon the 55
we finally draw from it 76
we finally have time to 43
we finally heard from the 40
we finally rose from the 51
we finally take leave of 128
we finally took leave of 58
we finally went back to 169
we finally went into the 118
we finally were able to 772
we finally were ready to 67
we floated away from the 47
we forgive those done to 60
we function best when we 82
we glanced from theme to 59
we heartily wish well to 67
we hitherto have been of 47
we hurried away from the 193
we hurried back along the 57
we hurried back down the 71
we hurried back into the 90
we hurried back over the 41
we hurried down from the 42
we hurried down into the 50
we imagine there will be 59
we imitate those whom we 108
we include here only the 59
we include only what is 51
we inquire into what is 61
we inquire into what the 306
we inquire what ideas or 64
we inquire what kind of 50
we inquire what sort of 101
we inquire what were the 129
we knowingly give rise to 529
we maidens know nothing of 53
we marched away from the 195
we marched back into the 127
we marched down from the 42
we marched down into the 81
we moderns have come to 106
we moderns have lost the 115
we mortals have only to 47
we motored away from the 66
we noticed some here at 40
we noticed there were no 53
we observe from time to 71
we observe once more the 94
we paddled away from the 102
we paddled over here to 73
we perform these acts of 41
we possess come from the 42
we possess date from the 88
we possess great means of 95
we possess have come to 51
we possess only what is 46
we possess some kind of 51
we possess some means of 48
we predict there will be 62
we present data from the 149
we present here only the 402
we present here some of 136
we present here will be 72
we present only some of 78
we present some data on 195
we present some ideas on 70
we present three sets of 75
we presume there must be 87
we presume there will be 72
we proceed away from the 192
we proceed from left to 492
we proceed from north to 215
we proceed from south to 95
we proceed from these to 44
we proceed from west to 143
we proceed from what is 98
we produce their love or 66
we propose from time to 68
we provide some means of 41
we question very much if 64
we quickly fell down the 69
we quietly gone down the 47
we rattled along over the 40
we rattled along till we 46
we realized there were no 76
we realized what kind of 50
we receive from those we 45
we receive from time to 159
we receive good from the 164
we receive help from the 49
we receive only when the 77
we receive some kind of 43
we receive when there is 50
we receive your card we 53
we reflect back over the 41
we reflect here upon the 93
we reflect upon some of 62
we reflect upon what is 218
we reflect upon what it 77
we reflect upon what the 45
we reflect upon what we 215
we refrain from giving the 65
we refrain from making the 49
we refrain from talk of 51
we refrain from trying to 98
we require some form of 127
we require some kind of 134
we require some means of 187
we require some sort of 124
we revisit some spot of 40
we sallied forth from the 341
we sallied forth into the 655
we saunter along down the 58
we settled back into the 203
we settled down into the 92
we settled into life in 44
we shillings love nothing so 81
we slipped away from the 272
we slipped away into the 81
we slipped back into the 184
we slipped down into the 61
we smoothly pass away in 48
we somehow were able to 41
we specify what kind of 45
