wage cut and longer hours 49
wage war with human plans 87
wait and try again later 263
wait for her every night 43
wait for him every evening 47
wait for his money until 336
wait for his wages until 94
wait for our wedding night 100
wait for six months after 83
wait for two hours until 91
wait for two hours while 76
wait for two weeks until 82
wait for you every night 48
waking and our dreaming lives 93
walk for two hours daily 40
walk six and eight miles 40
walk with you fifty times 119
wall and his knees drawn 58
wall was not built until 95
wall with her knees drawn 51
wall with his fixed stare 53
wall with his knees drawn 69
wall with its smooth stone 61
want and not worry about 142
want and then press enter 347
want men for force first 92
warm air and water vapor 48
warm but not boiling water 136
wars did not begin until 44
wars that had taken place 213
wars with that stern weeding 155
wash and long leaves cover 95
wash that man right outta 91
wash them with soapy water 43
wash with hot soapy water 202
wash with hot water until 1779
waving red and black flags 40
ways and see which works 43
ways his own worst enemy 46
ways she had never known 57
ways than she could count 69
ways that are often quite 187
ways that one never thinks 60
ways that she could never 55
ways that they could never 78
ways that they never could 50
ways that they never would 47
ways that they would never 181
ways that you could change 61
ways that you could never 90
ways that you would never 96
ways they had never known 43
ways with his sulky hands 54
wealth that has taken place 83
weave than one which shall 69
week and six months after 60
week and two weeks after 56
week and two weeks later 42
week for each child after 154
week for each child under 393
week with her mother while 52
well and let stand until 113
well and set aside until 85
well and was telling about 59
well dam for water tanks 93
well for his calling never 46
well for two hours about 75
well that her father would 120
well that her mother would 122
well that his father would 216
well that his mother would 115
well that his words would 86
well that she could easily 50
well that she could never 159
well that she never drank 58
well that she never would 44
well that she would never 1539
well that they could easily 58
well that they could never 498
well that they might never 51
well that they never could 46
well that they never would 41
well that they prove sound 70
well that they shall never 57
well that they would never 841
well that this would never 49
well that you could never 107
well that you would never 177
well with his harsh voice 105
well with hot soapy water 44
well with hot water until 53
well you are looking today 346
went all day rolling about 91
went for his usual morning 48
went for long walks alone 225
went for long walks every 70
went not out after israel 51
went off not knowing where 81
went out and asked people 51
went out and found others 568
went out and found still 107
went out and shook hands 136
went out and spent money 43
went out and stood under 205
went out for pizza after 58
went out not knowing where 169
went out one morning about 64
went out one morning after 65
went out one night after 45
went out that morning never 103
went out with fanny under 93
went out with mincing steps 68
went out with white girls 41
went with him every morning 41
were all going fishing again 63
were all our faces alike 59
were all put under bonds 43
