warm except 51 waving cheering 48
wearing carrying 55 well another 55
went ribald 51 went helped 135
were something 50 were preaching 43
were busily 59 were rifles 56
were feeble 69 were limits 70
were number 44 were rapids 54
were london 91 were return 57
were climbing 44 were helped 66
were rubric 43 were limits 90
were direct 90 were something 83
were something 58 were losses 73
were gleamed 75 were actual 116
were twenty 53 were something 41
were number 62 were butter 50
were edition 159 were little 56
were further 189 were england 104
were before 42 were slaves 50
were before 44 were yellow 45
were without 43 were driven 41
were forced 94 were raised 41
were turned 76 were behind 59
were causes 200 were lasted 42
what reasoning 110 what travel 46
what expect 119 what expect 125
what travel 477 what return 52
what except 74 what called 68
what called 72 what uttering 49
what cancer 74 what breasts 48
what expect 42 what silent 54
when master 70 when permit 60
when broken 101 when formed 80
when bounds 76 when proper 172
when formed 44 when defect 51
when sphere 44 when formed 70
when already 58 when dropping 51
when higher 672 when likely 52
when raised 101 when stable 54
when fallen 60 when greater 50
when section 68 when something 47
when something 64 wide before 48
wild always 51 will letter 40
will errors 67 will unless 80
will through 49 will another 46
will around 47 will beyond 65
will another 60 will better 108
will bounds 67 will feelings 84
will career 77 will impair 45
wind exceed 48 wood allied 51
