wag his tongue with the 57
war and above all the 59
war and allow them to 40
war and armed with the 142
war and asked him to 51
war and asked them to 48
war and calling for the 53
war and chose him in 60
war and civil war in 186
war and civil war to 43
war and could not be 490
war and ended with the 127
war and fight for the 86
war and found that the 47
war and glory all to 60
war and hoped that the 56
war and hunting and the 46
war and knowing how to 52
war and later with the 61
war and nearly all the 55
war and plans for the 46
war and trade with the 75
war and unite with the 61
war and urged him to 54
war and urged that the 47
war and which led to 47
war and which was the 75
war and which was to 47
war and woman for the 237
war and women for the 44
war and world war ii 491
war and would lead to 52
war and would not be 384
war any where but in 79
war are still with us 100
war being waged for the 81
war being waged with the 53
war but could not be 44
war for every year of 58
war for nearly all the 45
war going badly for the 146
war got under way in 84
war had begun and he 41
war had begun and the 290
war had begun for the 52
war had begun with the 219
war had burst out in 66
war had ceased and the 42
war had earned him the 64
war had ended and he 105
war had ended and it 67
war had ended and the 941
war had ended and we 71
war had ended but the 64
war had ended for the 73
war had ended that the 51
war had ended with an 63
war had ended with the 511
war had found him in 54
war had given him an 84
war had given him the 111
war had given them an 44
war had given them the 70
war had given way to 392
war had grown out of 137
war had moved out of 40
war had shown him the 54
war had shown that it 64
war had shown that the 459
war had taken all the 54
war had thrown out of 44
war had wiped out the 99
war has begun and the 72
war has ceased and the 54
war has ended and the 205
war has ended and we 43
war has ended with the 48
war has given them the 47
war has given way to 179
war has grown out of 65
war has shown that an 60
war has shown that if 40
war has shown that in 98
war has shown that it 156
war has shown that the 753
war has shown that we 86
war may arise out of 154
war nor truce for the 42
war now broke out in 176
war our trade had the 53
war she could not be 100
war she would not be 47
war that arose out of 66
war that began with the 322
war that breaks out in 141
war that broke out at 68
war that broke out in 3411
war that broke out on 284
war that broke out the 75
war that calls for so 67
war that calls him to 49
war that could lead to 165
war that could not be 1195
war that ended with the 658
war that israel had no 52
war that might lead to 102
war that might not be 45
war that still goes on 81
war that would bring the 47
war that would end in 207
war that would end the 73
war that would lead to 341
war that would mean the 46
war that would not be 172
war that would not go 47
war that would put an 47
war then broke out in 69
war they could not be 133
war they waged and the 104
war they would not be 221
war thus broke out in 41
war was based not on 44
war was begun and is 73
war was begun with the 113
war was breaking out in 309
war was breaking out it 70
war was breaking out on 52
war was drawn out to 57
war was ended and the 463
war was ended with the 121
war was every bit as 53
war was getting out of 42
war was never going to 87
war was never out of 41
war was passing him by 65
war was ruled out as 47
war was still going on 11841
war was still with us 56
war was taken out of 81
war was thrown for the 43
war was thrown out to 60
war was turning out to 70
war was under way in 171
war was waged and the 73
war was waged for the 465
war was waged with the 368
war was world war ii 67
war was worse than the 108
war with chile and the 48
war with china and in 88
war with china and the 744
war with china and to 52
war with china for the 110
war with china led to 49
war with china was in 48
war with china was the 114
war with china was to 55
war with egypt and the 46
war with every one of 48
war with israel and in 46
war with israel and the 209
war with israel and to 47
war with italy and the 96
war with italy for the 42
war with japan and by 88
war with japan and in 151
war with japan and it 41
war with japan and of 56
war with japan and the 1352
war with japan and to 129
war with japan and we 40
war with japan for the 102
war with japan led to 73
war with japan was at 49
war with japan was in 130
war with japan was the 148
war with japan was to 105
war with louis xiv of 80
war with nearly all of 52
war with nearly all the 133
war with persia and the 101
war with persia and to 57
war with russia and in 47
war with russia and the 680
war with russia and to 95
war with russia for the 428
war with russia led to 64
war with russia may be 42
war with russia now in 99
war with russia that the 66
war with russia was at 72
war with russia was in 74
war with russia was on 112
war with russia was the 131
war with russia was to 72
war with russia with the 56
war with serbia and the 46
war with spain and an 105
war with spain and by 62
war with spain and in 270
war with spain and it 47
war with spain and of 98
war with spain and the 2430
war with spain and to 146
war with spain for an 53
war with spain for the 531
war with spain led to 102
war with spain may be 55
war with spain put us 42
war with spain than the 44
war with spain that he 55
war with spain that the 50
war with spain was an 87
war with spain was at 96
war with spain was in 186
war with spain was on 110
war with spain was the 489
war with spain was to 232
war with spain with the 58
was all about and he 458
was all about and if 73
was all about and in 46
was all about and it 109
was all about and so 50
was all about and the 274
was all about and to 259
was all about and we 72
was all about being in 65
was all about but he 130
was all about but it 71
was all about but the 52
was all about for me 116
was all about for the 58
was all about going to 53
was all about her in 50
was all about him in 85
was all about how he 100
was all about how the 176
was all about how to 145
was all about how we 51
was all about one thing 67
was all about than the 76
was all about them as 41
was all about them in 66
was all about was the 95
was all about with the 43
was all abuzz with the 52
was all afire with the 121
was all aglow with the 674
was all alive for the 79
was all alive with the 338
was all alone and he 147
was all alone and in 55
was all alone and it 74
was all alone and no 65
was all alone and so 95
was all alone and the 139
was all alone for the 69
was all alone with my 266
was all alone with no 364
was all alone with the 475
was all astir with the 290
was all black and the 74
was all black with the 41
was all blown out of 101
was all brain and no 49
