wandering life which they had 60
warriors were waiting for him 47
watched ever since for any 56
watched over night and day 278
watches what others are doing 61
weakness from which she had 55
welcome home party for her 41
welcome home party for him 48
welcome their chief and his 52
welfare even though they are 44
wenches keep sheep and cow 56
wherein john brown and his 67
wherein those people are not 683
whitish veil which does not 62
wielded great power and had 45
wielded more power than any 275
willingly have given her all 51
willingly have given him his 53
willingly have given his own 47
willingly much money for far 46
willingly your people who are 43
windows from which one can 45
windows from which they had 113
windows from which you can 90
windows open night and day 191
windows were blown out and 212
windows were small and few 116
windows were small and set 52
windows were taken out and 132
withdraw from where you are 199
withered tree which has long 46
withhold from every man who 57
wondering what devil had got 91
wonders your quick eye can 50
workers also point out that 151
workers even though they are 76
workers even though they had 43
workers even though they may 61
workers have found that they 143
workers have found that this 88
workers have shown that both 75
workers have shown that for 61
workers have shown that they 171
workers have shown that this 300
workers more often than not 91
workers were asked how they 77
workers were asked why they 100
workers were aware that they 77
workers were singled out for 107
workers were women who had 61
workers were worse off than 171
worried more about her than 48
worried more about him than 57
worried more about his own 55
worried more about them than 41
worried only about his own 40
worried sick about her and 47
worried sick about him and 44
worried sick about you all 44
worried sick about you and 169
worship less cruel than that 41
wounded bird first and then 75
wounded brow stream not with 277
wounded four times and had 85
wounded three times and had 83
wounded three times and was 131
wounded were cared for and 198
wounded were still lying out 40
wrathful katy waiting for him 48
writers also point out that 294
writers have noted that this 45
writers have shown that this 59
writers more often than not 78
writers soon found out that 76
writers were aware that they 54
written down after his death 113
written down value for tax 57
written during april and may 43
written from paris that his 42
written just after her death 45
written just after his death 203
written just after she had 62
written many books and has 46
written more books than any 110
written more often than not 42
written much later than that 93
written soon after her death 255
written soon after his death 1835
written soon after she had 61
written their parts for them 46
written till after his death 81
written upon dirty and wet 83
written will appear low and 72
written your reply all out 92
wrought nothing could bring him 60
wrought such havoc with his 119
