wading knee deep through the 67
wage rate high enough to 119
wage rate will depend on 147
wage rate will reduce the 163
wage rate will result in 221
wage went into effect in 44
wait five days before the 45
wait five years before he 166
wait five years before it 89
wait five years before the 68
wait four days before he 41
wait four years before he 126
wait four years before the 40
wait many years before he 194
wait many years before it 102
wait many years before the 156
wait many years before we 54
wait some time before an 41
wait some time before he 549
wait some time before it 187
wait some time before the 483
wait some time before we 241
wait some years before he 57
wait some years before the 74
wait three days before he 106
wait three days before the 103
wait three days before we 45
wait three years before he 147
wait three years before it 51
wait three years before the 62
wait till next summer an 44
walk along fifth avenue at 133
walk back down through the 106
walk back home through the 136
walk down bond street in 131
walk down fifth avenue in 204
walk down fifth avenue to 252
walk down main street in 251
walk down main street to 163
walk home from school at 41
walk home from school by 173
walk home from school in 266
walk home from school on 110
walk home from school or 101
walk into your office in 46
walk once more across the 76
walk once more amongst us 103
walk once more through the 270
walk over damp ground in 61
walk single file through the 199
walk your bike across the 58
wall into their garden of 41
wall just high enough to 69
wall nine days before the 149
want upon good friday to 43
want very much indeed to 56
want your arms around me 121
want your best friend to 102
want your cock inside me 66
warm wind blew across the 105
warm wind blew through the 98
wars have been caused by 304
wars have been fought by 306
wars have been fought in 2249
wars have been fought on 717
wars have been fought to 413
wars have their origin in 109
wars there have lasted so 55
wars were more likely to 52
wars were most likely to 41
wash away sins through the 54
wash their nets amidst the 127
wave will dash further up 56
wave will have reached the 63
wave will pass through the 150
waving their arms wildly in 55
ways have been sought to 319
ways have been thought of 59
ways were lost through the 85
wealth from rich nations to 68
wealth were more likely to 43
wearing blue jeans instead of 54
weave their lace before the 104
weaving their maze across the 60
week from palm sunday to 44
week were less likely to 90
week were more likely to 259
well give more thought to 51
well give some thought to 70
well have been across the 100
well have been active in 111
well have been afraid of 124
well have been afraid to 52
well have been alluding to 152
well have been almost as 98
well have been already in 63
well have been amazed at 107
well have been amongst the 76
well have been amused by 72
well have been another of 147
well have been anxious to 152
well have been argued in 46
well have been before the 93
well have been behind the 258
well have been better if 77
