war a kingly crown to 58
war i have stood by 42
war i have tried to 47
was a ball after the 84
was a ball given at 133
was a ball given by 231
was a ball given in 122
was a band playing in 124
was a band playing on 77
was a bank clerk at 88
was a bank clerk in 245
was a bare patch of 135
was a bare ridge of 41
was a barn where the 48
was a base libel on 69
was a base trick of 54
was a bill aimed at 57
was a bill drawn by 42
was a bill filed by 412
was a bill filed in 203
was a bill filed to 71
was a bill pending in 89
was a bill pending to 48
was a bill which the 50
was a biota still in 48
was a bird about the 84
was a bird sitting on 67
was a biting chill in 75
was a bleak period in 80
was a bleak period of 56
was a blow aimed at 953
was a blow below the 214
was a blow beneath the 43
was a blow which he 118
was a blow which the 164
was a blue light in 45
was a body found in 51
was a body known as 147
was a body under the 49
was a bold claim to 56
was a bold leader of 46
was a bold piece of 204
was a bomb about to 78
was a bomb blast at 42
was a bomb blast in 95
was a bomb scare at 108
was a bomb scare in 64
was a bomb under the 51
was a bomb waiting to 170
was a bond issue of 56
was a bone thrown to 67
was a bony woman of 49
was a book about an 45
was a book about the 881
was a book based on 70
was a book bound in 187
was a book drawn up 41
was a book given to 41
was a book waiting to 54
was a book which he 385
was a book which in 45
was a book which no 62
was a book which the 112
was a book which we 40
was a boom period in 129
was a boon which he 44
was a born enemy of 54
was a born leader in 76
was a born leader of 2739
was a born lover of 180
was a born ruler of 269
was a break after the 40
was a burr under the 66
was a busy evening at 42
was a busy morning at 72
was a busy morning in 76
was a busy night at 122
was a busy night in 113
was a busy period in 102
was a busy period of 52
was a busy place as 192
was a busy place at 227
was a busy place in 580
was a busy place of 67
was a busy place on 213
was a busy round of 72
was a busy scene at 51
was a busy scene in 56
was a busy scene of 195
was a busy scene on 46
was a busy season in 181
was a busy season of 57
was a busy season on 63
was a busy sound of 49
was a busy trade in 52
was a buzz about the 87
was a cake baked on 184
was a calm about the 63
was a calm sense of 98
was a camp meeting in 56
was a camp until the 128
was a card party at 78
was a card table in 44
was a card which he 90
was a cart drawn by 130
was a case about the 120
was a case again of 45
was a case based on 52
was a case either of 135
was a case known as 43
was a case pending in 91
was a case rather of 72
was a case study in 910
was a case study of 978
was a case study on 40
was a case tried in 92
was a case under the 520
was a case where an 615
was a case where at 47
was a case where he 312
was a case where in 41
was a case where it 540
was a case where my 41
was a case where no 359
was a case where the 8106
was a case where we 284
was a case which he 65
was a case which it 47
