wage paid by employers and 49
wage rate is associated with 143
waging wars of aggression and 115
waif must be sheltered and 148
wait till it consisted with 42
wait till the procession had 69
wait upon the president and 402
wait upon the president with 44
waking from an afternoon nap 120
walk along the boardwalk and 146
walk along the corridors and 42
walk along the promenade and 65
walk along the riverbank and 151
walk along the shoreline and 95
walk among the shrubbery and 111
walk down the corridors and 42
walk into an interview and 57
walk into an interview with 117
walk into my apartment and 115
walk into my classroom and 42
walk into the apartment and 210
walk into the classroom and 658
walk into the classroom with 266
walk into the clubhouse and 52
walk into the courthouse and 95
walk into the courtroom and 209
walk into the courtroom with 121
walk into the courtyard and 136
walk into the drugstore and 97
walk into the interview with 49
walk into the mountains and 45
walk over the mountains and 309
walk over the mountains with 133
wall over the fireplace was 91
want also to emphasize that 57
want india to recognize that 142
want means to entertain them 49
want must be somewhere near 77
want nothing to interfere with 219
want only the perfection that 43
want only to emphasize that 486
want what is necessary for 98
warm from the afternoon sun 408
wars will be conflicts for 113
wash down the condenser with 115
wave must be associated with 69
wave will be reflected and 122
ways laid the foundation for 97
ways made it difficult for 49
ways over the centuries and 40
wealth used or available for 53
wealth will be associated with 42
wearing down of mountains and 41
wearing down the mountains and 50
wears away the surrounding ice 137
weary days in conflicts with 56
weep over the miserable being 80
well able to appreciate and 104
well able to appreciate his 90
well able to appreciate its 117
well able to appreciate this 51
well able to sympathize with 73
well draw the conclusion that 344
well during the depression and 42
well form the impression that 41
well gain the impression that 319
well give the impression that 706
well have the impression that 233
well into the afternoon and 369
well into the afternoon that 151
well into the byzantine era 77
well into the character and 55
well into the eighteenth and 247
well into the forbidden area 67
well into the gorbachev era 159
well into the industrial age 99
well into the industrial era 70
well into the landscape that 98
well into the mountains and 66
well into the nineteenth and 380
well into the seventies and 131
well into the television age 43
well into the television era 100
well knew the character and 41
well know the anxieties with 62
well know the character and 136
well leave the impression that 201
well make it difficult for 198
well make it necessary for 47
well plan to reorganize our 48
well reach the conclusion that 363
well seem to practical men 46
well upon the discovery and 54
well when he commented that 44
well when he explained that 43
well when he suggested that 191
well will it advantage both 65
well worth the undertaking with 42
went ahead as scheduled and 45
went away so peacefully that 54
went back to amsterdam and 66
went back to antiquity and 55
went back to aristotle and 62
went back to augustine and 49
went back to baltimore and 144
went back to california and 468
went back to california for 155
went back to california with 108
went back to cambridge and 188
went back to cambridge for 121
went back to cambridge with 54
went back to childhood and 59
went back to cleveland and 81
went back to cleveland for 46
went back to edinburgh and 80
went back to hollywood and 167
went back to hollywood for 44
went back to jerusalem and 243
went back to jerusalem with 108
went back to liverpool and 63
went back to minnesota and 74
went back to nashville and 59
went back to palestine and 43
went back to princeton and 44
went back to springfield and 57
went back to tennessee and 76
went back to vancouver and 41
went back to wisconsin and 59
went down the declivity with 66
went down the escalator and 78
went down the staircase and 220
went down the staircase with 80
went down to alexandria and 51
went down to baltimore and 59
went down to interview him 47
went down to jerusalem and 43
went down to portsmouth and 75
