waged and continue to wage 53
wages and benefits as well 163
wages and benefits of their 57
wages and benefits of those 42
wages and benefits to their 69
wages and benefits to those 43
wages and payments in kind 60
wages and salaries as their 55
wages and salaries as well 468
wages and salaries in cash 130
wages and salaries in kind 71
wages and salaries in line 77
wages and salaries in many 41
wages and salaries in other 57
wages and salaries in these 71
wages and salaries is also 46
wages and salaries is much 45
wages and salaries it pays 41
wages and salaries of many 45
wages and salaries of more 94
wages and salaries of other 76
wages and salaries of some 42
wages and salaries of such 52
wages and salaries of their 238
wages and salaries of these 83
wages and salaries of those 340
wages and salaries or other 58
wages and salaries to rise 70
wages and salaries to their 142
wages and salaries to those 48
wages and standard of life 66
wages and standard of living 2787
wages are attached to jobs 82
wages are believed to have 42
wages are expected to rise 150
wages for performing the same 53
wages for purposes of fica 177
wages had increased by only 44
wages had remained the same 98
wages not included on line 48
wagon was required to keep 42
waist and pointers at their 45
waiting for admission to your 85
waiting for breakfast to come 75
waiting for business to come 184
waiting for business to pick 50
waiting for children to come 49
waiting for children to grow 52
waiting for clearance to land 156
waiting for clearance to take 121
waiting for darkness to come 122
waiting for darkness to fall 337
waiting for daylight to come 166
waiting for daylight to make 60
waiting for everyone to come 95
waiting for everyone to leave 160
waiting for everyone to show 45
waiting for hundreds of years 128
waiting for patients to come 97
waiting for premises we jump 58
waiting for salvation to come 40
waiting for sanctions to work 52
waiting for somebody to break 44
waiting for somebody to call 75
waiting for somebody to come 1407
waiting for somebody to drop 42
waiting for somebody to find 78
waiting for somebody to give 185
waiting for somebody to help 59
waiting for somebody to make 156
waiting for somebody to open 80
waiting for somebody to pass 66
waiting for somebody to pick 142
waiting for somebody to pull 42
waiting for somebody to show 122
waiting for somebody to speak 45
waiting for somebody to step 162
waiting for somebody to take 253
waiting for somebody to tell 349
waiting for students to come 104
waiting for supplies to come 63
waiting for thousands of years 181
waiting for tomorrow to come 61
waiting for washington to make 44
waits for business to come 150
waive all questions of form 65
waiving its authority or giving 72
walking and conversing in their 49
walking and relieved by rest 635
walks and relations of life 109
walls and captured the city 47
walls and chimneys in less 69
walls and curtains is only 43
walls and modified the dark 80
walls and screened by some 87
walls are believed to have 69
walls are composed of four 59
walls are composed of nine 44
walls are composed of only 120
walls are composed of three 263
walls are composed of very 40
walls are consumed by fire 57
walls are permeated by their 131
walls are polished in many 42
walls are probably the most 89
walls are specially the work 46
walls are stripped of their 49
walls are supposed to have 102
walls for hundreds of years 69
walls for thousands of years 48
walls had resisted the fire 81
walls that enclosed the city 50
walls that separate it from 93
walls that separate me from 44
walls that separate us from 283
walls that surround the city 110
walls that surround the town 48
walls was pictures of nothing 43
walls with pictures of hogs 66
walls with pictures of their 50
wanting both activity of body 86
wants and comforts of life 71
wants and comforts of their 69
wants and luxuries of life 45
wants and miseries of their 117
wants and pressure of their 105
wants and sufferings of many 40
wants and sufferings of their 67
wants her children to grow 74
wants her children to have 176
wants her children to know 75
wants her children to learn 103
wants her daughter to have 186
wants her students to have 51
wants her students to know 68
wants her students to learn 162
wants her students to think 40
wants his audience to feel 53
wants his audience to know 110
wants his audience to take 46
wants his audience to think 81
wants his children to grow 137
wants his children to have 459
wants his children to know 119
wants his children to learn 74
wants his children to live 176
wants his children to love 55
wants his daughter to have 85
wants his students to have 59
wants his students to know 105
wants his students to learn 195
wants his students to think 47
wants that delicacy in some 91
wants that delicacy of tint 57
wards are entitled to free 41
warms and agitates the soul 71
warms and elevates the heart 223
warmth and affection in their 55
warmth and affection of their 55
warmth and affection to their 89
warmth and clearness of tone 75
warmth and delicacy of their 64
warmth and elevation to their 44
warmth and enthusiasm of youth 49
warmth and goodness of heart 49
warmth and heaviness in your 42
warmth and intimacy of their 74
warmth and moisture of spring 83
warmth and moisture to grow 45
warmth and openness of heart 73
warmth and retarded by cold 50
warmth and richness of their 40
warmth and richness of tone 92
warmth and security of home 133
warmth and security of their 188
warmth and security of those 47
warmth and softness of heart 102
warmth and vivacity of those 111
warmth than suffices to cook 47
warning and reproach to those 57
warning them seriously of those 42
waste and accident be made 103
waste any quantity of time 49
waste for thousands of years 182
wasting her property on such 47
wasting his energies on such 51
watch her favorite tv show 78
watch him separating the gold 64
watch his favorite tv show 80
watch with keenness the work 44
water and carriers by rail 84
water and chloride of lime 186
water and condensing the steam 102
water and continue to boil 115
water and continue to burn 56
water and continue to cook 232
water and continue to stir 120
water and converting it into 78
water and converts it into 107
water and dissolve by adding 73
water and extinguish the fire 41
water and frighten the fish 64
water and inflamed by fire 133
water and inserted the steam 67
water and minerals as well 40
water and minerals up from 159
water and preventing it from 59
water and prevents it from 143
water and protecting the health 60
water and quenched the fire 60
water and returned to their 56
water and snatched it away 50
water and splashed it onto 58
water and splashed it over 252
water and splashed my face 57
water and sprinkle it over 174
water and sprinkle it upon 73
water and sprinkling it over 61
water and squeezed it over 43
water and sunlight to grow 47
water are combined to form 142
water are combined to make 45
water are essential to life 54
water are examples of very 41
water are probably the most 58
water are required to fill 107
water are required to grow 74
water are required to keep 53
water are required to make 132
water are supposed to have 150
water can dissolve so many 52
water for breakfast at half 124
water for condensing the steam 107
water for domestic as well 60
water for domestic or other 108
water for hundreds of feet 70
water for hundreds of years 156
water for injection to make 195
water for irrigating the land 133
water for irrigating the rice 97
water for property at less 119
water for thousands of years 379
water got underneath to help 162
water had deepened to five 50
water has remained the same 40
water may continue to flow 42
water per kilogram of body 702
water that collects in these 52
water that quenched the fire 224
water use decisions of more 115
water was agitated by means 45
water was believed to have 131
water was continuing to rise 40
water was conveyed by means 126
water was diverted by means 75
water was effected by means 42
water was observed to have 40
water was obtained by means 51
water was reported to have 93
water was supplied by means 51
water was supposed to flow 42
water was supposed to have 113
water with chloride of lime 51
water with evolution of much 42
watts per kilogram of body 135
waved and prolonged the blue 402
waves and currents as well 46
waves and currents to form 60
waves are believed to have 45
waves are inverted in leads 662
waves are negative in leads 143
waves are probably the most 41
waves are produced by wind 93
waves for thousands of years 59
waves that threatened the pair 47
weaken and encumber the mind 58
weaken but strengthen the leading 91
weaken his authority at home 68
weaker than covalent or ionic 55
wealthy and populous it soon 81
wealthy and powerful as well 60
wealthy and powerful in their 101
weapon and wrenched it from 89
weapon that promised to hurt 82
weather and performing the other 44
weather and scarcity of food 82
weather and shortage of food 44
weather for hundreds of years 41
weather for thousands of years 75
weather was inclined to snow 42
wedding its attention to none 49
wedding was attended by many 51
wedding was supposed to have 49
wedding was supposed to take 104
wedging and tightening it into 271
weeds are memories of those 98
weeds are suffered to grow 104
weeks and threatened to make 132
weeks are required to reach 42
weeks for delivery of your 280
weeks that followed the coup 44
weeks that followed the fall 40
weeks that followed we were 43
weigh and consider the same 55
weird and devilish in those 45
wells are reported to have 131
wells for infusions of many 191
where air drainage is poor 52
where air pollution is high 57
where all identity is lost 452
where all movement is slow 53
where all processing is done 46
where all property is held 42
where any attention is paid 43
where any property is held 128
where any provision is made 70
where death delights to help 59
where due attention is paid 160
where for hundreds of years 530
where for thousands of years 469
where god promised to meet 49
where his authority is more 40
where his presence is more 44
where his presence is most 81
where his presence is much 140
where his veracity is most 73
where its argument is zero 52
where its business is done 84
where its identity is lost 48
where its presence is least 46
where its presence is more 48
where its presence is most 175
where its velocity is zero 68
where man regained the ethos 55
where one dislikes the other 55
where one expected to find 174
where our standard of living 40
where real property is sold 84
where she expected to find 1181
where she expected to have 57
where she expected to meet 471
where she expected to pass 43
where she expected to walk 101
where she happened to find 49
where she happened to have 70
where she happened to meet 68
where she intended to have 52
where she intended to live 143
where she intended to make 75
where she intended to pass 71
where she intended to stay 181
where she intended to stop 54
where she intended to take 200
where she intended to wait 43
where she received the best 132
where she received the most 115
where she received the name 48
where she received the news 66
where she received the same 42
where she received the veil 45
where she remained an hour 60
where she remained in hiding 83
where she remained the rest 192
where she returned to live 60
where she suffered so much 174
where she unlocked the door 55
where they acquired the name 84
where they assemble in great 51
where they attended the same 67
where they captured the city 49
where they captured the town 57
where they coalesce to form 114
where they combined to form 42
where they condense to form 53
where they continue to chat 72
where they continue to feed 92
where they continue to form 40
where they continue to grow 448
where they continue to have 91
where they continue to hold 44
where they continue to live 538
where they continue to make 106
where they continue to play 62
where they continue to take 52
where they continue to work 175
where they converge to form 121
where they demanded the best 42
where they designed to land 84
where they designed to make 111
where they designed to pass 339
where they discover the south 45
where they disposed of their 286
where they embarked on their 55
where they excluded the rain 51
where they expected the most 48
where they expected to find 4373
where they expected to have 746
where they expected to join 144
where they expected to live 336
where they expected to make 207
where they expected to meet 1327
where they expected to stay 73
where they expected to take 95
where they followed the same 77
where they happened to come 71
where they happened to fall 171
where they happened to find 218
where they happened to have 169
where they happened to land 141
where they happened to live 298
where they happened to meet 140
where they intended to break 45
where they intended to camp 98
where they intended to give 55
where they intended to halt 46
where they intended to have 262
where they intended to hide 43
where they intended to hold 82
where they intended to hunt 45
where they intended to join 56
where they intended to kill 68
where they intended to land 753
where they intended to leave 110
where they intended to live 179
where they intended to make 522
where they intended to meet 90
where they intended to pass 364
where they intended to rest 71
where they intended to sell 60
where they intended to stay 389
where they intended to stop 172
where they intended to take 341
where they intended to wait 140
where they intended to work 73
where they launched the boat 47
where they multiply to form 45
where they obtained the most 188
where they occupied the same 68
where they perceive so much 171
where they prepared to make 151
where they proposed to dine 59
where they proposed to halt 58
where they proposed to live 48
where they proposed to make 122
where they proposed to pass 114
where they proposed to stay 58
where they proposed to take 178
where they proposed to wait 66
where they received no laws 41
where they received the best 268
where they received the full 41
where they received the most 266
where they received the name 161
where they received the news 99
where they received the rich 80
where they received the same 191
where they received us very 50
where they remained an hour 91
where they remained at least 68
where they remained in camp 111
where they remained in great 91
where they remained in hiding 424
where they remained in their 53
where they remained the best 53
where they remained the rest 204
where they remember to have 87
where they resolved to leave 59
where they resolved to make 412
where they returned to their 109
where they separate to form 113
where they suffered so much 74
where they suffered the most 95
where they suffered the same 80
where they supplied the city 40
where they supposed the guns 79
where they unloaded the ship 58
where this approach is used 149
where this argument is made 41
where this assembly is held 50
where this condition of mind 42
where this divinity is most 56
where this interest is felt 47
where this practice is most 42
where this precedes the file 98
where this tendency is most 234
where this tendency is very 52
where two surfaces of skin 59
where was formerly an hill 40
where you expected to find 395
where you expected to meet 68
where you intended to make 90
which air pressure is used 49
which all authority is from 43
which all believed to have 43
which all ceremony is laid 74
which all citizens as free 142
which all inclined the same 57
which all property is held 208
which all property is safe 45
which all returned to their 76
which all salvation in time 52
which any bankrupt of high 100
which any creditor of such 140
which any district or city 41
which any doctrine of mine 589
which any objection is made 41
which any provision is made 42
which any purchase or sale 63
which any quantity of land 436
which any security is sold 54
which arc supposed to have 89
which are absolute in their 70
which are absorbed as such 58
which are absorbed by other 47
which are abundant in many 144
which are abundant in most 181
which are abundant in other 42
which are abundant in some 139
which are abundant in such 48
which are abundant in their 54
which are abundant in these 159
which are abundant in those 51
which are accepted as good 59
which are accepted as having 60
which are accepted as part 136
which are accepted as self 92
which are accepted as such 156
which are accepted as true 445
which are accepted at their 44
which are accepted by many 121
which are accepted by most 510
which are accepted by other 73
which are accepted by some 110
which are accepted by their 45
which are accepted by those 66
which are accepted in good 44
which are accepted in other 44
which are accepted on faith 71
which are accorded to other 60
which are achieved by means 59
which are acquired by means 44
which are acquired by such 84
which are acquired or held 98
which are actively at work 79
which are actually at work 323
which are actually no more 49
which are actually the most 104
which are actually the same 200
which are adequate to meet 147
which are adjacent to only 93
which are adjacent to other 63
which are adjacent to their 54
which are adjacent to these 90
which are adjacent to those 52
which are adjusted by means 85
which are adjusted to give 91
which are adjusted to suit 51
which are adjusted to their 59
which are admitted to have 456
which are advanced as much 48
which are advanced in their 66
which are affected by many 208
which are affected by mere 46
which are affected by other 84
which are affected by some 53
which are affected by such 388
which are affected by their 187
which are affected by these 320
which are affected by those 55
which are affected by time 51
which are affected by very 45
which are affected by wind 126
which are affected in their 52
which are affected to some 45
which are affirmed to have 105
which are agitated by other 42
which are agreeable to some 50
which are agreeable to such 58
which are agreeable to their 82
which are agreeable to those 42
which are agreeable to your 71
which are amenable to some 60
which are amenable to such 108
which are animated by those 56
which are apparent at birth 61
which are apparent in many 64
which are apparent in some 59
which are apparent in their 104
which are apparent in these 66
which are apparent on their 40
which are apparent to those 113
which are appended to their 47
which are appended to these 42
which are approved as good 116
which are approved by their 60
which are arguably the most 461
which are arrested in their 117
which are articles of faith 127
which are articles of food 111
which are ascribed by many 51
which are ascribed to other 46
which are ascribed to some 51
which are ascribed to their 92
which are ascribed to these 56
which are ascribed to those 60
which are asserted by those 63
which are asserted to have 264
which are assessed as giving 119
which are assigned the same 86
which are assigned the task 58
which are assigned to other 74
which are assigned to their 73
which are assigned to these 84
which are assigned to those 58
which are assisted in their 79
which are attached at their 187
which are attached by means 157
which are attached by their 227
which are attached so many 42
which are attached the arms 52
which are attached the ends 105
which are attached the four 84
which are attached the great 41
which are attached the iron 60
which are attached the legs 75
which are attached the main 51
which are attached the most 44
which are attached the three 171
which are attached to bone 61
which are attached to hair 49
which are attached to many 91
which are attached to most 140
which are attached to other 130
which are attached to single 42
which are attached to some 227
which are attached to such 93
which are attached to their 588
which are attached to these 545
which are attached to those 139
which are attached to three 84
which are attached to your 110
which are attained by means 41
which are attempting to make 67
which are attempting to meet 58
which are attended by great 51
which are attended by many 149
which are attended by more 113
which are attended by much 42
which are attended by only 60
which are attended by over 60
which are attended by pain 47
which are attended by some 137
which are attended by those 44
which are attracting so much 63
which are beautiful as well 89
which are beautiful in their 209
which are beautiful to look 77
which are believed by many 299
which are believed by most 83
which are believed by some 599
which are believed by your 52
which are believed in tend 41
which are believed to bind 50
which are believed to come 217
which are believed to cure 58
