wad please gang to the 54
war after war in the 74
war arising out of an 46
war arising out of the 773
war armed men of the 80
war arose out of the 274
war breaking out at the 57
war breaking out in the 1362
war breaking out on the 124
war breaks out he is 42
war breaks out in the 1857
war breaks out it is 286
war breaks out on the 390
war broke out as the 150
war broke out at the 490
war broke out by the 68
war broke out he at 79
war broke out in la 40
war broke out in the 8743
war broke out it is 43
war broke out on the 1516
war camps and in the 54
war camps run by the 42
war chest was to be 40
war could lead to the 208
war could not be in 54
war could not be of 73
war could not be so 144
war could not be the 75
war could not go on 1154
war debts and of the 91
war debts due to the 64
war debts had to be 88
war debts owing to the 83
war every year on the 62
war forms one of the 50
war found her on the 53
war found him at the 53
war found him in the 150
war found him on the 48
war front and in the 95
war gives way to the 58
war growing out of the 531
war grows out of the 55
war hauling out of the 95
war might bring to the 72
war might end in the 67
war might lead to the 250
war might not be of 52
war might not be so 52
war might not be the 134
war nearly all of the 50
war ought not to be 1406
war ought not to go 41
war party and of the 60
war party had to be 44
war party led by the 231
war party was in the 277
war party was on the 49
war period and at the 45
war period and by the 133
war period and in the 906
war period and it is 139
war period and of the 396
war period and on the 103
war period and to the 136
war period and up to 240
war period are to be 97
war period due to the 183
war period had to be 145
war period has to be 45
war period led to the 286
war period one of the 131
war period owing to the 120
war period than in the 452
war period was in the 119
war period was to be 224
war plans had to be 129
war rather than as an 61
war rather than as the 46
war rather than by the 97
war rather than in the 147
war rather than of the 74
war rather than on the 253
war rather than to the 239
war seems now to be 68
war shows that it is 52
war staring him in the 48
war still goes on in 40
war still going on in 94
war still had to be 190
war still hung in the 240
war turns out to be 241
war until one of the 62
war which are in the 45
war which are to be 134
war which each of the 79
war which had to be 261
war which has to be 120
war which lay in the 147
war which led to the 1066
war which led up to 55
war which met us we 46
war which one of the 74
war which was at the 56
war which was in no 48
war which was in the 69
war which was on the 224
war which was to be 910
war world was to be 130
war would bring to the 204
war would end by the 64
war would end in an 75
war would end in the 398
war would end on the 53
war would lead to an 170
war would lead to the 954
war would lie in the 49
war would mean in the 50
war would mean to the 118
war would not be an 218
war would not be as 306
war would not be in 184
war would not be of 191
war would not be so 172
war would not be the 445
war would not be to 85
war would not go on 156
war would not in the 51
was about all of it 41
was about all of the 175
was about all of us 119
was about and in the 70
was about any of the 72
was about being in the 70
was about due to be 51
was about going to the 187
was about him as he 61
