wan it else would be 152
war an hour longer to 40
war at last began to 51
war at least until the 118
war at some point in 109
war by laying siege to 87
war he laid aside the 86
war in bringing about the 42
war in cuba drags on 75
war in full sight of 45
war in iraq based on 101
war in iraq began in 75
war in iraq began to 49
war in iraq could be 57
war in iraq seems to 61
war in iraq would be 141
war in korea could be 65
war in korea ended in 56
war in korea might be 43
war in korea under the 62
war in korea would be 108
war in many parts of 390
war in north china in 42
war in other parts of 867
war in some parts of 191
war in some shape or 51
war in those parts of 62
war in those parts to 43
war is just which is 252
war is nothing short of 43
war is raging about it 51
war is taking place in 172
war is very close to 45
war is well known to 51
war on iraq would be 46
war on their hands in 62
war or else about the 48
war or just after it 70
war or other forms of 335
war or other period of 82
war or peace could be 73
war or peace might be 63
war or peace seems to 50
war or peace within the 55
war or peace would be 126
war so soon after the 340
war the army would be 58
war the high price of 67
war the jews would be 58
war the last trace of 59
war to come would be 52
war to look after the 76
war to other parts of 104
war to peace would be 94
war to take place in 111
war we were about to 74
was an able leader of 141
was an able piece of 86
was an able seaman in 42
was an able seaman on 89
was an aching sense of 68
was an acid taste in 41
was an aerial photo of 50
was an aged woman of 51
was an angel speaking to 58
was an angry flash in 80
was an angry flush on 70
was an angry glint in 131
was an angry light in 191
was an angry scene in 81
was an angry scowl on 52
was an arch enemy of 147
was an army corps of 45
was an army nurse in 47
was an army proud of 40
was an army under the 42
was an aura about the 170
was an avid buyer of 42
was an avid lover of 71
was an avid reader as 220
was an avid reader in 134
was an avid reader of 6563
was an eager light in 136
was an eager reader of 344
was an eagle sitting on 64
was an early cause of 91
was an early comer to 58
was an early draft of 272
was an early entry in 97
was an early essay in 59
was an early evening in 91
was an early event in 146
was an early focus of 174
was an early fruit of 46
was an early leader in 1421
was an early leader of 691
was an early lover of 52
was an early maker of 58
was an early mayor of 63
was an early method of 159
was an early model of 234
was an early morning in 206
was an early morning of 56
was an early mover in 123
was an early onset of 57
was an early owner of 117
was an early period in 90
was an early period of 255
was an early phase in 89
was an early phase of 214
was an early piece of 72
was an early point of 70
was an early proof of 58
was an early pupil of 115
was an early reader of 166
was an early riser by 46
was an early rival of 74
was an early salvo in 55
was an early stage in 307
was an early stage of 422
was an early start in 44
was an early start to 47
was an early state of 55
was an early study of 99
was an early taste of 102
was an early topic of 54
was an early voice in 53
was an early warning of 283
was an early warning to 93
was an earthy savor in 64
was an epic story of 51
was an even spread of 47
was an evil glint in 66
was an evil light in 97
was an evil smile on 53
was an evil state of 82
was an evil which he 90
was an evil which it 119
was an evil which the 162
was an hour above the 107
was an hour after he 64
was an hour after the 349
was an hour later in 135
was an hour never to 144
was an hour short of 61
was an hour since he 67
was an hour since the 62
was an hour until the 48
was an hour walking to 394
was an ideal based on 60
was an ideal blend of 43
was an ideal image of 40
was an ideal leader of 132
was an ideal method of 85
was an ideal model of 70
was an ideal piece of 44
was an ideal place in 376
was an ideal place of 98
was an ideal place to 3062
was an ideal point of 61
was an ideal scene of 44
was an ideal setting in 106
was an ideal setting to 73
was an ideal state of 180
was an ideal which he 151
was an ideal which the 92
was an ideal world of 53
was an ideal worthy of 51
was an idle fancy in 41
was an idle piece of 59
was an idle trick of 72
was an idle waste of 123
was an inch above the 98
was an inch below the 67
was an inch short of 79
was an iron chest at 155
was an iron reign of 43
was an iron stove in 77
was an isle where no 64
was an item about the 138
was an okay place to 81
was an ongoing issue in 46
was an only child as 66
was an only child at 69
was an only child he 49
was an only child in 402
was an only child of 1214
was an only child or 123
was an only child so 300
was an only child to 71
was an open appeal to 123
was an open breach in 62
was an open breach of 219
was an open clash of 46
was an open court in 93
was an open court or 40
was an open denial of 50
was an open enemy of 361
was an open enemy to 60
was an open field in 154
was an open field of 213
was an open field on 133
was an open field to 47
was an open glade in 78
was an open grove of 105
was an open house at 104
was an open house in 44
was an open house to 100
was an open meeting of 104
was an open patch of 82
was an open piece of 169
was an open place in 115
was an open place of 48
was an open plain of 57
was an open polar sea 57
was an open season on 143
was an open sheet of 80
was an open space at 142
was an open space in 776
was an open space of 1062
was an open space on 205
was an open space or 103
was an open space to 157
was an open split in 87
was an open tract of 42
was an open wound as 159
was an open wound in 132
was an open wound on 62
was an oval patch of 50
was an oval piece of 61
was an oval table of 84
was an ugly crime on 58
was an ugly piece of 105
was an ugly place to 102
was an ugly scene at 40
was an ugly scene in 65
was an ugly shade of 91
was an ugly sight to 81
was an ugly smile on 41
was an ugly story of 141
was as angry about the 51
was as clear about the 51
was as eager after it 56
was as good ivory as 55
was as good looking as 409
was as great after the 45
was as great drops of 257
was as high above my 46
was as high above the 79
was as keen about the 65
was as many people as 43
was as much about my 45
was as much about the 1390
was as much above the 389
was as much aimed at 98
was as much alive as 608
was as much alive in 63
was as much alive to 230
was as much alone as 724
was as much alone in 136
was as much awake to 181
was as much aware as 208
was as much aware of 432
was as much based on 199
was as much below the 151
was as much blood on 50
was as much bored as 72
was as much bored by 80
was as much bound as 194
was as much bound by 350
was as much bound in 60
was as much bound to 688
was as much bound up 96
was as much cause as 117
was as much danger in 100
was as much danger of 119
was as much danger to 58
was as much drawn to 108
