war materials destined for the 61
was abolishing monarchy and the 50
was abruptly informed that he 53
was abruptly reversed with the 40
was abundant evidence for the 58
was abundant evidence that he 149
was abundant evidence that it 54
was abundant evidence that the 929
was accepted doctrine that the 44
was accepted practice for the 96
was accepted practice that the 56
was achieved compared with the 43
was acquired otherwise than by 57
was actively involved with the 1243
was actively negotiating with the 68
was actively occupied with the 56
was actually accepted for the 43
was actually asserted that the 40
was actually believed that the 47
was actually designed for the 77
was actually destined for the 49
was actually directed not at 81
was actually employed for the 71
was actually expended for the 77
was actually grateful for the 203
was actually intended for the 202
was actually invested with the 99
was actually involved with the 90
was actually negotiating with the 107
was actually observed and the 45
was actually possible for the 63
was actually prepared for the 104
was actually proposed that the 47
was actually provided for by 67
was actually provided for in 54
was actually relieved not to 51
was actually relieved that he 78
was actually relieved that the 64
was actually required for the 188
was actually reserved for the 42
was actually struggling with the 46
was adequate evidence that the 65
was adequate provision for the 82
was answered valiantly with an 50
was apparent therefore that the 44
was ardently desirous that the 51
was artistic director for the 55
was believed formerly that the 84
was believed initially that the 61
was believed possible that the 67
was bitterly attacked for the 85
was bitterly resented both by 48
was brutally murdered and the 66
was cheerful compared with the 87
was cleverly consumed was the 45
was collecting materials for an 42
was collecting materials for my 97
was collecting materials for the 149
was commonly accepted that the 543
was commonly asserted that the 142
was commonly believed that an 91
was commonly believed that at 51
was commonly believed that by 40
was commonly believed that he 700
was commonly believed that if 200
was commonly believed that in 121
was commonly believed that it 215
was commonly believed that no 77
was commonly believed that on 75
was commonly believed that the 3703
was commonly believed that to 46
was commonly credited with the 67
was commonly employed for the 80
was commonly expected that the 76
was commonly observed that the 141
was commonly remarked that the 82
was commonly reported that he 511
was commonly reported that in 48
was commonly reported that the 505
was commonly reserved for the 46
was commonly supposed that he 151
was commonly supposed that the 784
was compared directly with the 158
was compelling evidence that the 173
was composed specially for the 80
was concrete evidence that the 123
was constant conflict with the 61
was convincing evidence for the 80
was convincing evidence that he 55
was convincing evidence that the 554
was cordially received and the 49
was credible evidence that the 70
was credibly informed that he 78
was credibly informed that in 80
was credibly informed that it 64
was credibly informed that the 434
was credibly reported that he 42
was credibly reported that the 122
was declared bankrupt and the 179
was declared eligible for the 99
was declared unlawful and the 42
was declared unlawful for the 66
was decreased compared with the 58
was definite evidence that the 180
was designed entirely for the 45
was designed initially for the 55
was designed specially for the 201
was designed strictly for the 44
was devoutly believed that the 61
was directly compared with the 105
was directly involved with the 879
was directly opposite that of 108
was district attorney for the 354
was divinely ordained for the 69
was dramatic evidence that the 97
was earnestly cautioned not to 137
was earnestly desirous that the 84
was earnestly occupied with the 41
was enormous compared with the 94
was entirely absorbed with the 113
was entirely adequate for the 141
was entirely congruent with the 117
was entirely consumed with the 45
was entirely engrossed with the 141
was entirely ignorant that he 61
was entirely ignorant that the 61
was entirely innocent was to 43
was entirely occupied with it 43
was entirely occupied with the 1024
was entirely original with me 59
was entirely permeated with the 50
was entirely possible for an 66
was entirely possible for the 295
was entirely possible that an 110
was entirely possible that he 837
was entirely possible that if 76
was entirely possible that in 73
was entirely possible that it 100
was entirely possible that no 69
was entirely possible that the 1531
was entirely possible that we 51
was entirely prepared for the 63
was entirely probable that the 51
was entirely reserved for the 96
was entirely suitable for the 134
was entirely unfitted for the 107
was entirely unsuited for the 139
was essential therefore that the 114
was evidence indicating that the 144
was evidence suggesting that the 110
was expected therefore that the 53
was fiercely attacked both by 40
was financed entirely out of 76
was forcibly invested with the 92
was forcibly reminded that he 46
was forcibly reminded that the 47
was formally accepted and the 100
was formally declared that the 116
was formally invested with the 935
was formally launched with the 131
was formally mustered out of 67
was formally notified that he 63
was formally notified that the 107
was formerly asserted that the 77
was formerly believed that an 80
was formerly believed that he 75
was formerly believed that if 255
was formerly believed that in 195
