we always carry within us 78
we became about packing up 82
we became dimly aware of 91
we became fully aware of 233
we became quite adept at 59
we become aware again of 42
we become dimly aware of 47
we become fully aware of 737
we become truly aware of 44
we camped within sight of 51
we caught sight again of 113
we expect older people to 41
we follow every motion by 45
we fondly hoped would be 45
we judged could belong to 56
we justly blame either the 111
we learned anything about the 68
we learned while growing up 93
we obtain which gives the 278
we obtain which gives us 105
we obtain which tells us 43
we occupy large parts of 56
we passed close under the 320
we passed large herds of 42
we passed quite close to 236
we passed within sight of 303
we poured boiling water on 41
we reached about eight in 68
we remain fully aware of 50
we sailed within sight of 50
we should again refer to 81
we should agree about the 57
we should allow others to 95
we should allow people to 150
we should avoid every thing 40
we should avoid speaking of 65
we should avoid thinking of 158
we should catch sight of 63
we should cross after the 50
we should first agree on 105
we should first check to 83
we should first focus on 187
we should first refer to 81
we should first study the 121
we should first visit the 64
we should focus first on 60
we should judge others by 43
we should judge people by 47
we should judge worthy of 75
we should never again be 376
we should never agree in 48
we should never agree on 45
we should never agree to 62
we should never allow it 84
we should never allow the 206
we should never allow to 47
we should never apply the 47
we should never begin to 49
we should never claim to 41
we should never cross the 40
we should never engage in 85
we should never enjoy the 42
we should never judge the 60
we should never refer to 48
we should never yield to 87
we should rather blame the 47
we should rather focus on 163
we should rather refer to 54
we should rather study to 97
we should really focus on 41
we should really refer to 45
we should refer again to 87
we should spend money on 117
we should spend would do 112
we should stand alone in 52
we should stand aside if 71
we should start looking at 123
we should start thinking in 60
we should start thinking of 150
we should start where the 47
we should start working on 184
we should stick close to 51
we should still never be 41
we should worry about is 290
we should worry about it 157
we should worry about the 461
we should write about the 58
we stayed right where we 54
we strain every nerve to 226
we talked about setting up 67
we talked about wanting to 45
we talked about where we 160
we talked again about the 82
we thought could never be 82
we thought would never be 73
we thought would stick by 57
we waited until after the 106
we walked quite round the 87
