war without truce and without 45
was almost choking with emotion 54
was almost giddy with relief 117
was almost tired out before 56
was almost twice its normal 44
was already aware that something 58
was already casting its shadow 398
was already known long before 91
was already looking for another 129
was already looking for someone 60
was already looking for something 76
was already reaching for another 53
was already under way before 646
was always about his person 77
was always alert and anxious 47
was always alone and always 47
was always breaking new ground 44
was always changing and always 55
was always drawing and painting 121
was always drunk and always 108
was always front and center 85
was always grave and serious 70
was always happy and always 55
was always happy and laughing 46
was always howling and bruising 77
was always hungry and always 85
was always hungry and thirsty 69
was always looking for another 122
was always looking for better 157
was always looking for reasons 42
was always looking for someone 332
was always looking for something 1364
was always mingled with violent 43
was always moaning and groaning 110
was always opening and shutting 45
was always plain and simple 42
was always quiet and gentle 49
was always rather too narrow 47
was always right and always 151
was always smiling and always 61
was always smiling and laughing 111
was always smiling and lisped 41
was always smiling and serene 42
was always sweet and gentle 74
was always talking and laughing 41
was always thinking and planning 137
was always waiting for someone 96
was always waiting for something 274
was always willing and anxious 91
was always wishing for something 56
was always working and always 52
was another cause that helped 54
was another flash and another 47
was another reason for avoiding 68
was another reason for caution 51
was another reason for choosing 162
was another reason for doubting 52
was another reason she wanted 84
was another swish and another 211
was anxious about her brother 41
was anxious about her future 130
was anxious about his family 63
was anxious about his friend 55
was anxious about his future 207
was anxious about his sister 62
was anyone wiser than myself 45
was asleep after his dinner 82
was barely under way before 82
was becoming aware that something 43
was becoming older than itself 62
was before noted that sundry 40
was better aimed than common 138
was better armed and better 139
was better known and better 221
was broken glass all around 93
was brooding beneath this mantle 69
was buried beneath its waters 142
was burned alive for heresy 140
was capering about and laughing 55
was caught breaking and entering 48
was changed after this manner 54
was cheaper where they wagged 48
was chosen rather than another 184
was clearly aware that something 46
was clearly looking for someone 44
was clearly looking for something 55
was clearly tired and anxious 54
was clearly within her rights 55
was clearly within his proper 116
was clearly within his rights 251
was clearly within its rights 100
was curious about this strange 53
was cursed above all cattle 71
was deemed every way proper 59
was deemed right and proper 87
was deeply moved and thanked 48
was english poetry and fiction 54
was english rather than french 111
was english ships and english 44
was enough crazy and rotten 56
was fairly tried and justly 46
was forced rather than opened 52
was formed which was called 129
was french rather than english 252
was gathering roses and lilies 54
was gathering round his master 89
was greater after than before 176
was greatly moved and seemed 55
was hardly breaking new ground 155
was hardly under way before 228
was heavily built and feebly 47
was heavily laden with german 57
was heavily laden with stores 51
was honest about her feelings 53
was honest about his feelings 69
was indeed after him already 40
was indeed fiery and fearful 54
was ironed within and without 167
was keenly aware that something 64
was killed after being struck 55
was levied within each county 108
was little cause for wonder 150
was little doubt that something 68
was little known and little 322
was little known and rarely 54
was little known and seldom 72
was little reason for anyone 185
was little scope for further 341
was little sleep for anyone 225
was merely changing her prison 76
was merely looking for something 46
was mortal still and solemn 67
was mourning above her buried 102
was neither aught nor naught 247
was neither awake nor asleep 182
was neither black nor copper 340
was neither blind nor stupid 72
was neither cloak nor covering 45
was neither cruel nor unjust 75
was neither dancing nor fiddling 126
was neither dated nor signed 122
was neither drink nor vessel 46
was neither first nor second 82
was neither greasy nor sticky 48
was neither harsh nor unjust 44
was neither hindu nor muslim 316
was neither human nor animal 282
was neither human nor divine 78
was neither hungry nor thirsty 894
was neither knave nor coward 61
was neither knave nor madman 49
was neither known nor thought 40
was neither money nor credit 78
was neither naked nor clothed 111
was neither nausea nor vomiting 46
was neither plain nor pretty 151
was neither rapid nor direct 70
was neither reason nor excuse 96
was neither right nor proper 136
was neither round nor square 47
was neither saint nor sinner 86
was neither sense nor english 58
was neither short nor simple 51
was neither skill nor energy 293
was neither slave nor master 56
was neither smiling nor frowning 50
was neither sorry nor afraid 116
was neither strong nor united 104
was neither sweet nor bitter 89
was neither tired nor sleepy 142
was neither trite and vulgar 227
was neither trite nor vulgar 40
