waked last night and bemoaned 49
walks were still and solitary 81
walls were lined with beautiful 54
walls were lined with cabinets 54
walls were lined with hundreds 83
walls were lined with mahogany 41
walls were lined with pictures 212
walls were lined with soldiers 69
walls were smooth and polished 43
waste away under his tortures 75
waste from ships and aircraft 46
wasting away beneath this atrocious 69
watch like angels with outspread 77
watch their wives and children 162
water from wells and cisterns 312
waxed very wealthy and powerful 114
weaken their hands and strengthen 66
weigh their costs and benefits 42
weigh these costs and benefits 56
where else would her ladyship 59
where heavy loads are involved 41
where many genes are involved 40
where many hands are employed 65
where many people are employed 110
where many people are involved 197
where many towns and villages 68
where many women and children 112
where many women are employed 168
where more hearings and revisions 59
where more people are involved 49
where more women are employed 51
where most goods and services 67
where most people are strangers 67
where most women are employed 78
where only women and children 111
where other people are involved 105
where play weeping and laughter 95
where rosa makes her purchase 45
where some women and children 62
where such action was promptly 147
where such costs are incurred 46
where such goods and chattels 51
where such goods and services 57
where such lands are situated 252
where their first two children 182
where their hands may maintain 45
where their lives and property 59
where their money was concealed 60
where their money was invested 42
where their names are mentioned 43
where their names are recorded 68
where their roots may copiously 58
where their social and cultural 41
where their wives and children 639
where their wives and families 177
where their women and children 260
where there could not possibly 212
where these birds are abundant 81
where these birds are numerous 86
where these goods and services 52
where these goods are produced 43
where those goods are produced 156
where young people are expected 48
where young people are involved 67
where young women are educated 43
where young women are employed 45
where your thighs are parallel 84
where your thrift and industry 127
which best suits his purposes 51
which best suits its purposes 40
which brings about his downfall 157
which brings about this splendid 80
which came right and righteous 185
which came under his attention 48
which came under his immediate 198
which came under his personal 330
which came under his treatment 53
which came under our personal 57
which came under this category 54
which came within his province 66
which cash flows are expected 71
which cash flows are received 52
which cash flows are relevant 49
which come under this category 388
which come within its province 71
which come within this category 101
which deep cunning and heartless 71
which even popes and councils 58
which even women and children 205
which ever enjoy all holidays 70
which ever since has remained 117
which ever since its inception 58
which fact could not progress 94
which fair proof can scarcely 97
which faith could not persuade 56
which fall below this standard 97
which fall under this category 378
which fall within his province 42
which fall within its coverage 58
which fall within its province 76
which fall within this category 298
which fell under his personal 113
which fell within his province 76
which fill father and reverend 49
which fine views are obtained 75
which gave shape and direction 66
which germ cells are produced 73
which give order and direction 190
which give point and interest 98
which give shape and direction 41
which good sense and industry 53
which good works are commonly 81
which great value was attached 49
which have beauty and elegance 86
which have ended our military 46
which have equal and opposite 68
which have never yet afforded 172
which have never yet received 99
which have never yet survived 42
which have shown that children 72
which have social and economic 53
which have stood for hundreds 43
which have stood for thousands 48
which have taken this approach 40
which have taken this direction 113
which have until now remained 63
which holy hosts and oblations 41
which kept order and enforced 55
which last piece our generous 55
which lies above and parallel 49
which lies within our possible 50
which life could not continue 104
which living cells are composed 42
which lord bacon then proposed 44
which lord byron had restored 69
which lord clive had proposed 49
which main lines and branches 53
which many cells and cellular 119
which many genes are involved 44
which many goods and services 54
which many people are allergic 145
which many people are ignorant 47
which many people are inclined 66
which many people are involved 116
which many people can identify 51
which many women and children 166
which many women are employed 83
which means first and foremost 275
which meant first and foremost 109
which more goods and services 43
which most goods and services 100
which most people are employed 50
which most people are ignorant 86
which most people are inclined 75
which most people can identify 68
which most social and economic 41
which most women are employed 64
which must claim our attention 143
which must engage our attention 272
which must exist for complete 78
which must first and foremost 60
which next claim our attention 128
which only comes with practice 59
which only women and children 61
