wad far better become ye 65
wag and bright fellow at 95
wan and pallid aspect to 207
war and squats opposing my 49
war and whether lawful or 246
war are horrid enough at 45
war can scarce amount to 100
war had barely grazed the 106
war had become languid in 44
war had little effect on 361
war had little impact on 133
war had passed through the 44
war has proved itself to 193
war that seemed likely to 84
war two armies should be 77
war was caused mainly by 44
war was deeply rooted in 49
war was fought mainly by 66
war was fought mainly in 132
war was fought mainly on 72
war was fought mostly in 51
war was partly caused by 41
war with england amazed me 42
war with england before the 70
war with england seemed to 81
war with england should be 67
war with france before the 49
war with france caused the 53
war with france instead of 51
war with france seemed to 118
war with france should be 185
war with france without the 156
war with mexico should be 69
war with nuclear weapons is 40
was all anyone needed to 167
was all anyone seemed to 66
was all anyone wanted to 105
was all humbug before he 57
was all second nature to 70
was and always should be 97
was and should always be 57
was and should remain an 46
was and should remain the 98
was any common ground on 66
was any serious effort to 44
was any serious thought of 57
was any special effort to 54
was any special virtue in 59
was bad enough before the 175
was bad enough without the 226
was bad public policy to 44
was being argued before the 225
was being called before the 50
was being chased across the 48
was being chased around the 114
was being chased through the 126
was being created through the 73
was being denied access to 286
was being driven across the 161
was being driven around in 71
was being driven around the 81
was being driven before the 57
was being driven insane by 45
was being driven through the 599
was being driven toward the 167
was being eagerly sought by 45
was being forced through the 158
was being formed around the 76
was being formed through the 42
was being fought across the 49
was being fought behind the 40
was being fought through the 42
was being further eroded by 51
was being guided through the 96
was being guided toward the 46
was being hauled across the 51
was being hauled through the 75
was being heavily bombed by 74
was being jerked around by 61
was being loaded aboard the 72
was being passed around by 79
was being passed around in 133
was being passed around the 358
was being passed around to 62
was being passed through the 288
was being placed before the 125
was being played before the 82
was being played behind the 86
was being pulled across the 119
was being pulled through the 187
was being pulled toward the 207
was being pumped through the 116
was being pushed across the 107
was being pushed around by 221
was being pushed around in 60
was being pushed around the 62
was being pushed beyond the 48
was being pushed through the 331
was being pushed toward the 220
was being routed through the 42
was being rushed through by 50
was being rushed through the 216
was being slowly eroded by 53
was being slowly forced to 44
was being slowly killed by 41
was being sorely tested by 85
was being sought through the 54
was being sucked through the 52
was being tossed around by 75
was being tossed around in 78
was being treated almost as 108
was being treated merely as 41
was being widely touted as 59
was but another aspect of 415
was but another effort to 43
was but another feature of 57
was but another portion of 57
was but another version of 161
was but another victim of 91
was but little better in 43
was but little chance of 1406
was but little changed by 58
was but little changed in 80
was but little fitted to 83
was but little likely to 104
was but little sought by 93
was but little specie in 66
was but little suited to 112
was but little thought of 177
was but little versed in 293
was but slight chance of 42
was cut square across the 80
was dead almost before it 47
was doing serious damage to 118
was doing something inside the 41
was due almost solely to 415
was due almost wholly to 632
was due partly indeed to 54
was far behind england in 119
was far behind europe in 69
was far better fitted to 410
was far better placed to 135
was far better served by 75
was far better suited to 1297
was far better versed in 223
was far enough behind the 90
was far enough behind to 53
was far enough beyond the 71
was far enough inland to 149
was for allowing kansas to 70
