we add jerome to these 77
we all accept the fact 106
we all admire so much 458
we all admire the same 41
we all agreed at once 48
we all agreed on what 163
we all agreed the next 66
we all agreed to call 92
we all agreed to dream 99
we all agreed to give 68
we all agreed to have 116
we all agreed to keep 106
we all agreed to leave 54
we all agreed to make 108
we all agreed to meet 227
we all agreed to stay 61
we all agreed to take 134
we all agreed to tell 45
we all agreed we were 81
we all became at once 187
we all become the same 54
we all depend on body 46
we all desire so much 114
we all desire the same 64
we all desire to have 89
we all desire to know 70
we all desire to live 82
we all expect to have 83
we all expect to meet 40
we all follow the same 147
we all lament to know 74
we all learned as kids 42
we all learned in high 269
we all learned to call 111
we all learned to keep 53
we all learned to like 43
we all learned to live 82
we all learned to love 120
we all learned to make 61
we all learned to play 56
we all learned to speak 56
we all looked the other 46
we all looked the same 207
we all needed to know 85
we all needed to learn 57
we all needed to take 42
we all needed to work 47
we all offend in many 120
we all passed in turn 59
we all played the game 87
we all proved the other 75
we all raised the yell 51
we all reached the same 44
we all rushed on deck 82
we all seemed to come 45
we all seemed to feel 183
we all seemed to find 44
we all seemed to have 385
we all seemed to know 83
we all seemed to speak 56
we all shared the same 614
we all should be able 161
we all should be free 49
we all should be glad 51
we all should be more 48
we all should be very 73
we all sinned in adam 164
we all stayed at home 71
we all stayed up late 46
we all strive to live 59
we all strive to make 100
we all strive to reach 82
we all suffer in some 43
we all suffer the same 66
we all suffer to some 65
we all talked at once 296
we all talked it over 276
we all talked the same 53
we all thought he must 182
we all thought it best 209
we all thought it very 265
we all thought of your 77
we all thought so much 106
we all thought the same 286
we all thought the ship 51
we all thought to have 66
we all thought we knew 208
we all thought we were 925
we all travel the same 41
we all turned in early 69
we all turned to face 65
we all turned to look 420
we all wanted the same 187
we all wanted to come 67
we all wanted to find 67
we all wanted to give 70
we all wanted to have 143
we all wanted to help 121
we all wanted to keep 43
we all wanted to kill 82
we all wanted to know 620
we all wanted to live 86
we all wanted to look 48
we all wanted to make 179
we all wanted to meet 63
we all wanted to play 49
we all wanted to stay 53
we all wanted to take 75
we all wanted to talk 43
we all wanted to work 54
we all wished to have 44
we all wished we were 44
we all worked so hard 374
we any chance of seeing 57
we any ground to hope 53
we are absent in body 46
we are adopting the only 49
we are adopting the same 40
we are adults we have 68
we are afraid he will 273
we are afraid it must 98
we are afraid it will 468
we are afraid of coming 44
we are afraid of facing 52
we are afraid of giving 64
we are afraid of having 159
we are afraid of life 57
we are afraid of losing 683
we are afraid of making 188
we are afraid of nothing 148
we are afraid of other 43
we are afraid of saying 41
we are afraid of seeing 47
we are afraid of some 67
we are afraid of such 50
we are afraid of taking 45
we are afraid of their 214
we are afraid of these 81
we are afraid of those 93
we are afraid of tiring 56
we are afraid of what 2113
we are afraid of your 72
we are afraid or angry 44
we are afraid to break 47
we are afraid to call 51
we are afraid to come 91
we are afraid to face 455
we are afraid to fail 46
we are afraid to feel 48
we are afraid to find 123
we are afraid to give 197
we are afraid to have 153
we are afraid to know 173
we are afraid to leave 116
we are afraid to live 85
we are afraid to look 445
we are afraid to lose 241
we are afraid to love 78
we are afraid to make 208
we are afraid to meet 86
we are afraid to move 114
we are afraid to open 94
we are afraid to reach 43
we are afraid to risk 106
we are afraid to send 40
we are afraid to show 87
we are afraid to speak 343
we are afraid to step 50
we are afraid to take 358
we are afraid to talk 141
we are afraid to tell 272
we are afraid to think 170
we are afraid to throw 44
we are afraid to walk 61
we are afraid we have 132
we are afraid we must 98
we are afraid we will 486
we are agreed on what 252
we are agreed to call 216
we are alluding to here 80
we are almost as good 52
we are almost as like 106
we are almost as much 658
we are almost as well 143
we are almost at home 43
we are almost the only 782
we are almost the same 201
we are already as good 46
we are already at home 85
we are already at work 98
we are already in deep 49
we are already in fact 50
we are already in full 50
we are already in good 136
we are already in great 45
we are already in love 55
we are already in some 132
we are already in such 41
we are already in your 49
we are already so much 424
we are already so well 144
we are already the same 70
we are already to some 58
we are always at home 313
we are always at least 76
we are always at odds 40
we are always at risk 179
we are always at work 148
we are always at your 64
we are always in debt 107
we are always in need 355
we are always in some 314
we are always in such 117
we are always in want 40
we are always of good 197
we are always on duty 42
we are always so busy 61
we are always so eager 65
we are always so glad 111
we are always so much 240
we are always so ready 52
we are always the last 45
we are always the more 126
we are always the most 139
we are always the ones 56
we are always the same 270
we are always to have 131
we are always to keep 124
we are always to live 145
we are always to look 104
we are always to make 83
we are always to pray 48
we are always to some 108
we are always to take 50
we are amazed at hearing 40
we are amazed at their 211
we are amazed at what 138
we are amazed to find 896
