wage rates in such a 99
wait until at least a 162
wait until he gets a 431
wait until he made a 72
wait until he sees a 40
wait until it gets a 203
wait until we find a 308
wait until we have a 1790
wait until we reach a 65
wait while he made a 237
wait while he took a 81
waking state is only a 48
walk about in such a 319
walk about the room a 192
walk about the town a 100
walk about the town i 47
walk miles to find a 161
walk until we find a 92
walk worthy of such a 127
wall could be seen a 41
wall seems to have a 44
want first to give a 43
want first to have a 49
want first to make a 65
want first to take a 43
want folks to think i 42
want japan to play a 41
want music to have a 62
want others to have a 103
want others to know i 63
want others to think i 168
want people to have a 400
want people to know i 1889
want people to make a 117
want people to take a 47
want people to think i 4213
want proof of what i 57
want women to have a 59
warm cabin on such a 42
warm water in such a 59
warm water to form a 284
warm water to give a 86
warm water to make a 994
warp threads in such a 111
warp threads to form a 172
warp threads to make a 51
wash basin or even a 45
wasp shows in leaving a 57
wave casts on land a 53
wave front at time t 180
wealth ought to play a 47
wealth until we have a 53
wearing round the neck a 50
week after the race i 49
week later he gave a 72
week later he held a 41
week later he made a 113
week later he sent a 184
week later he took a 54
well about the time i 48
well appear to have a 48
well appear to such a 88
well aware of such a 200
well aware of what a 541
well aware of what i 747
well claim to give a 56
well claim to have a 147
well drawn up into a 70
well first to give a 136
well first to make a 69
well first to take a 67
well known as having a 111
well known in many a 73
well known in such a 49
well known in what a 43
well known on many a 90
well known to form a 224
well known to give a 64
well known to have a 1967
well known to leave a 77
well known to make a 204
well known to many a 145
well known to need a 4584
well known to play a 190
well known to take a 52
well known to what a 112
well prove to have a 217
well short of such a 64
well shown in such a 69
well spent in hearing a 48
well spent in making a 47
well spent in such a 53
well tried in many a 96
well where to find a 85
well worthy of such a 303
went about it like a 181
went about my work i 50
went about to make a 190
went about to take a 52
went after it like a 155
went aloft to have a 44
went aloft to take a 78
went below to find a 49
went below to have a 125
went below to make a 75
went below to take a 116
went naked or wore a 59
went round to have a 147
went round to take a 58
were about as good a 42
were about the best i 75
were about to blow a 61
were about to break a 56
were about to burn a 40
were about to bury a 50
were about to call a 146
were about to cast a 40
were about to draw a 69
were about to drop a 77
were about to face a 549
were about to fall a 66
were about to fell a 41
were about to file a 63
were about to find a 156
were about to fire a 95
were about to ford a 47
were about to form a 804
were about to gain a 89
were about to give a 671
were about to have a 3560
were about to hold a 713
were about to hurl a 42
were about to join a 126
were about to kill a 196
were about to land a 53
were about to learn a 112
were about to leave a 292
were about to leave i 188
were about to lift a 51
were about to lose a 389
were about to make a 6482
were about to meet a 367
were about to miss a 43
were about to move a 63
were about to open a 685
were about to pass a 373
were about to play a 533
were about to pull a 107
were about to reach a 349
were about to ride a 47
were about to seek a 165
were about to sell a 44
were about to send a 536
were about to show a 46
were about to sign a 493
were about to spring a 75
were about to take a 3203
were about to tell a 155
were about to throw a 228
were about to turn a 206
were about to wage a 55
were added in such a 89
were added to form a 467
were added to give a 746
were added to make a 487
were added to such a 134
were again to have a 49
were again to play a 57
were aimed at giving a 44
were aimed at making a 52
were alike in having a 106
were angled in such a 40
were anything to having a 74
were armed in such a 55
were asked in such a 164
were asked to call a 130
were asked to cite a 54
were asked to copy a 164
were asked to draw a 2289
were asked to file a 40
were asked to fill a 135
were asked to find a 835
were asked to form a 845
were asked to give a 3745
were asked to have a 371
were asked to help a 144
were asked to hold a 261
were asked to join a 381
were asked to keep a 1953
were asked to learn a 359
were asked to leave a 188
were asked to lend a 82
were asked to lift a 79
were asked to list a 82
were asked to make a 6522
were asked to mark a 117
were asked to meet a 49
were asked to move a 136
were asked to name a 1056
were asked to open a 87
were asked to pass a 112
were asked to pick a 320
were asked to plan a 249
were asked to play a 634
were asked to pull a 47
were asked to push a 129
were asked to rank a 569
were asked to rate a 1265
were asked to reach a 156
were asked to sell a 45
were asked to send a 578
were asked to show a 79
were asked to sign a 2531
were asked to sort a 185
were asked to take a 2216
were asked to teach a 242
were asked to tell a 631
were asked to test a 46
were asked to throw a 45
were asked to turn a 46
were asked to view a 356
were asked to vote a 59
were asked to wait a 151
were asked to walk a 63
were aware of having a 48
were aware of only a 123
were aware of such a 378
were aware of what a 121
were aware of what i 223
were based on having a 47
were based on only a 405
were based on such a 317
were based on what a 41
were based on what i 211
were begun to find a 42
were blown up into a 46
were bound by such a 63
were bound in such a 128
were bound to feel a 112
were bound to find a 359
were bound to form a 66
were bound to give a 297
were bound to have a 2259
were bound to hold a 40
were bound to keep a 258
were bound to leave a 125
were bound to lose a 74
were bound to make a 1011
were bound to meet a 48
were bound to obey a 43
were bound to play a 374
were bound to reach a 66
were bound to seek a 54
were bound to send a 57
were bound to show a 78
were bound to take a 479
were bound to work a 41
were bound up into a 51
were breaking up into a 55
were built in such a 932
were built on such a 233
were built to form a 138
were built to give a 48
were built to last a 90
were built to meet a 45
were built up from a 359
were built up into a 337
were built up like a 73
were built up over a 241
were changing in such a 96
were close to half a 144
were close to having a 76
were close to making a 104
were close to such a 43
were close to what i 53
were coded as having a 198
were coded in such a 171
were digging to make a 44
were drawn in such a 769
were drawn to have a 85
were drawn to such a 83
were drawn up along a 107
were drawn up from a 62
were drawn up into a 359
were drawn up like a 128
were drawn up over a 47
were equal to half a 73
were equal to such a 265
were failing to make a 83
were fated to have a 111
were fated to play a 88
were fired at from a 134
were fired on from a 324
were first to have a 46
were first to make a 70
were first to take a 43
were fixed at such a 75
were fixed in such a 450
were found at only a 60
were found in only a 716
were found in such a 638
were found on only a 67
were found to emit a 50
were found to form a 759
were found to give a 1046
were found to have a 35104
were found to hold a 138
were found to lack a 124
were found to make a 405
were found to need a 78
were found to obey a 73
were found to play a 1088
were found to pose a 52
were found to reach a 166
were found to show a 1150
were found to take a 99
were found to vary a 51
were fused in such a 45
were fused to form a 173
were getting me into a 51
were getting on like a 210
were getting to have a 40
were getting to know a 52
were given at least a 664
were given by only a 46
were given in part i 165
were given in such a 440
were given me when i 91
were given to cast a 54
were given to form a 44
were given to have a 94
were given to keep a 73
were given to make a 152
were given to only a 90
were given to such a 299
were groping to find a 61
were growing at such a 100
were growing up into a 63
were grown in such a 59
were grown to such a 325
were happy in having a 47
were happy to find a 453
were happy to give a 41
were happy to have a 1431
were happy to make a 142
were happy to meet a 52
were happy to play a 41
were happy to sign a 45
were happy to take a 147
were happy to turn a 64
were heated to such a 101
were helping to make a 90
were hired to fill a 41
were hired to make a 146
were hired to stay a 76
were hired to take a 40
were itching to have a 40
were keeping up such a 50
were kicking up such a 78
were known by only a 57
were known to give a 59
were known to have a 2515
