waters are concentrated by evaporation 113
whether any disagreement or reportable 80
whether for interrogation or fingerprinting 40
whether for nationalistic or ideological 56
whether this completeness is sensuously 43
without any carelessness or negligence 50
without any consideration or equivalent 40
without any consideration or recompense 146
without any contradiction or impeachment 41
without any encroachment or molestation 54
without any inadvertence or negligence 124
without any interference or assistance 88
without any interference or obstruction 53
without any manifestation of impatience 43
without any manifestation of resentment 55
without any mystification or speculation 60
without any qualification or explanation 53
without any qualification or reservation 145
without any qualification or restriction 217
without any signification of resentment 54
without any specification of particular 44
