we accept and act upon 66
we accept and use what 42
we accept him for what 49
we accept that they have 68
we accept that they were 91
we accept them for what 86
we admire them for their 158
we admire them too much 101
we admire you for your 65
we advise you for your 42
we affirm that they have 68
we affirm that they were 51
we afford him one more 86
we agreed that our best 46
we agreed that they were 199
we agreed that you were 257
we agreed with each other 150
we almost can not help 66
we almost did not come 40
we almost did not have 103
we almost did not make 246
we already are and have 50
we already had too many 105
we already had too much 45
we already see and know 48
we always ask who those 139
we always did our best 134
we always had each other 132
we always had our meals 86
we always say that such 138
we always set out from 59
we always try our best 42
we apples are all ripe 70
we argued with each other 49
we ascend and sit down 54
we assert that all these 55
we assert that they have 79
we assert that they will 74
we assume that all beings 75
we assume that all cash 71
we assume that all data 84
we assume that all four 190
we assume that all other 420
we assume that all such 154
we assume that all these 579
we assume that all those 158
we assume that all three 554
we assume that any such 50
we assume that both these 61
we assume that each atom 208
we assume that each cell 105
we assume that each firm 620
we assume that each item 176
we assume that each link 56
we assume that each node 581
we assume that each pair 59
we assume that each site 59
we assume that each task 56
we assume that each time 155
we assume that each unit 139
we assume that each user 125
we assume that for most 207
we assume that for some 316
we assume that its life 40
we assume that not only 351
we assume that one half 144
we assume that one side 55
we assume that one third 87
we assume that one unit 84
we assume that our data 99
we assume that our ideas 84
we assume that she will 64
we assume that they also 83
we assume that they have 1127
we assume that they hold 42
we assume that they know 71
we assume that they move 62
we assume that they must 175
we assume that they want 60
we assume that they were 1044
we assume that they will 725
we assume that they work 72
we assume that this case 46
we assume that this cost 49
we assume that this last 58
we assume that this line 40
we assume that this mass 53
we assume that this means 166
we assume that this rate 148
we assume that this ratio 118
we assume that this rule 46
we assume that this same 67
we assume that this time 44
we assume that this type 87
we assume that this will 387
we assume that you have 1251
we assume that you know 133
we assume that you want 111
we assume that you will 372
we assure him his book 46
we assure them that their 61
we assure you that there 111
we assure you that these 49
we assure you that your 141
we attach far too much 56
we barely saw each other 84
we barely see each other 61
we became all eye when 51
we became man and wife 431
we become cut off from 67
we become man and wife 96
we become our own best 64
we behave with each other 40
we beheld with our eyes 55
we behold with our eyes 194
we better get out there 133
we better get you back 63
we better get you home 112
we bought off him four 52
we bought our own home 65
we called for our bill 86
we called him our jack 179
we called they had heard 70
we camped for two days 101
we camped not far from 60
we changed off and took 64
we charge him with having 73
we clawed our way back 45
we clearly can not have 77
we clearly can not hold 90
we clearly see that there 135
we clearly see that these 56
we clearly see they take 48
we closed with each other 75
we commit our way unto 158
we convey our own wool 60
we cooked our own food 165
we cooked our own meals 146
we credit him with having 53
we danced with each other 48
we daubed him all over 178
we decide our own fate 53
we decide that any part 41
we demand that our ideas 75
we demand that they have 64
we demand that you take 42
we depart too far from 92
we depend for our food 229
we depend for our living 49
we depend for our very 345
we depend for our well 342
we derive all our ideas 124
we derive our being from 44
we desire that they will 132
we desire that you will 675
we detest all his vain 55
we devote all our time 76
we dreaded did not come 63
we endure that our peace 41
we english are not very 51
we english with our over 50
we enjoin that for three 63
we ensure that they will 115
we entreat that you will 54
we exhort you not only 114
we expect far too much 41
we expect that any eyes 57
we expect that god will 340
we expect that our hope 43
we expect that she will 124
we expect that they have 41
we expect that they will 1519
we expect that this book 41
we expect that this will 634
we expect that you have 67
we expect that you will 869
we fashion our own gods 70
we figure out how many 139
we figure out how much 308
we figure out our next 48
we finish all our work 53
we follow our old plan 98
we follow our own will 161
we follow out this line 106
we follow with our eyes 107
we forced our way along 85
we forced our way back 54
we forced our way down 41
we forced our way from 89
we forced our way into 350
we forget that all these 63
we forget that not only 151
we forget that they have 183
we forget that they were 277
we forgot that they were 56
we fought for each other 40
we fought long and hard 53
we fought our way along 90
we fought our way back 405
we fought our way down 82
we fought our way from 68
we fought our way into 173
we fought our way past 40
we fought out our dark 81
we fought with each other 157
we further read that among 48
we further see that those 68
we glance our eye over 71
we greatly fear that these 57
we grieve for his loss 47
we groped our way along 349
we groped our way back 492
we groped our way down 553
we groped our way into 110
we groped our way over 45
we halted and lay down 122
we halted for two days 146
we halted not far from 50
we hardly had any time 49
we hardly saw each other 309
we hardly see each other 295
we hauled off and made 60
we helped them with their 52
we horses can see much 81
we humans are not only 43
we humans can not even 55
we humans can not live 58
we humbly beg you will 55
we inched our way along 168
